,Open,High,Low,Close,Volume
0,346.923,349.025,346.743,349.025,83206
1,348.766,348.966,347.161,347.179,20610
2,347.043,347.68,346.753,347.384,19546
3,347.626,347.88,347.386,347.386,20116
4,347.401,347.81,347.341,347.5,10577
5,347.516,348.199,347.072,348.198,28337
6,348.109,348.328,347.266,347.266,22479
7,347.172,347.292,346.653,346.813,26620
8,346.863,347.073,346.474,346.474,22872
9,346.395,346.395,345.861,345.861,19484
10,345.767,346.066,345.547,345.687,35412
11,345.767,345.877,345.368,345.502,20172
12,345.379,345.488,345.179,345.277,19799
13,345.249,345.249,344.68,344.69,20431
14,344.607,345.214,344.606,345.159,20634
15,345.1,345.284,344.513,344.596,21185
16,344.612,345.02,344.431,344.954,22130
17,344.97,345.14,344.69,345.089,21866
18,345.065,345.558,345.064,345.497,20142
19,345.528,345.528,344.69,344.905,23069
20,344.791,345.269,344.76,344.939,29813
21,344.92,345.349,344.79,344.802,19479
22,344.925,345.16,344.76,344.85,26719
23,344.851,344.975,344.72,344.87,17849
24,344.831,345.085,344.78,345.059,14373
25,345.06,345.434,345.012,345.303,15539
26,345.339,345.887,345.218,345.806,26869
27,345.847,346.206,345.776,346.135,17627
28,346.151,346.216,345.846,345.846,15287
29,345.827,346.146,345.826,346.145,16089
30,346.176,346.186,345.886,345.955,11499
31,345.997,346.007,345.717,345.756,9417
32,345.728,345.837,345.577,345.816,11610
33,345.822,345.837,345.084,345.477,14866
34,345.518,345.728,345.438,345.587,12791
35,345.583,345.653,345.352,345.458,13247
36,345.449,345.464,345.159,345.189,22309
37,345.19,345.533,345.189,345.438,22673
38,345.518,345.683,345.343,345.343,8269
39,345.369,345.369,344.954,345.079,9178
40,345.08,345.12,344.77,344.77,12113
41,344.801,344.868,344.591,344.631,14316
42,344.612,344.627,344.446,344.511,8349
43,344.512,344.681,344.391,344.436,16497
44,344.372,344.661,344.357,344.66,11380
45,344.661,344.741,344.531,344.531,10492
46,344.537,344.756,344.536,344.755,16678
47,344.761,344.831,344.641,344.7,13351
48,344.701,344.701,344.466,344.596,11118
49,344.592,345.09,344.591,345.034,13038
50,345.12,345.249,344.956,345.218,10974
51,345.214,345.399,345.069,345.194,9656
52,345.12,345.229,344.86,344.929,10627
53,344.791,344.851,344.446,344.576,12174
54,344.582,344.701,344.521,344.581,11754
55,344.522,344.661,344.302,344.66,15946
56,344.632,345.304,344.631,345.054,16545
57,345.045,345.254,344.925,345.161,11913
58,345.11,345.261,344.941,345.014,12949
59,345.1,345.209,344.961,345.208,12273
60,345.17,345.429,345.109,345.208,16092
61,345.162,345.18,344.87,344.87,17286
62,344.841,344.901,344.461,344.461,18443
63,344.442,344.761,344.441,344.491,16686
64,344.532,344.833,344.481,344.601,17127
65,344.572,344.731,344.531,344.561,15435
66,344.532,344.771,344.391,344.451,23527
67,344.472,344.552,344.292,344.362,23404
68,344.372,344.432,344.202,344.262,21484
69,344.238,344.651,344.132,344.431,32690
70,344.392,344.426,344.033,344.372,23846
71,344.363,344.412,344.094,344.222,21072
72,344.298,344.637,344.257,344.616,36985
73,344.552,344.841,344.511,344.84,31248
74,344.831,345.145,344.82,345.059,41335
75,345.055,345.16,344.949,345.129,48260
76,345.15,345.957,345.139,345.577,95413
77,345.658,346.086,345.378,345.876,243600
78,341.284,342.519,340.765,341.338,94332
79,341.434,341.692,340.296,340.506,29002
80,340.586,341.652,340.531,340.824,53740
81,341.005,341.553,340.137,341.323,24194
82,341.329,341.473,340.007,340.296,29179
83,340.277,340.397,339.948,340.234,18860
84,340.218,340.915,339.948,340.795,42149
85,340.885,341.174,340.555,340.62,29780
86,340.626,340.626,339.948,340.117,59679
87,340.143,340.184,339.738,340.017,24311
88,340.018,340.198,339.823,340.042,28509
89,340.058,340.287,339.743,339.941,65393
90,339.949,339.949,339.459,339.758,11687
91,339.819,339.919,339.23,339.38,20405
92,339.381,339.5,339.121,339.41,31264
93,339.311,339.311,338.936,338.941,17819
94,338.937,339.266,338.652,338.672,28614
95,338.733,339.211,338.707,339.081,32801
96,339.251,339.779,339.23,339.649,18888
