1. open,2. high,3. low,4. close,5. volume
300.3650,301.1600,300.1800,300.8400,447980
300.5500,300.8300,300.2200,300.3650,157624
300.0600,300.5200,300.0300,300.5200,49515
300.0900,300.6100,300.0400,300.0750,50939
300.2200,300.3000,299.8800,300.0900,55189
300.1700,300.3500,300.0500,300.1850,45286
300.1600,300.3000,300.1200,300.1700,29597
300.3850,300.4890,300.0200,300.1100,29932
300.9300,300.9390,300.3700,300.3850,31133
300.8300,301.0400,300.7810,300.9300,43425
300.8900,301.0730,300.7700,300.8700,21225
300.6800,301.0000,300.6600,300.8810,23771
300.6050,300.7400,300.5400,300.7100,25498
300.7800,300.7800,300.5100,300.6000,21099
300.9200,301.0000,300.7800,300.8100,15794
301.0400,301.0500,300.8700,300.8850,18274
301.1850,301.2400,300.9610,301.0000,17430
300.9700,301.3070,300.9100,301.2150,20542
301.3200,301.4300,300.9300,300.9300,15341
301.1400,301.5000,301.1400,301.3000,11228
301.0400,301.2600,301.0400,301.1000,15498
301.2200,301.2200,300.9400,301.0200,14711
301.5400,301.6600,301.2500,301.3000,16429
301.3650,301.6650,301.3200,301.5500,21511
301.4210,301.4300,301.2300,301.3650,12455
301.3100,301.4300,301.1500,301.4300,13974
300.9650,301.4250,300.9650,301.3300,10016
301.2900,301.4590,300.8700,300.9900,16703
301.0950,301.2800,301.0100,301.2400,13139
301.3700,301.4200,301.0700,301.1200,13806
301.6500,301.6500,301.3400,301.3550,18067
301.7750,301.8000,301.6000,301.6100,15011
301.4100,301.7600,301.2550,301.7600,22020
301.6100,301.6800,301.3400,301.4200,15996
301.3600,301.7700,301.2000,301.6300,11592
301.5000,301.7100,301.2300,301.3000,18105
301.0550,301.6600,300.9300,301.5710,20810
300.9800,301.0700,300.9400,301.0500,23207
300.9900,301.0600,300.8600,300.9500,11536
301.4750,301.4900,300.9900,301.0100,35514
301.3400,301.7050,301.3400,301.4100,13690
301.7600,301.8400,301.0600,301.2800,55920
301.8500,302.0700,301.6600,301.7200,18766
301.4600,301.8800,301.4600,301.7400,42309
301.3800,301.5600,301.1900,301.5000,53167
300.7700,301.3400,300.7400,301.2800,19326
300.6690,300.8030,300.5400,300.7410,17440
301.1750,301.1750,300.6400,300.7050,36066
301.0200,301.2050,300.8800,301.1950,16140
300.9350,301.1550,300.8900,301.0000,16421
300.5100,300.9000,300.5100,300.8900,18366
300.9000,300.9100,300.5100,300.5100,25684
300.9100,301.0100,300.7800,300.9450,11555
300.9900,301.1100,300.8100,300.9700,33017
300.8700,301.0400,300.7100,300.9800,20253
300.8900,300.9270,300.5400,300.8500,25575
300.8900,301.1480,300.5600,300.8100,33794
301.2500,301.2500,300.8900,300.9200,43181
302.2600,302.4600,301.2300,301.2400,56428
302.7950,302.8200,302.2600,302.3050,30429
302.4300,303.0100,302.3500,302.7800,27704
302.3600,302.6600,301.9200,302.6600,62948
301.9900,302.3900,301.9100,302.3100,54055
301.7910,302.0200,301.7200,301.9550,18248
301.9750,302.0250,301.5900,301.7400,22514
302.1300,302.2200,301.6700,301.9800,25483
301.9200,302.4350,301.8500,302.2100,19781
302.0200,302.1270,301.7000,301.8800,27574
301.5800,302.1000,301.4700,302.0450,16886
301.2400,301.6900,301.0100,301.6900,26456
301.5600,301.9700,301.0000,301.2500,27370
302.1100,302.2400,301.4350,301.5900,65421
301.9250,302.5000,301.8500,302.1800,23737
302.0500,302.0800,300.9500,301.8000,22748
300.9600,302.1300,300.9300,302.0550,48666
300.7800,301.0900,300.5900,301.0100,66512
299.9350,301.3500,299.8510,301.0700,126101
302.0000,302.5000,299.6800,300.0500,163609
303.0500,303.3000,302.5000,303.0000,520066
302.7200,303.1850,302.7200,303.0000,219098
303.0700,303.2800,302.6800,302.6800,130573
302.8850,303.1400,302.7400,303.0300,102042
303.3000,303.5700,302.8700,302.8700,75754
302.9550,303.3400,302.7400,303.3400,44209
303.1750,303.3600,302.7500,302.9500,59277
303.5500,303.9400,303.1600,303.1800,89219
303.4700,303.6350,303.3300,303.5500,79598
303.3300,303.6300,303.2500,303.4800,29993
303.3200,303.4450,302.8300,303.4450,25945
303.9200,303.9200,302.8000,303.3500,42253
303.6800,304.0400,303.6300,303.9000,22959
303.5800,303.7200,303.3950,303.6840,31490
303.8100,304.0000,303.5500,303.5650,46094
303.5800,303.8750,303.5800,303.8750,19646
303.8200,303.9300,303.4750,303.5700,19550
304.4050,304.4440,303.6200,303.8200,32891
304.5450,304.6550,304.3300,304.4050,31696
305.0600,305.0820,304.5550,304.5550,21998
304.7050,305.2000,304.5300,305.0600,49896
304.5150,304.8200,304.3100,304.6100,35051
304.2200,304.7050,304.1900,304.5650,23864
304.2800,304.3800,304.1400,304.2750,18805
304.0800,304.4350,303.9800,304.4100,29793
304.1000,304.3750,303.9500,304.1200,60906
304.3500,304.5300,304.0800,304.1300,23642
304.1100,304.3300,304.0600,304.3050,26435
304.2800,304.3410,304.0600,304.0600,13607
304.1500,304.4250,304.0400,304.3350,19492
304.3100,304.3100,304.0000,304.1300,33804
304.0250,304.4170,303.8600,304.3500,25155
304.2300,304.4000,304.0300,304.0350,27999
304.7050,304.7100,304.2000,304.3000,26725
304.6300,304.7700,304.3400,304.6400,37046
304.7800,304.8550,304.6000,304.6500,8248
304.2850,304.8900,304.2850,304.7000,24512
304.4950,304.5450,304.2900,304.2900,13533
304.8100,304.8300,304.3100,304.4000,25928
304.7900,304.9900,304.4300,304.7700,27986
304.9100,305.0000,304.8200,304.8300,14947
304.7200,304.9800,304.6200,304.9100,18490
304.5300,304.9000,304.1800,304.7300,26123
305.2200,305.3000,304.5500,304.5500,26560
304.2500,305.0800,304.1600,305.0100,23849
304.4500,304.4500,304.1700,304.1750,25324
304.6300,304.6400,304.3500,304.4000,23966
304.8500,304.9800,304.5150,304.5600,27267
303.8800,304.8600,303.8800,304.8100,25660
304.2450,304.2800,303.8900,303.9000,30026
304.4400,304.4400,303.9200,304.2000,45328
304.3600,304.5900,304.2740,304.4700,33776
304.3200,304.4550,304.1000,304.4100,37771
304.5000,304.5600,304.2700,304.3250,37569
304.7600,304.7600,304.4400,304.4600,34913
305.2900,305.2900,304.6600,304.6700,29262
305.4000,305.5050,305.2200,305.2300,18524
304.8900,305.4200,304.7900,305.3100,20425
304.8600,305.0000,304.6650,304.8900,17255
305.3900,305.4050,304.7600,304.8800,26318
305.3500,305.4350,305.2800,305.3300,10509
305.4000,305.5450,305.2800,305.3600,26632
305.4600,305.5500,305.0500,305.4860,26060
305.1200,305.4300,304.9500,305.3700,15950
305.5900,305.6700,304.9790,305.0300,69322
305.6450,305.8050,305.4200,305.6200,36271
305.8600,305.8600,305.3100,305.6450,31027
306.8150,306.8150,305.6700,305.7880,38973
306.3950,307.2180,306.3900,306.8050,17112
305.4300,306.6700,305.4300,306.4800,25470
305.6800,305.6900,305.2500,305.4700,30168
306.3850,306.5150,305.5100,305.5600,35744
307.0800,307.1300,305.8000,306.2100,26593
306.7400,307.2800,306.5700,307.1650,21189
306.8700,307.0800,306.3700,306.7200,31905
307.5000,307.6650,306.5900,306.6700,32236
306.9150,307.9000,306.7300,307.3300,139059
307.0600,308.6150,306.2700,306.9150,113819
308.3700,308.3800,307.7600,307.7700,232310
308.1700,308.5150,308.1100,308.3100,92759
308.0300,308.3100,307.8300,308.1980,49159
308.2500,308.3450,307.9250,308.0100,35503
308.2600,308.4400,308.1950,308.2750,32494
308.2600,308.4500,308.1200,308.1850,41608
308.2250,308.3650,308.1900,308.3050,26690
308.3700,308.3700,308.1200,308.2100,23990
308.1700,308.5420,308.1000,308.4200,36139
308.4200,308.4200,308.1400,308.1700,19793
308.1100,308.4200,308.0000,308.3900,31211
308.2700,308.4000,308.0300,308.0700,30799
308.5150,308.6300,308.2800,308.2800,26037
308.3600,308.5350,308.2600,308.4750,51410
308.0300,308.4700,308.0250,308.4000,23363
307.8750,308.1400,307.8400,308.0300,16495
307.7950,307.9350,307.6000,307.7900,20445
308.0650,308.0650,307.7450,307.8010,23408
307.9200,308.1750,307.8850,308.0500,31642
308.0400,308.1000,307.9200,307.9400,22943
308.2850,308.3700,308.0500,308.0500,22030
308.4500,308.5200,308.2700,308.3000,31575
308.1300,308.5400,308.1100,308.4450,43072
307.8250,308.1500,307.7900,308.1200,29777
308.0300,308.0600,307.8100,307.8100,15611
307.9850,308.0100,307.8110,307.9600,15725
307.8500,308.0700,307.8400,308.0400,33139
307.8200,307.9200,307.4900,307.9200,23736
307.9300,308.0650,307.7300,307.7300,25576
307.7700,307.9500,307.6100,307.9500,23214
307.9950,308.1100,307.6350,307.7250,29625
308.0000,308.0600,307.8700,307.9900,21904
308.1300,308.2410,307.9500,307.9900,25281
307.9200,308.1070,307.9100,308.0400,21578
308.1080,308.2600,307.8400,307.8800,32344
308.0200,308.0900,307.8100,308.0310,25928
307.9550,308.0760,307.9550,307.9800,14867
308.0600,308.0600,307.9000,307.9550,18312
307.6800,308.0500,307.6300,308.0400,15143
307.9800,308.0000,307.6650,307.6700,18401
307.9800,308.0910,307.7900,307.9860,19995
307.8750,307.9900,307.6800,307.9900,18093
307.8500,308.0800,307.7900,307.8750,28699
307.9000,308.1200,307.8500,307.8500,19381
307.9300,308.1300,307.9000,307.9200,18012
307.9100,308.1050,307.8500,307.9300,18569
308.0200,308.0200,307.7200,307.9750,20611
307.9900,308.1200,307.8000,308.1000,17533
308.1200,308.1200,307.9000,308.0550,19511
308.4100,308.4100,308.0500,308.1350,17999
308.4550,308.5000,308.2200,308.3400,28374
308.1400,308.4600,307.9800,308.4550,23216
308.1600,308.3600,308.0400,308.2050,18632
308.4500,308.7800,308.1700,308.1800,17921
308.4300,308.5250,308.2600,308.4100,21357
308.8400,308.8800,308.3700,308.5450,21131
308.8700,309.1100,308.7800,308.8600,45757
308.7900,309.0050,308.6300,308.8050,24301
309.0300,309.1090,308.7500,308.7500,26167
308.8800,309.1200,308.8400,309.0400,28483
308.9700,308.9900,308.5600,308.8100,28209
308.0400,309.0350,307.8000,308.8700,38350
308.3050,308.4600,307.9500,308.0700,27904
308.0400,308.4200,307.9600,308.2650,26463
307.7700,308.3200,307.7700,308.0450,33605
307.8500,308.0300,307.4600,307.7700,32651
308.3110,308.3110,307.7100,307.9080,29300
308.0800,308.6200,308.0100,308.2400,20989
308.5500,308.8200,308.0300,308.0800,25904
308.7650,308.9800,308.4500,308.5500,34049
308.5900,308.8400,308.3700,308.7600,28823
308.0450,308.9600,308.0000,308.6800,50265
308.6850,308.9700,307.9500,307.9500,36007
308.4270,308.6650,308.2450,308.6650,48085
308.1400,308.5100,307.6600,308.4250,33647
308.3800,308.9000,308.0300,308.0300,64772
308.3650,308.6300,308.2300,308.3800,84538
309.4100,309.4900,307.2700,308.2400,100745
308.7600,309.0800,308.7500,308.9100,249075
308.2900,309.0200,308.1600,308.7600,81429
308.6700,308.7200,308.1600,308.2350,60169
308.8500,308.9800,308.4000,308.7000,58481
308.8550,309.1200,308.7800,308.9000,30637
309.1700,309.1900,308.7300,308.8550,30495
309.1500,309.2800,308.8800,309.1950,34673
309.4650,309.4650,309.1900,309.1900,24742
309.2600,309.5100,309.1400,309.4300,27061
309.5300,309.5300,309.1600,309.2100,24600
309.6850,309.6930,309.4100,309.5300,19286
309.1100,309.6400,309.0100,309.6400,30415
308.9800,309.1500,308.7200,309.0200,20596
309.2400,309.2400,308.8400,308.9800,33752
309.2900,309.3700,309.1200,309.1900,18861
309.5800,309.6230,309.2000,309.2000,31201
309.5300,309.8100,309.3600,309.5900,16895
309.4400,309.9420,309.3800,309.5200,23489
309.6700,309.8850,309.4900,309.4900,21743
309.8900,309.9500,309.6000,309.6800,17392
309.7000,309.9400,309.7000,309.8900,16513
309.6900,309.7000,309.5400,309.6800,14448
309.5100,309.7700,309.4200,309.6700,10087
309.8100,309.8100,309.3600,309.4800,13929
309.9600,310.0070,309.7200,309.8400,13062
309.8300,310.2440,309.6300,310.0000,32251
309.3750,309.8670,309.3400,309.8350,17502
308.9600,309.3000,308.7800,309.3000,20430
308.3150,308.9300,308.3150,308.8520,27422
307.8500,308.4000,307.7950,308.3150,22772
307.5400,307.8300,307.3600,307.8300,14659
307.5700,307.7100,307.2000,307.3300,20404
307.6800,307.8050,307.4700,307.6200,19713
307.6100,307.9700,307.4800,307.7750,23975
307.6300,307.7500,307.4010,307.5700,13781
307.1300,307.7400,307.1300,307.7150,14663
306.6300,307.2410,306.6300,307.1300,29532
306.4700,306.6700,306.4350,306.5900,15664
306.5000,306.5900,306.2500,306.4050,14204
306.1550,306.6000,306.0500,306.5000,29961
306.4150,306.6400,306.0600,306.0900,30175
306.0150,306.6600,305.9500,306.4250,48991
306.0800,306.1400,305.8100,306.0150,26550
305.7500,306.1600,305.7500,306.0800,49165
305.4700,305.8600,305.4700,305.7550,26709
306.3650,306.3650,305.4500,305.4500,19878
306.3300,306.5100,306.1700,306.3900,18099
306.0630,306.5150,305.8300,306.4100,23927
305.6900,306.0900,305.6600,306.0100,26638
305.5200,305.6300,305.3500,305.6300,26902
305.5000,305.6710,305.3800,305.4800,37037
305.9450,305.9450,305.5600,305.5700,17733
306.0200,306.0700,305.7700,305.9600,24739
306.1550,306.1850,305.6700,306.0200,30354
306.1250,306.2450,305.9200,306.0700,33614
306.3150,306.4000,305.9900,306.1800,32039
306.7310,306.7310,305.8800,306.3150,45665
306.2700,306.6400,306.0900,306.6100,51345
306.7100,306.7500,306.1400,306.2600,48077
306.2900,306.6350,306.2800,306.5900,39411
306.1900,306.3300,306.1200,306.2700,32174
306.5500,306.6350,306.1300,306.1900,22163
306.5200,306.6100,306.3400,306.6100,18226
306.5000,306.5900,306.1900,306.5900,22775
306.3150,306.6000,306.2800,306.4300,37271
306.3000,306.6600,306.2100,306.3150,64987
306.6600,306.7100,305.8100,306.3900,42897
306.5000,306.8400,306.1500,306.7300,69336
307.0000,307.0900,306.4350,306.5600,81492
306.7650,307.0100,306.4500,306.9950,63758
306.2000,306.7800,306.1000,306.7650,34730
306.3850,306.5500,305.7850,306.1300,44428
306.2900,307.0000,306.2500,306.3300,32773
306.7150,306.8400,305.8000,306.1900,39589
306.2100,307.2900,306.0800,306.7100,61866
306.9300,307.2000,305.4700,306.3800,69259
307.0900,308.1800,306.6600,306.9300,63708
309.1900,309.1900,306.7900,307.0000,118362
313.3250,313.7400,313.3200,313.4400,324806
312.8300,313.5800,312.7500,313.3250,271584
312.9600,313.0800,312.8200,312.9100,52748
312.4600,313.1600,312.4100,312.9600,64222
313.0200,313.1100,312.4700,312.5200,73517
313.0600,313.1700,312.8950,313.0200,77850
312.9500,313.5700,312.9300,313.1070,73338
312.7200,312.9700,312.6000,312.9500,76181
312.6100,313.1700,312.5850,312.7200,71991
312.5000,312.6600,312.4100,312.6400,35410
312.4900,312.6000,312.4500,312.4700,40652
312.3100,312.5320,312.2800,312.4610,32036
312.4850,312.5500,312.2700,312.3100,32876
312.4600,312.5000,312.2900,312.4900,22008
312.4400,312.5200,312.2800,312.4250,23073
312.4100,312.5100,312.2900,312.3900,23542
312.2400,312.5400,312.2400,312.5000,19896
312.4700,312.5200,312.1100,312.1900,20916
312.4950,312.6200,312.3900,312.4300,26019
312.4350,312.5500,312.3800,312.4950,22097
312.0400,312.4900,311.8800,312.3300,18591
312.8700,312.9000,312.0300,312.0300,14974
312.6300,312.9000,312.3800,312.8450,16353
313.3000,313.3000,312.6400,312.6400,21969
312.6400,313.4500,312.6400,313.3100,34408
312.8450,312.8460,312.6100,312.6200,32399
312.7000,312.9600,312.6900,312.8450,41352
312.6500,312.7400,312.5900,312.7050,23637
312.5800,312.6900,312.4200,312.6550,19719
312.5500,312.7400,312.4200,312.5500,40387
