,Open,High,Low,Close,Volume
0,589.51,590.44,587.62,587.62,156100
1,587.2,588.84,585.0,586.485,48000
2,586.02,586.232,582.37,583.47,49109
3,583.37,583.553,580.72,581.41,55966
4,581.425,582.85,581.05,582.38,42479
5,582.415,583.89,581.75,583.88,52058
6,584.04,584.56,582.06,582.37,38461
7,582.22,582.22,580.31,580.946,53986
8,580.985,582.103,580.56,580.94,46784
9,580.816,581.38,580.34,580.41,27234
10,580.405,581.0,579.72,580.76,32584
11,580.77,581.115,579.6,580.14,21531
12,579.76,580.0,579.0,579.69,21953
13,579.695,580.64,579.36,580.31,23075
14,580.091,580.37,579.41,579.975,23607
15,579.95,580.11,577.245,577.328,46606
16,577.26,578.258,576.755,577.875,29638
17,578.0,578.605,577.18,577.96,27394
18,578.12,578.465,577.45,578.01,26850
19,578.01,578.11,577.35,577.62,15620
20,577.99,578.76,577.75,578.63,29206
21,578.655,579.32,578.14,579.279,36994
22,579.415,579.505,578.735,579.19,15290
23,578.785,580.532,578.76,580.25,17129
24,580.305,580.902,580.11,580.78,15110
25,580.62,581.0,580.03,580.18,22124
26,580.31,580.48,579.67,580.001,33628
27,580.225,580.901,580.2,580.7,15249
28,580.85,580.91,579.3,579.73,32260
29,579.73,580.09,579.41,579.61,21262
30,579.81,580.306,579.81,580.25,11210
31,580.28,580.28,579.75,580.02,10593
32,579.82,580.03,579.415,579.58,10171
33,579.52,579.92,578.38,578.864,19952
34,578.92,579.25,578.74,578.76,15421
35,578.94,579.4,578.81,579.07,15018
36,578.955,579.36,578.79,579.19,8845
37,579.17,579.34,578.775,578.775,10680
38,579.025,579.46,578.76,578.76,12391
39,578.73,578.73,577.594,577.76,25675
40,577.905,578.085,577.22,577.276,14907
41,577.235,577.52,576.82,577.01,26814
42,576.87,577.42,576.82,577.41,10696
43,577.5,577.92,577.23,577.315,12197
44,577.3,577.6,577.12,577.47,11310
45,577.475,578.06,577.23,577.71,20358
46,577.8,579.05,577.8,578.99,15187
47,578.89,579.23,578.632,579.115,19202
48,579.24,579.73,579.125,579.54,12417
49,579.39,579.89,579.27,579.89,13843
50,579.81,579.81,579.41,579.54,10914
51,579.33,580.08,579.24,579.35,12318
52,579.38,579.39,578.87,579.13,12334
53,579.14,579.31,578.44,578.82,16323
54,578.69,579.22,578.22,578.34,13613
