1. open,2. high,3. low,4. close,5. volume
617.6650,619.3700,617.4800,617.4800,212740
616.8900,617.8900,616.0000,617.8900,107083
617.8000,617.9600,617.1500,617.3800,24697
618.2000,618.7500,617.5700,617.6000,23837
618.0200,618.5960,617.0200,618.5860,24357
620.0900,620.2900,618.0200,618.1300,22152
619.4600,620.3900,619.0300,620.1700,19955
618.9700,620.7140,618.4800,619.7300,17946
618.8700,619.4200,618.1600,618.9450,20000
618.7700,619.5700,617.7950,618.8300,34191
618.0660,618.7700,616.1350,618.7700,31964
622.3450,622.3450,617.7260,618.0900,25047
623.8500,624.2500,622.1400,622.1400,9016
623.4500,624.6100,622.8460,624.0000,26415
625.4400,625.9300,623.3850,623.6600,26274
624.2500,625.3200,623.3400,625.2700,26997
621.5450,624.5000,620.3100,624.1600,41002
619.6500,621.6100,619.6500,621.4800,21055
619.9700,620.3800,619.5200,619.8150,8952
619.9100,620.1800,619.1700,620.0000,17020
620.1000,620.5300,619.6800,619.7100,12132
620.1600,621.1270,619.9700,620.1000,21639
620.2800,620.9000,619.2200,619.8900,11160
620.5700,620.5700,618.7900,620.0700,31906
619.7700,620.4400,619.7700,620.1200,8547
621.0600,621.0600,619.8000,619.8000,6422
620.3000,621.1200,620.3000,620.9300,11763
619.5800,620.1300,619.4700,620.0800,7695
619.8600,620.2000,619.4300,619.4420,11581
619.7700,619.8500,619.4200,619.6300,11595
620.3800,620.6600,619.6020,619.8400,30718
623.8750,623.9350,620.4700,620.4700,42192
622.5700,623.8850,622.5500,623.7850,28381
621.9800,622.5350,621.5000,622.5350,26147
620.7950,622.0000,620.7500,622.0000,34498
620.0700,620.9100,619.6780,620.7950,16813
618.7500,620.2000,618.7500,620.0700,12404
618.1100,618.9600,618.1100,618.8750,10475
618.0350,618.2100,617.7700,617.8300,8806
617.6770,617.9800,617.1000,617.9800,9699
617.7800,618.0400,617.0880,617.4200,19020
617.0100,617.7850,617.0000,617.7000,15808
617.2000,617.7600,617.0700,617.1100,31403
616.9650,617.5000,616.7700,617.1400,14232
615.9500,617.0000,615.8900,616.9900,40842
615.7200,616.0200,615.4600,615.6700,7979
616.1600,616.2500,615.7300,615.8500,14829
615.4100,616.1400,615.3800,615.8500,14636
615.2800,615.8500,615.2800,615.3400,8436
615.4900,615.6200,614.4900,615.1200,8619
616.3500,616.4000,614.9500,615.0100,11424
616.2000,616.2000,615.5800,615.8800,6037
615.4800,616.6300,615.4800,616.4200,7000
615.3200,615.6000,615.0000,615.5600,6109
615.2800,615.7850,614.2700,615.7850,15285
616.1000,616.3800,615.6700,615.6700,42876
615.8500,616.9400,615.6200,616.0700,14413
615.2900,616.0900,615.1900,615.8850,10409
614.9700,615.9000,614.9700,615.1600,10424
613.6000,615.2900,613.5900,615.1200,15789
613.4400,613.9400,612.7800,613.7750,22100
613.8050,614.0500,612.5500,613.2600,24301
613.0500,614.2700,612.8800,613.8000,18963
614.2300,614.5500,612.4700,613.0700,38600
614.8350,614.8350,612.1700,614.2200,30061
616.5600,616.8800,613.7700,614.4400,29754
618.7700,618.8400,616.0600,616.3980,18987
619.1250,619.1250,618.0500,618.8650,19130
619.7500,620.6900,618.6690,619.1250,28038
622.3300,622.3300,619.3800,619.5350,19683
622.3000,623.0000,621.3700,622.3600,25120
621.5150,622.3700,620.6600,621.9650,32178
620.8700,621.6050,619.9100,621.1600,60914
620.4600,621.8900,620.2500,620.7950,38189
617.1500,620.4300,616.9250,620.4300,33750
618.6500,619.0200,617.3400,618.1500,44677
618.9600,619.6400,617.4550,619.0000,49308
620.0000,620.1000,616.0000,618.2900,115906
627.5900,628.4500,627.3800,627.8300,115425
628.0600,628.1750,627.2800,627.3800,62479
627.9450,628.2300,627.7600,628.0100,25979
627.7200,628.2000,627.6300,628.0000,22275
627.2600,627.8800,627.2200,627.6250,17882
627.7900,627.9300,627.2700,627.3000,17212
627.9900,628.3700,627.7850,627.7850,17814
627.4020,627.8400,627.4020,627.8400,16546
626.4900,627.3700,626.4900,627.3700,13797
626.5000,626.8350,626.4500,626.4500,27816
626.7600,626.9150,626.2200,626.5000,11495
626.5600,627.1000,626.5200,626.9000,22024
626.3800,626.4850,626.1200,626.4850,11128
626.1850,626.4800,626.1200,626.2300,12647
625.7800,626.3600,625.7800,626.2150,8984
625.8550,626.0800,625.6700,625.8300,10867
625.7500,626.3300,625.6500,625.8550,21172
625.2400,625.8100,625.2400,625.7350,13925
625.1650,625.3650,624.9100,625.1700,17692
624.4900,625.2600,624.4130,625.1650,24682
624.0900,624.4100,623.8800,624.3800,13728
622.9500,624.1600,622.5200,623.9800,12566
622.8500,622.8500,622.5300,622.7800,12230
623.1100,623.1100,622.7850,622.8500,6187
622.5700,623.1600,622.5700,622.8900,13283
622.1800,622.5100,622.1050,622.5100,11561
622.2850,622.4000,622.0800,622.2300,7052
622.8900,623.1800,622.7400,622.7400,8366
622.8100,622.9900,622.6220,622.8900,8712
622.7100,622.9300,622.6600,622.8050,7972
622.4100,622.9900,622.3160,622.6100,10313
622.2900,622.4900,622.2600,622.3100,8076
622.3800,622.5300,622.1800,622.2600,7292
621.7400,622.1900,621.4300,622.0600,6596
621.4200,621.6300,620.8900,621.3600,13498
621.8650,621.9900,621.3840,621.5850,10567
622.5400,622.5400,621.7650,621.8500,11399
622.4800,622.5300,622.1500,622.3850,11187
622.9600,623.1900,622.4050,622.4850,8848
623.5150,623.6500,622.9950,623.1000,7029
622.2600,623.4200,622.1250,623.4200,9394
621.9900,622.7200,621.5600,622.1050,15818
622.9700,622.9900,621.5200,622.1470,29349
623.5940,623.7900,622.7900,622.8000,19051
624.4200,624.4200,623.4100,623.5870,18922
625.2600,625.4400,624.4700,624.4700,11634
625.6600,625.8150,625.2700,625.2700,6543
625.2200,625.6250,625.1800,625.5400,7845
625.5400,625.6050,625.0200,625.3600,8833
626.0200,626.1900,625.3250,625.3800,11536
625.7700,626.0750,625.7500,625.9500,13470
626.2800,626.2800,625.5350,625.6100,14035
626.1500,626.3200,625.9600,626.3200,5346
625.7700,626.3050,625.6000,626.2950,86409
626.0200,626.5000,625.5300,625.8550,14320
625.6300,626.5900,625.6300,626.0600,5824
625.9400,626.5500,625.6100,625.8800,15473
626.2100,626.8300,625.7300,625.7590,17690
626.5900,626.8700,625.8300,626.0550,33278
626.4000,626.5600,626.1300,626.3700,10266
624.9600,626.4100,624.9600,626.2800,11801
624.7350,625.1360,624.7350,625.0600,6414
625.0300,625.1100,624.2200,624.8910,15579
625.4400,625.4400,624.6200,625.0750,15896
626.1010,626.4800,625.4000,625.7000,23842
625.9900,626.8700,625.8850,626.2600,18077
626.0600,626.1900,625.3800,626.1900,14275
626.3600,626.7900,625.8000,625.9300,27270
627.4350,627.7300,626.0300,626.2200,26038
626.3950,627.6100,625.8400,627.5860,19727
625.0200,626.4300,624.4950,626.4300,17884
626.6750,626.9900,623.8050,625.2750,27008
624.7100,626.7200,623.5300,626.7200,30134
625.0400,625.4380,624.3100,624.4400,61454
627.3850,627.6800,625.2650,625.4300,42738
628.7300,630.4700,627.0000,627.5300,51679
626.8200,629.2200,626.8200,628.8850,33770
630.0000,630.0300,626.8000,626.8000,117936
630.7200,630.8450,629.7800,630.1700,164353
629.6900,630.9500,629.4700,630.7200,106124
630.1850,630.2600,629.6800,629.8400,34615
630.6300,630.7100,630.1200,630.1900,27114
630.7500,630.8350,630.1800,630.7600,35141
631.3200,631.5300,630.7930,630.8200,40538
631.5950,631.8000,631.0100,631.2800,37470
631.8100,632.0000,631.3300,631.5850,17689
630.6000,631.7040,630.4900,631.5700,20106
630.5900,630.8700,630.2800,630.5300,19349
629.8450,630.6000,629.3300,630.4600,25109
628.5200,630.3700,628.5050,629.8200,35042
628.7700,628.9900,628.4500,628.4500,9693
628.9000,629.0000,628.6400,628.6520,9279
629.4850,629.6200,628.6900,628.6900,13958
629.1660,629.6650,629.1660,629.2100,13196
629.0000,629.2700,628.9200,629.2300,6467
629.6600,629.6600,628.8400,628.8900,21700
629.5300,629.7600,629.4200,629.5000,13427
629.3650,629.8200,629.3650,629.5900,16074
628.4800,629.4900,628.4550,629.3650,21835
627.7400,628.3400,627.7400,628.3400,8094
627.9000,628.2000,627.6900,627.7600,13793
627.5200,628.1300,627.5000,628.0000,13651
627.3700,627.7000,627.3700,627.7000,11705
627.7100,627.7100,627.3000,627.5400,11968
627.8250,627.9100,627.5200,627.7150,9765
627.5600,627.9440,627.5600,627.8930,6107
627.3700,627.7200,627.3700,627.7200,8545
627.5200,627.6400,626.8500,627.2430,17356
627.5100,627.7500,627.3300,627.5100,11258
627.7100,627.8000,627.3950,627.4900,10361
627.7250,627.9450,627.6050,627.6050,8508
628.1900,628.1900,627.4500,627.7200,8668
628.0800,628.0850,627.7520,627.8500,12877
628.5100,628.5100,627.5090,627.9700,8223
627.9400,628.9000,627.8250,628.2600,20410
627.6000,627.9300,627.6000,627.7850,10785
627.1900,627.6000,627.1000,627.3300,12014
627.6450,628.0000,627.2900,627.2900,9641
627.4700,627.9000,627.4200,627.6500,9532
627.5000,627.6300,627.1400,627.4400,8845
627.3200,627.9100,627.1600,627.2600,15741
626.4500,627.6800,626.0000,627.5000,18059
626.4000,627.0600,626.4000,626.5300,9442
626.7300,626.8050,626.3420,626.5100,11154
627.0800,627.0800,626.5750,626.7400,14124
626.9600,627.5300,626.9600,627.2350,13977
627.1400,627.3300,626.7700,626.9850,12234
626.8900,627.2000,626.4800,627.1200,12115
627.0000,627.6000,626.8400,626.9250,22417
626.0350,627.1700,625.9000,626.9950,20329
625.8900,626.2700,625.5100,626.2640,21262
625.3550,626.4460,625.3550,626.0150,15105
624.2300,625.7400,623.3000,625.2880,40992
626.2900,626.3400,624.1800,624.3900,48106
626.0000,626.5900,625.7900,626.3800,14254
626.6600,626.8300,626.0000,626.0500,16462
627.0000,627.2650,626.1500,626.5500,19637
626.4250,626.8600,626.0500,626.8600,16822
626.5350,627.6900,626.3200,626.3200,24306
625.3000,626.7000,625.3000,626.6900,13593
626.2400,628.3050,624.7600,625.3000,24060
628.0900,628.2530,626.0400,626.4650,20384
628.1800,628.3200,627.4800,628.0900,20227
629.4520,630.1000,627.5600,628.2900,30363
628.4660,629.2050,627.1000,629.2050,33242
628.5700,628.9900,626.6700,628.2400,42984
629.1200,629.9900,628.1600,628.3800,36375
627.7250,629.0000,626.5700,628.9400,56070
625.5350,628.4300,624.0920,627.4000,80727
631.0900,631.1800,625.3200,625.4900,82999
634.1410,634.8200,631.1450,631.2600,51551
631.8800,634.3700,631.8100,634.1400,66442
633.9500,634.2650,631.0150,632.0900,95960
634.6150,636.2500,633.4300,633.8100,142201
628.4800,634.9200,627.1500,634.9200,216840
615.7100,629.4400,615.7100,628.5450,192600
613.4400,614.4000,613.2200,613.9200,104974
613.9900,614.3200,613.0000,613.3810,64327
613.5700,614.1000,613.5600,613.9900,37522
614.1800,614.1800,613.4500,613.4710,41870
614.6800,614.7850,614.1800,614.1800,17882
615.1400,615.1450,614.6200,614.7500,17626
615.6900,615.9200,615.0300,615.1150,27013
616.2200,616.2200,615.5350,615.6800,15694
616.5300,616.5500,616.3200,616.3730,11514
