fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-03-01,USD,4592000000,5182000000,590000000,42000000,907000000,1704000000,939000000,3685000000,None,-27000000,None,27000000,None,70000000,None,84000000,968000000,348000000,27000000,620000000,628000000,995000000,1079000000,620000000,USD,28751000000,10008000000,6254000000,6820000000,None,2057000000,19754000000,1988000000,None,14825000000,2022000000,12803000000,566000000,None,566000000,978000000,1265000000,13291000000,9537000000,300000000,12220000000,1497000000,1570000000,1616000000,451000000,2138000000,1497000000,None,2138000000,1692000000,435000000,15460000000,30109000000,33809000000,0,453000000,USD,1174000000,47000000,None,-152000000,7000000,212000000,37000000,-166000000,None,620000000,66000000,-2128000000,None,2000000000,2000000000,None,None,None,None,None,None,None,-1903000000,97000000,None,None,620000000,,,,,,
2023-12-01,USD,4414000000,5048000000,634000000,49000000,1743000000,1740000000,889000000,2671000000,None,-28000000,None,28000000,None,89000000,None,326000000,1808000000,325000000,28000000,1483000000,1483000000,1836000000,2162000000,1483000000,USD,29779000000,11084000000,7141000000,7842000000,None,2224000000,20205000000,2030000000,1731000000,14981000000,2176000000,12805000000,701000000,None,701000000,1018000000,1223000000,13261000000,8251000000,314000000,11900000000,0,73000000,1376000000,446000000,3634000000,None,None,3634000000,2027000000,376000000,16518000000,28129000000,33346000000,0,455000000,USD,1597000000,100000000,None,-463000000,407000000,222000000,47000000,376000000,378000000,1483000000,153000000,-1217000000,None,1000000000,1000000000,None,None,None,None,None,None,None,-1000000000,0,None,None,1483000000,,,,,,
2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,None,-27000000,None,27000000,None,67000000,None,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,USD,29090000000,10410000000,6601000000,7516000000,None,1850000000,19847000000,2036000000,None,15134000000,2334000000,12800000000,915000000,None,915000000,1043000000,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000,1347000000,463000000,3633000000,None,None,3633000000,2571000000,352000000,15776000000,27146000000,32012000000,0,456000000,USD,1873000000,None,None,None,None,218000000,91000000,168000000,186000000,1403000000,145000000,-871000000,None,1000000000,0,None,None,None,None,None,0,None,0,244000000,None,None,1403000000,,,,,,
2023-06-02,USD,4244000000,4816000000,572000000,572000000,1624000000,357000000,876000000,2620000000,None,-26000000,None,26000000,None,47000000,None,267000000,1650000000,355000000,None,1295000000,1305000000,1676000000,1772000000,1295000000,USD,27838000000,9274000000,5456000000,6601000000,None,None,18564000000,2032000000,None,1258000000,1258000000,12796000000,None,None,1145000000,988000000,1125000000,13000000000,8019000000,346000000,None,0,74000000,4981000000,482000000,3631000000,None,None,4113000000,2334000000,347000000,14838000000,26191000000,30609000000,0,456000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-03,USD,4087000000,4655000000,568000000,54000000,1586000000,1632000000,827000000,2501000000,None,-32000000,None,32000000,None,43000000,None,96000000,1598000000,351000000,32000000,1247000000,1233000000,1630000000,1726000000,1247000000,USD,26667000000,8342000000,4072000000,5653000000,None,None,18325000000,1967000000,None,1354000000,1354000000,12790000000,None,None,1581000000,888000000,984000000,12461000000,7437000000,308000000,None,0,81000000,5024000000,496000000,3630000000,None,None,4126000000,1691000000,323000000,14206000000,25206000000,29435000000,0,459000000,USD,1693000000,55000000,None,-226000000,-11000000,212000000,101000000,-269000000,None,1247000000,156000000,-2014000000,None,1400000000,1400000000,None,None,None,None,None,None,None,-1331000000,69000000,None,None,1247000000,,,,,,
2022-12-02,USD,3957000000,4525000000,568000000,60000000,1505000000,1637000000,773000000,2452000000,None,-28000000,None,28000000,None,36000000,None,291000000,1517000000,341000000,28000000,1176000000,1107000000,1545000000,1836000000,1176000000,USD,27165000000,8996000000,4236000000,6096000000,None,2070000000,19621000000,1908000000,1569000000,15688000000,2898000000,12787000000,None,None,1860000000,835000000,841000000,13114000000,8128000000,379000000,10824000000,500000000,587000000,1357000000,504000000,3629000000,500000000,None,3629000000,1865000000,293000000,14051000000,23843000000,28319000000,0,462000000,USD,2325000000,109000000,None,316000000,305000000,215000000,91000000,344000000,None,1176000000,-69000000,-1911000000,None,1750000000,1750000000,None,None,None,None,None,None,None,-1750000000,0,None,None,1176000000,,,,,,
2022-09-02,USD,3887000000,4433000000,546000000,58000000,1484000000,1585000000,775000000,2403000000,None,-28000000,None,28000000,None,6000000,None,101000000,1456000000,320000000,28000000,1136000000,1107000000,1484000000,1585000000,1136000000,USD,26744000000,8489000000,3870000000,5764000000,None,None,18255000000,1858000000,None,1548000000,1548000000,12756000000,None,None,1894000000,1002000000,880000000,12371000000,7438000000,316000000,None,500000000,588000000,4933000000,514000000,3627000000,500000000,None,4641000000,1705000000,253000000,14373000000,22109000000,27158000000,0,467000000,USD,1704000000,51000000,None,-77000000,134000000,216000000,125000000,141000000,None,1136000000,-103000000,-1060000000,None,1200000000,1200000000,None,None,None,None,None,None,None,-1013000000,187000000,None,None,1136000000,,,,,,
2022-06-03,USD,3847000000,4386000000,539000000,59000000,1529000000,1538000000,738000000,2318000000,None,-28000000,None,28000000,None,-1000000,None,101000000,1492000000,314000000,28000000,1178000000,1160000000,1520000000,1621000000,1178000000,USD,26326000000,7908000000,3365000000,5299000000,None,None,18418000000,1790000000,None,1650000000,1650000000,12801000000,None,None,1934000000,1021000000,865000000,12341000000,7385000000,366000000,None,499000000,589000000,4956000000,532000000,3627000000,499000000,None,4658000000,1677000000,257000000,13985000000,20944000000,26022000000,0,471000000,USD,2040000000,0,None,200000000,-143000000,212000000,126000000,-96000000,None,1178000000,-138000000,-1250000000,None,1200000000,1200000000,None,None,None,None,None,None,None,-1200000000,0,None,None,1178000000,,,,,,
2022-03-04,USD,3750000000,4262000000,512000000,59000000,1580000000,1427000000,701000000,2170000000,None,-28000000,None,28000000,None,0,None,101000000,1543000000,277000000,28000000,1266000000,1226000000,1571000000,1672000000,1266000000,USD,25976000000,7476000000,2739000000,4701000000,None,None,18500000000,1703000000,None,1743000000,1743000000,12795000000,None,None,1962000000,1090000000,874000000,12201000000,7197000000,295000000,None,499000000,592000000,5004000000,540000000,3626000000,499000000,None,4665000000,1416000000,262000000,13775000000,19759000000,24961000000,0,472000000,USD,1769000000,50000000,None,-347000000,-4000000,213000000,100000000,-191000000,None,1266000000,-260000000,-2604000000,None,2400000000,2400000000,None,None,None,None,None,None,None,-2309000000,91000000,None,None,1266000000,,,,,,
2021-12-03,USD,3603000000,4110000000,507000000,51000000,1501000000,1405000000,657000000,2102000000,None,-28000000,None,28000000,None,-1000000,None,299000000,1468000000,235000000,28000000,1233000000,1227000000,1496000000,1795000000,1233000000,USD,27241000000,8669000000,3844000000,5798000000,None,1878000000,20392000000,1673000000,1451000000,16308000000,3640000000,12668000000,None,None,1954000000,975000000,883000000,12444000000,6932000000,312000000,9758000000,0,97000000,1389000000,550000000,4123000000,None,None,4123000000,1790000000,257000000,14797000000,17399000000,23905000000,0,475000000,USD,2066000000,116000000,None,160000000,377000000,205000000,99000000,325000000,363000000,1233000000,-1739000000,-1078000000,None,1000000000,1000000000,None,None,None,None,None,None,None,-999000000,1000000,-751000000,-28000000,1233000000,,,,,,
