,Open,High,Low,Close,Volume
0,260.54,260.56,258.75,258.86,180842
1,258.791,259.25,257.44,257.87,108975
2,257.87,258.04,256.72,257.245,107637
3,257.245,257.39,256.03,256.8,123983
4,256.895,257.846,256.71,256.85,46658
5,256.91,257.68,256.61,257.605,55538
6,257.701,257.97,256.81,256.81,70528
7,256.845,256.88,256.33,256.88,57374
8,256.84,256.92,256.25,256.36,43028
9,256.39,256.39,255.69,255.77,61057
10,255.75,255.93,255.44,255.6,59661
11,255.61,255.61,254.76,254.88,70356
12,254.88,255.388,254.26,255.36,46101
13,255.28,255.28,254.53,254.67,45965
14,254.67,254.75,254.115,254.48,70494
15,254.44,254.62,253.83,253.855,60452
16,253.885,254.49,253.77,254.45,52979
17,254.52,255.11,254.52,255.04,38839
18,255.1,255.735,255.045,255.695,28234
19,255.66,255.9,255.335,255.89,46110
20,255.895,256.258,255.72,256.04,36013
21,256.11,256.18,255.79,256.145,48906
22,256.2,256.28,255.87,255.9,33093
23,255.87,256.49,255.76,256.445,27459
24,256.44,256.87,256.43,256.48,32397
25,256.52,256.52,256.12,256.175,25318
26,256.19,256.495,256.14,256.37,19141
27,256.34,256.705,256.34,256.69,20325
28,256.723,256.82,256.28,256.36,37774
29,256.43,256.828,256.43,256.81,16917
30,256.84,257.13,256.58,257.13,43277
31,257.181,257.31,256.965,256.985,27478
32,257.04,257.22,256.89,257.14,28895
33,257.13,257.34,257.08,257.125,30930
34,257.15,257.335,257.15,257.22,25811
35,257.145,257.18,256.71,256.71,22001
36,256.71,256.84,256.57,256.77,39923
37,256.78,256.94,256.67,256.92,19232
38,256.92,257.156,256.81,256.86,20150
39,256.84,256.84,256.59,256.75,23050
40,256.77,256.77,256.17,256.3,24348
41,256.25,256.33,256.09,256.13,20646
42,256.075,256.18,255.93,256.08,25593
43,256.08,256.22,255.97,255.98,20957
44,256.0,256.1,255.89,256.05,23364
45,256.0,256.24,256.0,256.19,31104
46,256.2,256.43,256.19,256.37,22035
47,256.39,256.42,256.23,256.335,26630
48,256.36,256.515,256.3,256.4,21869
49,256.39,256.44,256.14,256.18,23391
50,256.17,256.18,255.96,255.96,22748
51,255.96,256.09,255.845,255.845,19635
52,255.82,255.89,255.67,255.72,28726
53,255.68,255.74,255.31,255.34,32207
54,255.366,255.44,254.84,254.85,50453
