1. open,2. high,3. low,4. close,5. volume
281.5200,281.9200,280.9300,280.9300,200690
281.3100,281.5300,281.0550,281.5300,127232
281.2100,281.4800,281.0700,281.3000,101180
281.4000,281.5950,281.1950,281.2350,56313
281.2800,281.5300,281.0170,281.5000,59391
282.1700,282.2600,281.2900,281.2900,54810
282.1300,282.4800,281.9000,282.2200,35407
281.6800,282.4700,281.6150,282.1700,42406
281.8000,282.1200,281.5760,281.6800,50463
281.7450,282.1700,281.2550,281.8100,40403
281.6900,281.8000,280.8200,281.7500,44036
283.4550,283.4600,281.3900,281.8350,89652
284.2700,284.3700,283.3000,283.4040,32911
284.4600,284.4800,283.7300,284.2750,37291
285.1200,285.6300,284.2900,284.5210,70854
284.5400,285.3700,284.3800,285.1050,64469
283.5600,284.6100,283.2020,284.4300,31396
283.1400,283.6800,282.9300,283.6550,36816
283.0100,283.2500,282.9000,283.1350,22549
282.8800,283.1400,282.6000,282.8650,28649
283.3100,283.3700,282.9550,283.0000,15508
283.2000,283.6800,283.0400,283.4200,21418
283.1100,283.5600,282.7900,283.1700,27595
283.7500,284.0750,282.3800,283.1400,55961
283.4200,283.7900,283.4020,283.6900,22022
283.9000,284.0600,283.3500,283.3900,40370
283.6800,284.0750,283.6700,283.8800,23571
283.5900,283.7300,283.5700,283.6400,22255
283.5800,283.7100,283.5300,283.5950,18024
283.6800,283.7200,283.5300,283.6000,22059
283.9300,283.9500,283.6400,283.6900,18087
284.4500,284.4700,283.9000,283.9000,17477
284.1800,284.4700,284.1800,284.3900,14586
284.2000,284.2400,283.9120,284.1950,30058
284.0700,284.2500,284.0500,284.2300,13171
283.9450,284.2200,283.8400,284.0700,17806
283.5600,283.9500,283.5600,283.8800,16715
283.6300,283.8100,283.5350,283.6000,16956
283.7900,283.8600,283.4350,283.6100,15600
283.4700,283.9500,283.4100,283.8200,28244
283.7100,283.7900,283.1600,283.4960,34505
284.1800,284.3200,283.7400,283.7400,35162
283.8750,284.3300,283.8750,284.2100,18944
283.4100,283.9010,283.4100,283.8750,25311
283.4700,283.5600,283.3800,283.4200,28041
283.6100,283.6700,283.3000,283.4600,36194
283.6250,283.6900,283.5240,283.6320,31023
282.8800,283.6400,282.8700,283.6400,31737
282.6650,282.9250,282.6650,282.8100,35906
283.1800,283.1800,282.4300,282.6500,69988
283.0300,283.3800,282.9200,283.2300,27146
283.4600,283.4600,283.0000,283.0900,37840
283.4400,283.6200,283.1500,283.4800,27117
283.5600,283.6550,283.1700,283.4500,34250
283.6400,283.6400,283.3500,283.5800,27973
283.9000,284.1920,283.6300,283.7100,34514
283.8700,284.2000,283.8000,283.9000,33032
283.3500,284.0400,283.1800,283.8800,43174
283.0300,283.3800,282.9700,283.3400,53119
282.4600,283.1900,282.4600,283.0900,36334
282.4000,282.6900,282.2400,282.4900,27759
283.1570,283.3000,282.2970,282.3350,26240
282.7850,283.1350,282.5300,283.1200,35279
283.1200,283.2850,282.8200,282.8410,39965
283.9150,283.9200,282.7900,283.1400,41403
283.8600,284.1300,283.4800,283.8640,31341
284.4150,284.4600,283.7150,283.8700,37454
284.6400,284.9300,284.2200,284.3700,27851
284.7400,285.2250,284.4800,284.6750,35834
284.7800,285.0300,284.4000,284.4800,38983
284.4100,284.9400,284.2900,284.8300,25735
284.0400,284.5200,284.0300,284.4650,28042
283.6250,284.2400,283.2100,284.0300,61769
284.0800,284.2300,283.4700,283.6250,46779
284.0600,284.2200,283.1600,284.0800,70278
284.8200,285.2720,284.2000,284.2000,93079
284.9300,285.6200,284.7250,284.8200,103934
284.0500,285.1900,283.0900,285.1150,146213
287.5900,287.8350,287.5000,287.6300,184279
287.7400,288.0250,287.4900,287.5550,107836
287.8400,287.8850,287.5200,287.7000,130922
287.6600,288.0900,287.6100,287.8500,57859
288.1200,288.1300,287.6600,287.6800,41752
288.5000,288.5300,288.0900,288.1200,95687
288.9500,289.0000,288.4900,288.4900,72320
288.6200,288.9500,288.6200,288.9500,40732
288.4050,288.6210,288.3190,288.5950,42702
288.4500,288.5300,288.3700,288.3750,44267
288.4750,288.5300,288.3400,288.4400,36198
288.3900,288.6800,288.3000,288.4700,32965
288.5300,288.5400,288.2750,288.3600,43180
288.8050,288.8300,288.4000,288.5000,150894
288.5300,288.8700,288.4400,288.8160,21257
288.4550,288.5900,288.4250,288.5150,26786
288.5300,288.7100,288.4650,288.4850,20575
288.4100,288.6300,288.3600,288.5200,26559
288.1900,288.4480,288.0000,288.4200,42757
287.9550,288.2100,287.9250,288.2000,23372
288.0100,288.0300,287.8040,287.9700,19571
287.9450,288.1000,287.7800,287.9800,23484
288.2400,288.2400,287.9550,287.9600,24941
288.4500,288.4800,288.2300,288.2800,19062
288.5000,288.5300,288.3300,288.4600,61895
288.3400,288.5000,288.3400,288.4450,49008
288.5900,288.6300,288.3200,288.3200,51767
288.7700,288.8000,288.4000,288.5500,44130
288.5000,288.7800,288.4400,288.7750,30068
288.5950,288.6650,288.3700,288.4900,70819
288.7700,288.9200,288.5700,288.5900,169296
288.5350,288.7800,288.0000,288.7800,59895
288.3650,288.5700,288.2600,288.5700,59632
288.0000,288.3600,287.9200,288.3500,39714
287.7900,288.0300,287.6400,287.9100,33729
287.5700,287.7900,287.4500,287.7700,53226
288.0100,288.0200,287.4700,287.5900,66207
287.9450,288.0250,287.6200,288.0000,29379
288.0500,288.0700,287.9100,287.9500,27024
288.0200,288.0600,287.6250,288.0100,48386
287.5200,288.0400,287.3500,287.9700,71059
287.6550,287.7300,287.2450,287.4800,117942
287.6600,287.7800,287.4500,287.6100,54237
287.5100,287.7750,287.4800,287.7400,78785
287.4200,287.5400,287.2600,287.4950,29974
287.6300,287.6470,287.4000,287.4600,24703
287.6300,287.8600,287.6000,287.6650,28930
287.3300,287.6400,287.3300,287.6300,23686
287.2200,287.3300,287.1100,287.3150,14942
287.3280,287.3600,287.1200,287.1400,18659
287.1500,287.4000,287.0700,287.3500,17698
287.0700,287.1150,286.8000,287.1150,30025
287.1800,287.2600,287.0000,287.0700,28314
287.2000,287.3500,287.1000,287.1900,17547
287.1800,287.2900,287.0000,287.2400,26069
287.3300,287.4800,287.1400,287.1900,32242
287.4100,287.6100,287.2700,287.3600,44292
287.2700,287.4600,287.2300,287.4600,26605
287.0800,287.2500,286.9800,287.2500,25735
287.3100,287.4700,286.9050,287.0120,33502
286.8300,287.3890,286.8000,287.3450,29973
286.9300,287.1200,286.8050,286.8050,17718
286.7100,287.1200,286.6000,286.9700,16156
287.0800,287.0900,286.5160,286.6700,58879
287.2000,287.3650,286.9200,287.0200,35254
287.2600,287.5200,287.0300,287.1900,35830
287.3700,287.4200,286.8950,287.2550,46468
288.0400,288.0550,287.2800,287.3720,45533
288.1600,288.3700,287.7900,288.0700,102294
288.3300,288.4400,287.9700,288.1850,80893
288.5600,288.8000,288.0600,288.2800,86297
288.8000,288.8350,288.2300,288.5800,70895
288.7300,288.8300,288.4490,288.7800,38087
288.3200,288.7200,288.3200,288.7100,47784
289.0600,289.2900,288.3000,288.4200,85167
288.0200,289.1700,288.0200,289.0600,62709
287.8200,288.3980,287.6800,288.0800,65090
287.6300,288.7300,287.4700,287.8300,194448
287.8800,288.1500,287.7000,287.9800,388602
287.6800,287.9900,287.6650,287.8600,167512
