fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-04-30,USD,6971000000,9192000000,6935000000,2162000000,1709000000,3886000000,1368000000,5262000000,None,None,None,None,9133000000,121000000,None,879000000,1867000000,334000000,None,1533000000,1488000000,1709000000,2588000000,1533000000,USD,96180000000,25604000000,9958000000,17753000000,None,4273000000,67070000000,3506000000,None,53809000000,4869000000,48940000000,12690000000,4978000000,7795000000,1796000000,3742000000,36497000000,23149000000,None,16061000000,1000000000,1859000000,13348000000,3087000000,9429000000,1000000000,8429000000,9429000000,1500000000,2400000000,59683000000,13860000000,12866000000,1000000,970000000,USD,6247000000,28000000,None,-3795000000,-6648000000,1396000000,163000000,-7162000000,None,1533000000,-2651000000,-2108000000,None,2133000000,2133000000,None,388000000,388000000,None,None,0,None,-1600000000,None,None,None,1533000000,2024-05-29,2.44,2.38,0.06,2.521,post-market
2024-01-31,USD,7139000000,9251000000,7343000000,2148000000,1622000000,4069000000,1275000000,5517000000,None,None,None,140000000,9287000000,58000000,None,953000000,1645000000,199000000,None,1451000000,1552000000,1622000000,2575000000,1446000000,USD,99823000000,29074000000,8472000000,14274000000,None,11414000000,68114000000,2635000000,None,53898000000,5278000000,48620000000,10570000000,4848000000,5802000000,1561000000,3433000000,40177000000,26631000000,None,19003000000,1371000000,1889000000,14148000000,602000000,9426000000,999000000,8427000000,9426000000,2500000000,2475000000,59646000000,11692000000,11721000000,1000000,971000000,USD,3403000000,835000000,None,7421000000,6657000000,1450000000,147000000,6564000000,765000000,1451000000,-468000000,-946000000,None,1692000000,1692000000,None,869000000,869000000,None,None,0,None,-823000000,None,None,None,1446000000,2024-02-28,2.29,2.26,0.03,1.3274,post-market
2023-10-31,USD,6565000000,8734000000,6877000000,2155000000,1501000000,3805000000,1204000000,5064000000,None,None,None,70000000,8720000000,58000000,None,862000000,1487000000,263000000,None,1224000000,1151000000,1501000000,2363000000,1224000000,USD,91022000000,20202000000,6453000000,11914000000,1757000000,4850000000,67013000000,3807000000,None,54351000000,5737000000,48614000000,10184000000,4774000000,5461000000,1732000000,3176000000,32932000000,19394000000,None,12564000000,999000000,1522000000,13538000000,3287000000,9425000000,999000000,8426000000,9425000000,1896000000,2348000000,58090000000,10004000000,10275000000,1000000,972000000,USD,1532000000,28000000,None,-1644000000,-143000000,862000000,166000000,-550000000,-546000000,1224000000,-54000000,-1765000000,0,1925000000,1925000000,None,274000000,274000000,None,None,0,0,-1651000000,None,None,None,1224000000,2023-11-29,2.11,2.06,0.05,2.4272,post-market
2023-07-31,USD,6490000000,8639000000,6797000000,2113000000,1476000000,3745000000,1220000000,5014000000,None,-41000000,29000000,70000000,8603000000,45000000,None,890000000,1492000000,225000000,None,1267000000,1264000000,1476000000,2366000000,1267000000,USD,92447000000,21138000000,6772000000,12449000000,1781000000,5400000000,67433000000,3876000000,None,54748000000,6182000000,48566000000,10403000000,4778000000,5677000000,1560000000,2980000000,34365000000,20805000000,None,14237000000,999000000,1509000000,13560000000,3377000000,9423000000,999000000,8424000000,9423000000,1784000000,2269000000,58082000000,8057000000,9051000000,1000000,975000000,USD,808000000,90000000,None,-1427000000,820000000,890000000,180000000,768000000,-219000000,1267000000,-1152000000,-2050000000,0,1949000000,1949000000,None,362000000,362000000,None,None,0,0,-1587000000,None,None,None,1267000000,2023-08-30,2.12,1.9,0.22,11.5789,post-market
2023-04-30,USD,6122000000,8245000000,7882000000,2125000000,412000000,3792000000,1207000000,5710000000,None,67000000,141000000,74000000,8247000000,55000000,None,1254000000,326000000,127000000,None,199000000,218000000,412000000,1666000000,199000000,USD,93541000000,21981000000,9155000000,14019000000,1772000000,4632000000,67865000000,3695000000,None,55221000000,6654000000,48567000000,9455000000,4633000000,4864000000,1600000000,2859000000,36129000000,21626000000,None,15121000000,181000000,772000000,14503000000,3471000000,9602000000,181000000,9421000000,9602000000,2218000000,2202000000,57412000000,6144000000,7784000000,1000000,980000000,USD,4491000000,46000000,None,-3826000000,-5832000000,1254000000,243000000,-6123000000,None,199000000,347000000,-2716000000,0,2054000000,2054000000,None,0,449000000,None,None,0,0,-1605000000,None,2122000000,None,199000000,2023-05-31,1.69,1.61,0.08,4.9689,post-market
2023-01-31,USD,6284000000,8096000000,7931000000,2100000000,357000000,3971000000,1128000000,5927000000,None,252000000,314000000,63000000,8447000000,-10000000,None,1032000000,33000000,131000000,None,-98000000,109000000,357000000,1389000000,-98000000,USD,98849000000,26395000000,7016000000,12556000000,1776000000,10755000000,69541000000,2913000000,None,55693000000,7125000000,48568000000,10164000000,4672000000,5540000000,1356000000,2800000000,40490000000,25891000000,None,17376000000,1439000000,1772000000,15133000000,534000000,10601000000,1182000000,9419000000,10601000000,2857000000,2283000000,58359000000,4000000000,7585000000,1000000,1009000000,USD,2788000000,870000000,None,7778000000,6424000000,1032000000,218000000,6481000000,None,-98000000,312000000,-2221000000,0,2323000000,2323000000,None,173000000,173000000,None,None,0,0,-2150000000,None,879000000,None,-98000000,2023-03-01,1.68,1.36,0.32,23.5294,post-market
2022-10-31,USD,5749000000,7786000000,7038000000,2088000000,460000000,4009000000,1280000000,5289000000,None,-59000000,16000000,75000000,7752000000,-8000000,None,941000000,475000000,265000000,None,210000000,84000000,460000000,1401000000,210000000,USD,91884000000,19209000000,6076000000,12097000000,1549000000,4275000000,69161000000,3514000000,None,56153000000,7598000000,48555000000,10966000000,5124000000,6021000000,3016000000,2679000000,32533000000,18227000000,None,11193000000,1182000000,1749000000,14306000000,3398000000,10600000000,1182000000,9418000000,10600000000,5285000000,2057000000,59351000000,1743000000,7683000000,1000000,997000000,USD,313000000,46000000,None,-2114000000,-408000000,941000000,198000000,-471000000,None,210000000,533000000,-1678000000,0,1677000000,1677000000,None,233000000,233000000,None,None,0,0,-1444000000,None,-832000000,None,210000000,2022-11-30,1.4,1.21,0.19,15.7025,post-market
2022-07-31,USD,5593000000,7839000000,7105000000,2127000000,193000000,4071000000,1329000000,5400000000,None,-65000000,11000000,76000000,7783000000,-57000000,None,907000000,181000000,113000000,None,68000000,23000000,193000000,1100000000,68000000,USD,94148000000,21246000000,6931000000,13758000000,1531000000,4745000000,69527000000,3375000000,None,56640000000,8072000000,48568000000,11726000000,5124000000,6827000000,2968000000,2669000000,34050000000,20080000000,None,12825000000,1183000000,1809000000,13970000000,3206000000,10599000000,1183000000,9416000000,10599000000,5446000000,1974000000,60098000000,None,7473000000,1000000,997000000,USD,334000000,92000000,None,-673000000,677000000,907000000,203000000,790000000,None,68000000,-377000000,136000000,0,0,0,None,None,None,None,None,0,0,181000000,None,93000000,None,68000000,2022-08-24,1.19,1.02,0.17,16.6667,post-market
2022-04-30,USD,5366000000,7492000000,6979000000,2045000000,20000000,4028000000,1318000000,5346000000,None,-18000000,56000000,74000000,7457000000,-56000000,None,906000000,-29000000,-57000000,None,28000000,-116000000,20000000,926000000,28000000,USD,93022000000,20411000000,6859000000,13749000000,1478000000,3952000000,69743000000,2868000000,None,56878000000,8559000000,48319000000,11580000000,4936000000,6890000000,2956000000,2693000000,34146000000,19899000000,None,13636000000,1002000000,1660000000,14247000000,3388000000,10597000000,1002000000,9595000000,10597000000,13636000000,1922000000,58876000000,None,7405000000,1000000,991000000,USD,3676000000,46000000,None,-3418000000,-5396000000,906000000,179000000,-5805000000,None,28000000,-2457000000,201000000,0,0,0,None,None,None,None,None,0,0,274000000,None,1420000000,None,28000000,2022-05-31,0.98,0.94,0.04,4.2553,post-market
2022-01-31,USD,5312000000,7272000000,7142000000,2014000000,-176000000,4197000000,1291000000,5488000000,None,-76000000,34000000,76000000,7326000000,-55000000,None,931000000,-197000000,-169000000,76000000,-28000000,-72000000,-176000000,810000000,-28000000,USD,95209000000,22850000000,5464000000,10907000000,1454000000,9739000000,69944000000,2415000000,None,56915000000,8978000000,47937000000,9857000000,4784000000,5443000000,2574000000,2623000000,37078000000,21788000000,None,15628000000,118000000,686000000,15561000000,271000000,10596000000,4000000,10592000000,10596000000,5474000000,1995000000,58131000000,0,7377000000,1000000,989000000,USD,1982000000,307000000,None,6658000000,5604000000,661000000,167000000,5719000000,-79000000,-28000000,-1459000000,203000000,0,0,0,None,None,None,None,None,0,0,259000000,None,726000000,None,-28000000,2022-03-01,0.84,0.74,0.1,13.5135,post-market
2021-10-31,USD,5019000000,7403000000,6585000000,1844000000,38000000,3778000000,1203000000,4981000000,None,-72000000,302000000,72000000,7361000000,-102000000,None,963000000,299000000,-169000000,72000000,468000000,430000000,38000000,1334000000,468000000,USD,87436000000,15957000000,4753000000,9994000000,1242000000,4019000000,71479000000,2768000000,None,57423000000,9472000000,47951000000,8642000000,4004000000,5241000000,1305000000,2525000000,30382000000,15035000000,None,10116000000,20000000,688000000,15347000000,3410000000,10611000000,20000000,10591000000,10611000000,24000000,2034000000,57054000000,None,7405000000,1000000,980000000,USD,404000000,256000000,None,-1695000000,-280000000,3000000,166000000,-91000000,-2000000,468000000,-976000000,-970000000,0,0,0,None,None,None,None,None,-6000000,0,430000000,None,-1542000000,None,468000000,2021-11-30,1.27,0.92,0.35,38.0435,post-market
2021-07-31,USD,4727000000,7085000000,5707000000,1613000000,332000000,3375000000,1020000000,4395000000,None,-40000000,506000000,40000000,6978000000,-32000000,None,719000000,826000000,291000000,40000000,535000000,519000000,332000000,1585000000,535000000,USD,88658000000,16256000000,6299000000,10661000000,1211000000,4074000000,72402000000,2711000000,None,57849000000,9746000000,48103000000,7456000000,4105000000,4362000000,1321000000,2794000000,33138000000,17393000000,None,11067000000,1342000000,2052000000,15745000000,3591000000,11931000000,1342000000,10589000000,11931000000,11067000000,2278000000,55520000000,None,6937000000,1000000,933000000,USD,386000000,219000000,None,132000000,985000000,6000000,213000000,812000000,-373000000,535000000,-11054000000,8440000000,0,None,None,None,None,None,None,None,7922000000,0,375000000,None,-2228000000,None,535000000,2021-08-25,1.48,0.92,0.56,60.8696,post-market
