,Open,High,Low,Close,Volume
0,138.55,139.45,138.48,138.885,1343388
1,138.9,138.95,138.35,138.695,496396
2,138.7,138.72,137.83,137.84,602029
3,137.84,137.965,137.29,137.42,566824
4,137.43,137.45,136.82,136.84,627176
5,136.85,137.03,136.58,136.65,822114
6,136.66,137.37,136.58,137.36,382873
7,137.37,137.475,137.1,137.43,257079
8,137.42,137.65,137.254,137.525,254159
9,137.52,137.57,137.26,137.34,193445
10,137.34,137.51,137.26,137.475,160957
11,137.49,137.51,137.05,137.125,213334
12,137.12,137.12,136.922,137.0,311507
13,136.995,137.12,136.88,137.0,231572
14,136.99,137.22,136.92,137.21,221497
15,137.22,137.23,136.68,136.713,230549
16,136.73,136.94,136.48,136.93,225667
17,136.924,137.02,136.65,136.83,193641
18,136.82,137.1,136.82,137.1,203449
19,137.1,137.112,136.97,137.08,169470
20,137.07,137.33,137.07,137.23,260775
21,137.22,137.38,137.11,137.362,209595
22,137.36,137.43,137.17,137.21,178294
23,137.216,137.525,137.18,137.49,201084
24,137.51,137.652,137.41,137.415,166997
25,137.415,137.61,137.31,137.58,141311
26,137.59,137.69,137.545,137.64,141622
27,137.658,137.87,137.613,137.85,162995
28,137.88,137.93,137.785,137.88,200678
29,137.87,137.92,137.76,137.92,132294
30,137.935,138.08,137.865,138.08,152000
31,138.075,138.2,137.974,138.015,146640
32,138.015,138.12,137.92,137.971,238352
33,137.975,137.975,137.835,137.89,156729
34,137.89,138.09,137.81,137.842,137692
35,137.84,137.98,137.81,137.845,109634
36,137.845,138.04,137.74,138.03,146662
37,138.03,138.1,137.915,138.1,91806
38,138.1,138.15,137.96,138.0,110407
39,137.99,138.0,137.725,137.78,92642
40,137.772,137.775,137.58,137.59,130291
41,137.59,137.627,137.445,137.45,124183
42,137.45,137.585,137.385,137.575,126516
43,137.58,137.625,137.52,137.562,100815
44,137.561,137.675,137.535,137.67,85045
45,137.66,137.775,137.65,137.775,103804
46,137.78,137.925,137.78,137.88,107788
47,137.88,138.0,137.84,137.945,113765
48,137.95,138.045,137.91,138.03,120467
49,138.03,138.06,137.96,138.035,109357
50,138.03,138.04,137.948,137.975,142957
51,137.975,138.07,137.9,137.95,130141
52,137.95,137.96,137.72,137.765,128251
53,137.77,137.8,137.61,137.7,109260
54,137.7,137.765,137.515,137.52,120084
55,137.53,137.54,137.41,137.47,128796
56,137.47,137.59,137.42,137.495,178077
57,137.498,137.51,137.42,137.43,122628
58,137.435,137.596,137.43,137.58,116426
59,137.585,137.72,137.585,137.705,122206
60,137.7,137.775,137.592,137.675,106503
61,137.675,137.74,137.59,137.59,93449
62,137.581,137.59,137.48,137.535,159912
63,137.54,137.56,137.47,137.49,116580
64,137.51,137.55,137.35,137.4,125188
65,137.4,137.43,137.275,137.285,129838
66,137.29,137.35,137.09,137.16,232142
67,137.16,137.28,137.08,137.16,228520
68,137.17,137.266,137.14,137.266,196978
69,137.27,137.445,137.27,137.337,201756
70,137.33,137.47,137.295,137.46,212377
71,137.465,137.625,137.46,137.59,206155
72,137.595,137.758,137.57,137.65,213000
73,137.65,137.69,137.595,137.67,240095
74,137.677,137.76,137.6,137.725,326337
75,137.73,137.82,137.65,137.75,355905
76,137.75,138.09,137.75,137.9,816629
77,137.92,138.28,137.91,138.19,1259567
78,137.25,137.89,137.08,137.725,1024885
79,137.73,138.14,137.65,137.941,539459
80,137.94,138.55,137.94,138.47,345023
81,138.48,138.485,138.0,138.078,372403
82,138.1,138.2,137.86,138.1,312205
83,138.1,138.12,137.743,137.86,231995
84,137.83,138.38,137.62,138.33,474321
85,138.34,138.38,137.88,137.94,214942
86,137.95,138.032,137.73,137.885,228578
87,137.89,138.18,137.88,138.13,224606
88,138.14,138.278,137.95,138.27,198161
89,138.27,138.33,138.04,138.12,216660
90,138.12,138.28,138.08,138.14,249704
91,138.141,138.39,137.905,137.97,260569
92,137.98,138.35,137.935,138.25,196359
93,138.233,138.36,138.19,138.23,188005
94,138.22,138.5,138.199,138.435,231077
95,138.45,138.72,138.44,138.68,345577
96,138.685,138.84,138.685,138.77,220708
97,138.78,138.785,138.475,138.62,244920
98,138.623,138.82,138.53,138.61,156156
99,138.6,138.75,138.57,138.68,153519
100,138.68,138.87,138.68,138.868,167472
101,138.86,138.87,138.65,138.66,169218
102,138.65,138.81,138.61,138.63,193778
103,138.633,138.805,138.59,138.72,158963
104,138.71,138.752,138.59,138.67,206798
105,138.67,138.94,138.66,138.89,207798
