1. open,2. high,3. low,4. close,5. volume
137.8350,138.5500,137.8300,138.3000,3703171
137.6300,138.0450,137.6300,137.8350,1298992
137.4450,137.7200,137.4100,137.6250,332488
137.4800,137.5800,137.3900,137.4450,327652
137.4500,137.5300,137.4250,137.4780,220513
137.6500,137.6600,137.4100,137.4500,307053
137.4160,137.6500,137.4100,137.6450,341739
137.2150,137.4150,137.2150,137.4150,242804
137.1750,137.2300,137.1500,137.2150,259555
137.2850,137.2900,137.1500,137.1700,187119
137.2400,137.3200,137.2000,137.2850,156429
137.2100,137.2800,137.2100,137.2420,149775
137.1400,137.2100,137.1000,137.2090,127315
137.1100,137.1450,137.0600,137.1450,181259
137.0400,137.1200,136.9900,137.1100,210027
137.1400,137.2000,137.0300,137.0300,124285
137.2500,137.2650,137.1300,137.1470,155581
137.3200,137.3750,137.1900,137.2590,188570
137.4000,137.4100,137.2700,137.3100,254327
137.3500,137.4400,137.3100,137.4050,134307
137.3100,137.3920,137.2400,137.3500,202040
137.1300,137.3100,137.1300,137.3090,148867
137.0500,137.1300,136.9300,137.1250,165619
137.0500,137.0700,136.9500,137.0450,189038
137.1000,137.1300,137.0100,137.0500,164289
137.1050,137.1500,137.0900,137.1000,156973
137.0300,137.1500,137.0100,137.1080,171296
137.2050,137.2050,137.0100,137.0200,147062
137.2800,137.3400,137.1830,137.2100,139919
137.3300,137.3950,137.2700,137.2750,231087
137.2400,137.3600,137.2200,137.3260,441007
137.1450,137.2650,137.1200,137.2450,214387
137.2200,137.2600,137.1100,137.1450,535788
137.2800,137.2950,137.1200,137.2200,183963
137.1450,137.3500,137.1200,137.2700,259923
137.0750,137.1950,137.0600,137.1400,179271
137.0400,137.1250,137.0300,137.0800,152838
137.0150,137.0650,136.9500,137.0470,119009
136.8500,137.0800,136.8050,137.0100,163415
136.9000,137.0700,136.8600,136.8600,161634
136.8600,136.9100,136.8100,136.8940,148555
136.8000,136.9170,136.8000,136.8600,139282
136.9200,136.9600,136.7400,136.7950,161762
136.8400,136.9400,136.8200,136.9250,137264
136.8450,136.8950,136.7800,136.8400,136676
136.8300,136.8900,136.7800,136.8500,157928
136.9400,136.9550,136.7650,136.8350,190841
136.7800,137.0000,136.7750,136.9500,142811
136.8500,136.8940,136.7100,136.7800,168760
136.7000,136.8950,136.6300,136.8600,185460
136.5200,136.7200,136.4400,136.7100,221163
136.6900,136.6900,136.4000,136.5340,315967
136.7600,136.9300,136.6600,136.6840,334897
136.9300,136.9340,136.7100,136.7600,280361
137.0650,137.0800,136.9000,136.9150,264281
136.8900,137.0850,136.8100,137.0600,304398
136.8200,136.9150,136.7700,136.8900,237241
136.9700,137.0200,136.7300,136.8250,276627
137.0000,137.0500,136.8380,136.9700,328835
137.0800,137.1350,136.8800,136.9900,291939
137.0870,137.1100,136.9100,137.0900,288391
137.2700,137.2700,137.0250,137.0660,236286
137.0250,137.3260,136.8700,137.2800,362710
137.4700,137.4700,136.9600,137.0200,362095
137.4200,137.5400,137.3150,137.4750,319479
137.5600,137.6000,137.2450,137.4400,420313
137.5850,137.7200,137.5100,137.5600,920184
137.4500,137.6700,137.4200,137.5800,696424
137.8400,137.8400,137.4400,137.4500,598989
138.2800,138.2900,137.8100,137.8410,433712
138.3400,138.5950,138.1900,138.3000,421707
138.5800,138.6700,138.3100,138.3100,484679
138.7500,138.7800,138.5050,138.5900,459120
138.6000,138.8600,138.4500,138.7450,615618
137.7000,138.6800,137.7000,138.6000,1012704
137.6970,137.7900,137.5100,137.7040,596919
137.8700,137.9250,137.5500,137.6900,610866
137.2800,137.9100,137.0100,137.8600,2080150
136.1650,136.3800,136.1450,136.3800,1936480
136.1600,136.3000,136.1000,136.1700,942193
136.1700,136.2000,136.0200,136.1600,520658
136.2200,136.2500,136.1500,136.1700,378386
136.2300,136.2300,136.1500,136.2200,336662
136.2200,136.2400,136.1050,136.2250,329184
136.1600,136.2180,136.0800,136.2100,271712
136.0350,136.2700,135.9700,136.1550,418816
135.9800,136.1200,135.9600,136.0350,291133
136.0550,136.0600,135.9300,135.9850,245667
136.1900,136.2000,135.9700,136.0600,592561
135.9700,136.2100,135.9700,136.2000,293578
135.8900,136.0750,135.8900,135.9600,336760
135.8000,135.8950,135.6600,135.8900,363306
135.6000,135.8100,135.5600,135.7900,277133
135.5500,135.6050,135.4300,135.6000,239207
135.5600,135.5800,135.4100,135.5500,412253
135.6000,135.6180,135.5150,135.5600,332892
135.6700,135.6800,135.5600,135.6000,228256
135.5750,135.7100,135.5200,135.6700,283757
135.7800,135.8080,135.5700,135.5700,595328
135.8400,135.8840,135.7550,135.7800,233752
136.0100,136.0700,135.8200,135.8400,367759
136.0050,136.0500,135.9500,136.0300,247428
136.1050,136.1150,135.9250,136.0060,230158
136.0850,136.1600,136.0350,136.1000,251128
136.2200,136.3180,136.0550,136.0900,193399
136.1900,136.2550,136.1850,136.2180,253175
136.1300,136.1900,136.0700,136.1850,186617
136.0200,136.1800,136.0200,136.1400,194470
135.9050,136.1000,135.8800,136.0100,186654
135.8400,135.9450,135.8300,135.9000,153213
135.7600,135.8600,135.7100,135.8400,216916
135.7200,135.7900,135.6850,135.7550,193234
135.8100,135.8300,135.6650,135.7250,322051
135.9400,135.9750,135.7800,135.8110,296880
135.9150,135.9490,135.8950,135.9300,170190
135.8700,135.9900,135.8500,135.9150,143646
135.9250,135.9500,135.8550,135.8700,165352
135.9000,135.9600,135.8100,135.9250,235750
135.9400,135.9750,135.8950,135.8950,144809
135.9400,136.0100,135.8100,135.9400,202212
136.0300,136.0500,135.8750,135.9360,225523
135.9300,136.0600,135.8950,136.0400,230114
136.0100,136.0500,135.9300,135.9430,196299
135.8600,136.0650,135.8400,136.0050,247858
135.8750,135.9600,135.8500,135.8650,260978
