fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-03-31,USD,46662000000,80374000000,33712000000,33404000000,25472000000,9452000000,11903000000,21355000000,None,-94000000,1061000000,94000000,80468000000,255000000,3413000000,3413000000,28315000000,4653000000,94000000,23662000000,23225000000,28409000000,30185000000,23662000000,USD,407350000000,165471000000,24493000000,108090000000,None,44552000000,245279000000,143182000000,70004000000,29183000000,None,29183000000,200943000000,37394000000,83597000000,12829000000,10065000000,114506000000,76997000000,6198000000,4894000000,317000000,0,37509000000,1355000000,9000000000,0,9000000000,-127000000,63635000000,1683000000,292844000000,None,219770000000,12381000000,12381000000,USD,28848000000,None,None,-7319000000,-2167000000,3413000000,12012000000,-3167000000,None,23662000000,-8564000000,-19714000000,None,15696000000,15696000000,None,None,None,None,None,None,None,-15696000000,None,None,None,23662000000,2024-04-25,1.89,1.51,0.38,25.1656,post-market
2023-12-31,USD,47494000000,85069000000,37575000000,37575000000,23697000000,12925000000,12113000000,26241000000,None,-69000000,1110000000,69000000,85138000000,-47000000,None,1563000000,24412000000,3725000000,69000000,20687000000,23321000000,24481000000,26022000000,20687000000,USD,402392000000,171530000000,24048000000,110916000000,None,47964000000,233962000000,134345000000,67458000000,29198000000,None,29198000000,203704000000,34108000000,86868000000,12650000000,10051000000,119013000000,81814000000,7493000000,5048000000,1363000000,0,37199000000,1383000000,14862000000,1000000000,10300000000,14862000000,67393000000,1616000000,283379000000,None,211247000000,76534000000,12460000000,USD,18915000000,None,None,4579000000,5778000000,1563000000,11019000000,6518000000,5854000000,20687000000,-6167000000,-19308000000,None,16191000000,16191000000,None,None,None,None,None,None,None,-16191000000,None,None,None,20687000000,2024-01-30,1.64,1.59,0.05,3.1447,post-market
2023-09-30,USD,43078000000,76307000000,33229000000,33229000000,21343000000,10863000000,11258000000,22223000000,None,-116000000,1066000000,116000000,76423000000,120000000,None,3800000000,21197000000,1508000000,116000000,19689000000,18644000000,21313000000,26293000000,19689000000,USD,396711000000,176310000000,30702000000,119935000000,2957000000,41020000000,97154000000,125705000000,None,30979000000,1833000000,29146000000,209190000000,33365000000,89233000000,12398000000,7628000000,123509000000,86295000000,5803000000,5187000000,1400000000,0,37214000000,1914000000,10600000000,1000000000,9600000000,-133000000,68151000000,1433000000,273202000000,None,205647000000,74591000000,12541000000,USD,30656000000,None,None,4587000000,4445000000,3800000000,8055000000,2821000000,2136000000,19689000000,-7150000000,-18382000000,None,15787000000,15787000000,None,None,None,None,None,None,None,-15787000000,None,None,None,19689000000,2023-10-24,1.55,1.45,0.1,6.8966,post-market
2023-06-30,USD,42467000000,74383000000,31916000000,31916000000,21838000000,10262000000,10588000000,20920000000,None,-43000000,892000000,43000000,74426000000,94000000,None,4282000000,21903000000,3535000000,43000000,18368000000,18377000000,21946000000,26120000000,18368000000,USD,383044000000,168788000000,25929000000,118332000000,2231000000,38804000000,95440000000,121208000000,None,31176000000,1966000000,29210000000,214416000000,33616000000,92403000000,9421000000,6822000000,115903000000,77709000000,5313000000,4513000000,1317000000,0,38194000000,1841000000,11099000000,999000000,10100000000,-137000000,68550000000,1765000000,267141000000,None,200884000000,72248000000,12629000000,USD,28666000000,None,None,1762000000,3461000000,3397000000,6888000000,2948000000,130000000,18368000000,-10800000000,-17835000000,None,14969000000,14969000000,None,None,None,None,None,None,None,-14969000000,None,31000000,None,18368000000,2023-07-25,1.44,1.34,0.1,7.4627,post-market
2023-03-31,USD,39074000000,69686000000,30612000000,30612000000,17415000000,10292000000,11468000000,24318000000,None,-80000000,797000000,80000000,69766000000,132000000,2635000000,4182000000,18205000000,3154000000,80000000,15051000000,16654000000,18285000000,21597000000,15051000000,USD,369491000000,161985000000,25924000000,115102000000,2315000000,36036000000,92466000000,117560000000,None,30962000000,1968000000,28994000000,208310000000,33733000000,89178000000,8532000000,6439000000,108597000000,68854000000,4184000000,4325000000,1371000000,0,39743000000,1836000000,11199000000,999000000,10200000000,-140000000,58330000000,2373000000,260894000000,None,196625000000,70269000000,12722000000,USD,23509000000,None,None,-5802000000,-3708000000,2635000000,6289000000,-4454000000,None,15051000000,-2946000000,-16568000000,None,14557000000,14557000000,None,None,None,None,None,None,None,-14557000000,None,3995000000,None,15051000000,2023-04-25,1.17,1.07,0.1,9.3458,post-market
2022-12-31,USD,38949000000,74291000000,35342000000,35342000000,18160000000,12279000000,10267000000,22546000000,None,-90000000,659000000,90000000,74381000000,104000000,None,5126000000,17147000000,3523000000,90000000,13624000000,14873000000,17237000000,23286000000,13624000000,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,57787000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,23614000000,None,None,3659000000,5393000000,4201000000,7595000000,4615000000,None,13624000000,-6227000000,-17629000000,None,15407000000,15407000000,None,None,None,None,None,None,None,-15407000000,None,-242000000,None,13624000000,2023-02-02,1.05,1.18,-0.13,-11.0169,post-market
2022-09-30,USD,38262000000,69420000000,31158000000,31158000000,17135000000,10526000000,10273000000,20799000000,None,-101000000,615000000,101000000,69521000000,143000000,None,4759000000,16233000000,2323000000,101000000,13910000000,10886000000,16334000000,21894000000,13910000000,USD,358255000000,166109000000,21984000000,116259000000,3156000000,36176000000,85083000000,108363000000,None,31026000000,2192000000,28834000000,129424000000,31719000000,94275000000,10518000000,5670000000,104629000000,65979000000,6303000000,4179000000,414000000,0,38650000000,1799000000,14653000000,None,9700000000,-146000000,53806000000,2371000000,253626000000,None,196220000000,66258000000,12971000000,USD,23353000000,None,None,4229000000,2744000000,4046000000,7276000000,97000000,None,13910000000,-833000000,-18097000000,None,15392000000,15392000000,None,None,None,None,None,None,None,-15392000000,None,4423000000,None,13910000000,2022-10-25,1.06,1.25,-0.19,-15.2,post-market
2022-06-30,USD,39639000000,69743000000,30104000000,30104000000,19453000000,10287000000,9841000000,20128000000,None,-83000000,486000000,83000000,69826000000,259000000,None,4844000000,19014000000,3012000000,83000000,16002000000,14223000000,19097000000,24297000000,16002000000,USD,355185000000,172371000000,17936000000,124997000000,1980000000,37073000000,77991000000,106223000000,None,25326000000,1377000000,23949000000,142135000000,32065000000,107061000000,8321000000,5712000000,99766000000,61354000000,4409000000,3744000000,82000000,0,38412000000,1884000000,12850000000,None,10400000000,-150000000,51376000000,2422000000,255419000000,None,196845000000,64402000000,13078000000,USD,19422000000,None,None,2784000000,2814000000,3899000000,6828000000,1969000000,None,16002000000,-4187000000,-17817000000,None,15197000000,15197000000,None,None,None,None,None,None,None,-15197000000,None,-2582000000,None,16002000000,2022-07-26,1.21,1.28,-0.07,-5.4688,post-market
2022-03-31,USD,38460000000,68059000000,29599000000,29599000000,20094000000,9199000000,9119000000,18318000000,None,-83000000,414000000,83000000,68142000000,-125000000,None,4215000000,18934000000,2498000000,83000000,16436000000,14010000000,19017000000,24309000000,16436000000,USD,357096000000,177853000000,20886000000,133970000000,1369000000,35622000000,76425000000,104218000000,None,24323000000,1313000000,23010000000,147340000000,31944000000,113084000000,6892000000,5778000000,103092000000,61948000000,3436000000,3697000000,181000000,0,41144000000,1944000000,14791000000,None,11400000000,-153000000,53047000000,2242000000,254004000000,None,195221000000,62832000000,658763000,USD,25106000000,None,None,-5683000000,-3588000000,3782000000,9786000000,-4364000000,None,16436000000,-9051000000,-16214000000,None,13300000000,13300000000,None,None,None,None,None,None,None,-13300000000,None,-159000000,None,16436000000,2022-04-26,1.23,1.3,-0.07,-5.3846,post-market
2021-12-31,USD,42152000000,75140000000,32988000000,32988000000,21885000000,11744000000,8708000000,20452000000,None,-117000000,378000000,117000000,-181639000000,120000000,None,3439000000,24402000000,3760000000,117000000,20642000000,19427000000,24519000000,25643000000,20642000000,USD,359268000000,188143000000,20945000000,139649000000,1170000000,40270000000,172625000000,97599000000,49414000000,24373000000,1417000000,22956000000,152164000000,31049000000,118704000000,8020000000,5361000000,107633000000,64254000000,6037000000,3823000000,113000000,0,43379000000,1973000000,15440000000,0,12400000000,15440000000,52740000000,2205000000,251635000000,None,191484000000,61774000000,662121000,USD,24934000000,None,None,6066000000,6218000000,3439000000,6383000000,5819000000,5438000000,20642000000,-11016000000,-16511000000,None,13473000000,13473000000,None,None,None,None,None,None,None,-13473000000,None,-2593000000,None,20642000000,2022-02-01,1.53,1.37,0.16,11.6788,post-market
2021-09-30,USD,37307000000,64928000000,27621000000,27621000000,21031000000,8772000000,7694000000,16466000000,None,-77000000,387000000,77000000,65005000000,8000000,None,3304000000,23064000000,4128000000,77000000,18936000000,18338000000,23141000000,24426000000,18936000000,USD,347403000000,184110000000,23719000000,142003000000,1278000000,34800000000,70162000000,94631000000,None,24172000000,1549000000,22623000000,146960000000,27601000000,118284000000,6029000000,4276000000,102836000000,61782000000,4616000000,6978000000,249000000,0,41054000000,1447000000,12300000000,0,12300000000,-159000000,52097000000,2250000000,244567000000,None,183782000000,61193000000,664682000,USD,25539000000,None,None,3072000000,3664000000,3304000000,6819000000,2409000000,1664000000,18936000000,-10050000000,-15254000000,None,12610000000,12610000000,None,None,None,None,None,None,None,-12610000000,None,18936000000,None,18936000000,2021-10-26,1.4,1.17,0.23,19.6581,post-market
2021-06-30,USD,35653000000,61880000000,26227000000,26227000000,19361000000,8617000000,7675000000,16292000000,None,-76000000,389000000,76000000,61960000000,-90000000,None,2945000000,21985000000,3460000000,76000000,18525000000,18718000000,22061000000,22174000000,18525000000,USD,335387000000,175697000000,23630000000,135863000000,907000000,32851000000,69593000000,91697000000,None,24032000000,1626000000,22406000000,140465000000,27132000000,112233000000,6076000000,4298000000,97822000000,55741000000,4708000000,6425000000,117000000,0,42081000000,1491000000,12400000000,0,12400000000,-163000000,46281000000,2270000000,237565000000,None,176939000000,60436000000,667637000,USD,21890000000,None,None,3598000000,3860000000,2945000000,5496000000,3661000000,4005000000,18525000000,-9074000000,-15991000000,None,12796000000,12796000000,None,None,None,None,None,None,None,-12796000000,None,18525000000,None,18525000000,2021-07-27,1.36,0.97,0.39,40.2062,post-market
2021-03-31,USD,31211000000,55314000000,24103000000,24103000000,16437000000,7289000000,7485000000,14774000000,None,-76000000,345000000,76000000,55519000000,373000000,None,2753000000,21283000000,3353000000,76000000,17930000000,17294000000,21359000000,19248000000,17930000000,USD,327095000000,172137000000,26622000000,135104000000,888000000,28499000000,68952000000,87606000000,None,24164000000,1823000000,22341000000,142520000000,26894000000,108482000000,7646000000,4167000000,97082000000,55453000000,4801000000,3220000000,1090000000,0,41629000000,1052000000,14000000000,1000000000,13000000000,-165000000,46074000000,2146000000,230013000000,None,170580000000,59436000000,671094000,USD,19289000000,None,None,-4375000000,-2801000000,2753000000,5942000000,-2794000000,-3967000000,17930000000,-5383000000,-13606000000,None,11395000000,11395000000,None,None,None,None,None,None,None,-11395000000,None,300000000,None,17930000000,2021-04-27,1.31,0.79,0.52,65.8228,post-market
2020-12-31,USD,30038000000,56118000000,26080000000,26080000000,15651000000,8145000000,7022000000,15167000000,None,-53000000,386000000,53000000,-125497000000,-420000000,None,3725000000,18689000000,3462000000,53000000,15227000000,15814000000,18742000000,19292000000,15227000000,USD,319616000000,174296000000,26465000000,136694000000,728000000,31384000000,146720000000,84749000000,41713000000,22620000000,1445000000,21175000000,138984000000,22103000000,110229000000,5490000000,3953000000,97072000000,56834000000,5589000000,3024000000,1100000000,0,40238000000,1100000000,15319000000,999000000,14000000000,15319000000,47008000000,2269000000,222544000000,None,163401000000,58510000000,675222000,USD,22677000000,554000000,None,5783000000,6183000000,3725000000,5479000000,5445000000,5237000000,15227000000,-7281000000,-9270000000,None,7904000000,7904000000,None,None,None,None,None,None,None,-7904000000,None,6126000000,None,15227000000,2021-02-02,1.12,0.8,0.32,40,post-market
2020-09-30,USD,25013000000,46130000000,21117000000,21117000000,11213000000,6987000000,6856000000,13843000000,None,-48000000,460000000,48000000,46178000000,-88000000,None,3478000000,13359000000,2112000000,48000000,11247000000,11589000000,13407000000,14954000000,11247000000,USD,299243000000,164369000000,20129000000,132596000000,835000000,25513000000,134874000000,81636000000,None,22390000000,1520000000,20870000000,134397000000,15956000000,112467000000,5425000000,3274000000,86323000000,48200000000,4391000000,2756000000,1121000000,0,38123000000,1074000000,14899000000,999000000,13900000000,-173000000,39972000000,2194000000,212920000000,None,155567000000,57307000000,677724000,USD,17003000000,527000000,None,3690000000,3834000000,3478000000,5406000000,3601000000,3726000000,11247000000,-15197000000,546000000,None,7897000000,7897000000,None,None,None,None,None,None,None,-7897000000,None,5314000000,None,11247000000,2020-10-29,0.82,0.56,0.26,46.4286,post-market
2020-06-30,USD,19744000000,38297000000,18553000000,18553000000,6383000000,6486000000,6875000000,13361000000,None,-13000000,433000000,13000000,38761000000,-147000000,None,3386000000,8277000000,1318000000,13000000,6959000000,7760000000,8290000000,9926000000,6959000000,USD,278492000000,149069000000,17742000000,121080000000,815000000,21595000000,129423000000,78748000000,None,22521000000,1697000000,20824000000,122355000000,14161000000,103338000000,5579000000,2731000000,71170000000,43658000000,4064000000,2458000000,1136000000,0,27512000000,1171000000,5297000000,997000000,2963000000,-37000000,36117000000,1992000000,207322000000,None,151681000000,55937000000,681215000,USD,13993000000,493000000,None,1689000000,324000000,3386000000,5391000000,80000000,1367000000,6959000000,-8448000000,-7498000000,None,6852000000,6852000000,None,None,None,None,None,None,None,-6852000000,None,1075000000,None,6959000000,2020-07-30,0.51,0.41,0.1,24.3902,post-market
