,Open,High,Low,Close,Volume
0,621.314,622.124,613.126,616.463,57939
1,617.24,617.242,612.348,612.349,22703
2,612.328,613.517,610.85,611.95,30427
3,611.798,611.9,607.325,607.576,15439
4,607.954,610.182,607.794,608.565,25897
5,608.184,610.022,606.526,609.314,22451
6,609.951,610.632,608.254,608.275,22397
7,607.725,607.726,605.293,605.919,18215
8,606.127,606.238,604.14,604.141,16203
9,604.239,605.669,603.781,603.912,22280
10,603.661,604.86,603.628,604.611,14026
11,604.644,604.701,601.704,601.825,19394
12,601.484,602.414,600.406,601.81,24901
13,601.893,601.895,600.965,601.076,16988
14,600.905,600.946,600.271,600.337,27659
15,600.416,601.306,599.247,599.249,14385
16,599.148,600.567,598.728,600.567,17340
17,600.91,601.465,600.885,601.455,16568
18,601.764,602.527,601.065,602.504,18533
19,602.293,602.294,601.115,602.224,11292
20,602.632,603.762,602.592,603.432,17518
21,603.371,606.248,603.371,606.248,25105
22,605.932,605.934,603.88,603.882,18809
23,603.86,605.549,603.86,604.92,12937
24,605.178,605.409,603.91,603.982,8910
25,604.02,604.301,603.671,603.797,41588
26,603.501,603.692,603.201,603.542,10133
27,603.416,603.942,603.416,603.687,7765
28,603.726,603.732,602.942,602.943,8993
29,602.782,603.193,602.582,602.584,16921
30,602.592,603.033,602.013,602.444,15916
31,602.353,602.878,602.253,602.584,12870
32,602.592,602.594,602.043,602.264,4560
33,602.293,602.703,601.629,601.815,9338
34,602.093,602.354,601.709,601.985,6970
35,601.958,602.035,601.529,601.685,6170
36,601.594,602.324,601.594,602.324,9185
37,602.383,602.691,602.058,602.454,7719
38,602.692,602.863,602.253,602.374,5666
39,601.913,602.005,601.244,601.875,9639
40,601.744,601.745,600.896,601.166,5693
41,600.895,601.046,600.725,600.726,3642
42,600.338,600.687,600.205,600.232,6456
43,600.406,600.687,599.981,599.983,7468
44,599.966,600.657,599.966,600.457,9894
45,600.296,600.886,600.236,600.826,5976
46,600.87,601.755,600.87,601.665,8660
47,601.454,601.875,601.454,601.875,6566
48,601.823,602.074,601.744,602.03,5668
49,601.873,602.414,601.873,602.364,5717
50,602.223,602.564,602.133,602.294,6513
51,602.223,602.304,601.549,601.7,5684
52,601.374,601.835,601.294,601.47,4967
53,601.274,601.276,600.266,600.457,5499
54,600.715,600.936,600.076,600.077,6899
55,600.056,600.353,599.846,600.327,7826
56,600.186,601.705,600.186,601.146,12341
57,600.955,601.745,600.705,601.565,4998
58,601.424,602.334,601.424,602.015,8774
59,602.068,602.599,602.058,602.364,5039
60,602.413,602.783,601.933,602.783,6835
61,602.922,602.923,602.453,602.454,5490
62,602.285,602.694,602.193,602.249,13745
63,602.363,602.384,602.083,602.084,4909
64,602.188,602.219,601.454,601.535,10037
65,601.294,601.465,601.085,601.086,7349
66,601.214,601.266,599.697,599.913,14137
67,599.921,600.781,599.87,600.417,19531
68,600.565,600.567,600.036,600.257,13377
69,600.386,601.321,599.966,601.056,15878
70,600.915,601.445,600.805,601.445,14277
71,601.364,601.47,600.525,601.056,22726
72,600.845,601.855,600.825,601.281,21648
73,601.169,601.326,600.815,600.911,19079
74,600.805,601.02,600.376,600.776,26450
75,600.78,601.146,600.246,600.716,33399
76,600.905,602.484,600.905,601.708,50677
77,601.684,603.352,601.454,602.733,98780
78,596.661,597.481,592.877,594.985,43273
79,594.604,596.318,594.125,595.644,18632
80,596.082,596.608,595.114,596.608,13976
81,596.112,596.148,594.045,595.21,15806
82,594.624,594.626,592.672,593.487,22824
