1. open,2. high,3. low,4. close,5. volume
574.2200,577.4100,574.2200,577.1400,325704
569.5400,574.4900,569.5400,574.1550,148561
568.4200,569.8600,568.3500,569.5700,55616
567.2300,568.7850,567.1300,568.5250,41765
566.3700,567.4300,566.3700,567.2600,22258
565.8750,566.8650,565.7300,566.3650,27924
565.6100,566.3850,565.3830,565.9850,19122
564.4950,565.7350,564.4200,565.7350,26073
563.7700,564.4950,563.7600,564.3800,13632
563.1300,564.1900,563.1300,563.7700,14126
562.3500,563.2700,562.3500,563.2700,11215
562.1300,562.2900,561.7700,562.2600,10805
561.7050,562.3700,561.5900,562.1400,10646
561.4150,561.7620,561.1900,561.7620,11190
561.5700,561.6500,561.3800,561.4150,5014
561.2900,561.9300,560.9600,561.8100,10697
560.9000,561.3700,560.8400,561.3700,9211
561.3150,561.4100,560.7550,560.8100,8158
561.8900,561.9400,561.3250,561.3250,8001
561.9300,562.0250,561.6600,561.7950,8654
561.8800,562.0300,561.6300,561.9300,8924
561.4200,562.0300,561.2100,561.9300,11607
561.0800,561.5600,560.8300,561.3500,13018
560.9950,561.2100,560.6100,561.0400,12013
561.3600,561.4900,560.9100,560.9100,6434
561.6010,561.6600,560.8600,561.2500,6177
561.8600,561.9000,561.3750,561.6100,4035
561.8600,562.1300,561.3500,561.7400,7379
562.3000,562.3400,561.8700,561.8910,4036
562.6150,562.9100,562.2100,562.2100,7978
563.0200,563.0200,562.4800,562.5800,9193
562.2700,563.0700,562.1800,563.0700,10535
561.7000,562.4700,561.7000,562.2760,14004
561.3600,562.1900,561.2500,561.7700,19523
560.7230,561.2900,560.6650,561.2900,19386
560.1300,560.8950,560.1200,560.6650,10334
560.0000,560.3100,559.9700,560.1300,8636
559.4400,560.0700,559.2800,560.0650,10723
560.7600,560.9300,559.1450,559.4000,34136
560.8000,561.1400,560.6050,560.8000,14026
560.3500,560.9900,560.3500,560.9900,6745
559.9000,560.3900,559.7000,560.3500,14112
559.5400,560.3500,559.3400,560.0850,17643
559.5900,559.9700,559.0500,559.9700,15137
559.6250,559.9200,559.4600,559.7150,8748
559.1800,559.9900,559.1800,559.5100,15725
559.1800,559.2400,558.8820,559.1800,9246
558.9200,559.4100,558.8900,559.1700,69107
559.1100,559.3200,558.9200,559.0750,14590
559.2600,559.2800,558.9200,559.0600,8429
559.0950,559.4800,558.7900,558.9300,23263
558.6400,559.4400,558.6400,559.1400,16494
559.9000,560.3000,558.4650,558.4650,9478
559.2550,559.8650,558.7000,559.8650,13601
558.8500,559.7700,558.3850,559.2750,11887
558.7800,559.1100,558.0500,559.0310,20133
559.7400,559.7400,558.7550,558.8400,11184
559.7700,560.1300,559.1800,559.7100,14774
559.9000,560.2600,559.0200,559.7200,9443
560.1500,560.1600,558.7600,559.3300,7300
559.2500,560.8300,559.1850,559.9100,7843
559.6600,560.0100,559.1600,559.3500,13553
559.5800,560.5500,559.5800,560.2100,10541
559.2550,560.0380,558.8750,559.3200,43739
