fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-04-30,USD,4750000000,6680000000,1930000000,36000000,3105000000,1774000000,671000000,2565000000,None,-60000000,34000000,60000000,6737000000,27000000,42000000,120000000,3072000000,683000000,60000000,2389000000,2391000000,3105000000,3252000000,2389000000,USD,31560000000,9236000000,4215000000,4215000000,None,4000000,22324000000,1032000000,None,19728000000,5950000000,13778000000,517000000,129000000,463000000,3059000000,495000000,12803000000,6163000000,886000000,847000000,None,78000000,6870000000,546000000,5952000000,0,5952000000,5952000000,586000000,217000000,18757000000,18495000000,17270000000,20040000000,280000000,USD,3951000000,16000000,None,626000000,-304000000,156000000,61000000,-260000000,None,2389000000,-219000000,-1684000000,0,572000000,572000000,None,257000000,257000000,None,None,0,None,-515000000,None,None,None,2389000000,2024-05-23,9.88,9.37,0.51,5.4429,post-market
2024-01-31,USD,1812000000,3332000000,1520000000,36000000,369000000,1364000000,678000000,2162000000,None,-57000000,22000000,57000000,3386000000,42000000,36000000,120000000,354000000,1000000,57000000,353000000,371000000,369000000,531000000,353000000,USD,29688000000,7300000000,1474000000,1474000000,3390000000,126000000,22388000000,1049000000,None,19883000000,6104000000,13779000000,83000000,128000000,15000000,345000000,501000000,12780000000,6216000000,789000000,890000000,None,81000000,6714000000,554000000,5950000000,0,5950000000,5950000000,602000000,138000000,16908000000,17911000000,15140000000,19739000000,280000000,USD,613000000,17000000,None,375000000,646000000,156000000,63000000,664000000,-96000000,353000000,34000000,-16000000,0,551000000,551000000,None,256000000,256000000,None,None,0,None,-474000000,None,None,None,353000000,2024-03-05,2.63,2.3,0.33,14.3478,post-market
2023-10-31,USD,1647000000,2916000000,1269000000,38000000,307000000,1111000000,680000000,1911000000,None,-65000000,36000000,65000000,2978000000,22000000,33000000,120000000,264000000,23000000,65000000,241000000,218000000,307000000,449000000,241000000,USD,28488000000,6231000000,1734000000,1734000000,2525000000,17000000,22257000000,1013000000,None,20037000000,6261000000,13776000000,471000000,107000000,537000000,388000000,429000000,11496000000,4996000000,630000000,767000000,None,84000000,6666000000,558000000,5879000000,0,5879000000,5879000000,506000000,144000000,16992000000,17375000000,15047000000,19398000000,280000000,USD,-97000000,25000000,None,-951000000,-3000000,191000000,84000000,-45000000,-576000000,241000000,210000000,849000000,0,584000000,584000000,None,260000000,260000000,None,None,3956000000,None,-492000000,None,None,None,241000000,2023-11-28,2.47,1.98,0.49,24.7475,post-market
2023-07-31,USD,1540000000,2883000000,1343000000,41000000,17000000,1181000000,680000000,1982000000,None,-68000000,46000000,68000000,2712000000,46000000,33000000,121000000,-5000000,-94000000,68000000,89000000,95000000,17000000,184000000,89000000,USD,27780000000,5557000000,2848000000,2848000000,420000000,434000000,22308000000,969000000,1472000000,20199000000,6419000000,13780000000,730000000,105000000,814000000,354000000,417000000,10511000000,3790000000,638000000,926000000,None,499000000,6802000000,480000000,6120000000,0,6120000000,6120000000,448000000,117000000,17269000000,16772000000,15067000000,3000000,280421000,USD,842000000,790000000,None,-312000000,-495000000,195000000,40000000,-284000000,156000000,89000000,-373000000,-1365000000,32000000,472000000,472000000,None,222000000,222000000,None,None,0,None,-394000000,None,None,None,89000000,2023-08-24,1.65,1.44,0.21,14.5833,post-market
2023-04-30,USD,4260000000,5955000000,1695000000,40000000,2778000000,1535000000,604000000,2259000000,None,-66000000,28000000,66000000,6018000000,22000000,33000000,120000000,2734000000,647000000,66000000,2087000000,2089000000,2778000000,2920000000,2087000000,USD,28921000000,6649000000,3745000000,3745000000,388000000,2000000,22272000000,938000000,None,20358000000,6580000000,13778000000,402000000,102000000,523000000,574000000,376000000,11329000000,4415000000,921000000,833000000,501000000,588000000,7081000000,586000000,6610000000,501000000,6109000000,6610000000,498000000,116000000,17592000000,16307000000,15200000000,18760000000,281000000,USD,3592000000,25000000,None,891000000,-73000000,160000000,88000000,-251000000,None,2087000000,155000000,-1549000000,31000000,478000000,478000000,None,221000000,221000000,None,None,0,None,-409000000,None,None,None,2087000000,2023-05-23,8.92,8.48,0.44,5.1887,post-market
2023-01-31,USD,1570000000,2979000000,1409000000,41000000,270000000,1247000000,630000000,1998000000,None,-65000000,15000000,65000000,3041000000,23000000,47000000,121000000,228000000,60000000,65000000,168000000,192000000,270000000,414000000,168000000,USD,27202000000,4756000000,1547000000,2071000000,376000000,67000000,22446000000,931000000,None,20516000000,6737000000,13779000000,724000000,108000000,524000000,391000000,371000000,11360000000,3862000000,811000000,856000000,501000000,501000000,7636000000,600000000,7077000000,501000000,6576000000,7077000000,820000000,88000000,15842000000,15824000000,13337000000,18392000000,281000000,USD,284000000,25000000,None,262000000,570000000,162000000,55000000,497000000,None,168000000,-448000000,-442000000,89000000,507000000,507000000,None,224000000,224000000,None,None,0,None,-486000000,None,None,None,168000000,2023-02-23,2.2,1.44,0.76,52.7778,post-market
2022-10-31,USD,1290000000,2551000000,1261000000,41000000,76000000,1099000000,625000000,1845000000,None,-49000000,14000000,49000000,2597000000,5000000,47000000,121000000,32000000,-8000000,49000000,40000000,13000000,76000000,202000000,40000000,USD,27085000000,4554000000,2125000000,2724000000,None,1038000000,22620000000,926000000,None,20631000000,6899000000,13732000000,799000000,98000000,599000000,792000000,331000000,11018000000,3325000000,670000000,703000000,499000000,585000000,7743000000,616000000,6985000000,499000000,6486000000,6985000000,589000000,89000000,16067000000,15324000000,13396000000,18082000000,281000000,USD,328000000,23000000,None,-382000000,-33000000,209000000,77000000,-68000000,None,40000000,-256000000,-913000000,70000000,510000000,510000000,None,222000000,222000000,None,None,0,None,-450000000,None,None,None,40000000,2022-11-29,1.66,1.22,0.44,36.0656,post-market
2022-07-31,USD,1146000000,2449000000,1303000000,41000000,-75000000,1141000000,627000000,1889000000,None,-32000000,8000000,32000000,2414000000,8000000,45000000,121000000,-99000000,-43000000,32000000,-56000000,-63000000,-75000000,54000000,-56000000,USD,27734000000,5047000000,2796000000,3281000000,None,1048000000,22776000000,888000000,1438000000,20797000000,7061000000,13736000000,685000000,98000000,485000000,718000000,344000000,11293000000,3630000000,737000000,814000000,499000000,499000000,7713000000,542000000,6914000000,499000000,6415000000,6914000000,571000000,87000000,16441000000,14805000000,13581000000,3000000,281932000,USD,339000000,397000000,None,-459000000,-171000000,208000000,61000000,-204000000,None,-56000000,-311000000,-897000000,60000000,524000000,524000000,None,194000000,194000000,None,None,182000000,None,-478000000,None,-869000000,None,-56000000,2022-08-23,1.1,0.98,0.12,12.2449,post-market
2022-04-30,USD,3760000000,5615000000,1855000000,42000000,2395000000,1692000000,600000000,2413000000,None,-21000000,2000000,21000000,5632000000,-1000000,46000000,121000000,2373000000,579000000,21000000,1794000000,1775000000,2395000000,2515000000,1794000000,USD,28514000000,5858000000,3531000000,3904000000,None,744000000,22747000000,858000000,None,20955000000,7224000000,13731000000,573000000,98000000,373000000,1210000000,312000000,11553000000,3591000000,900000000,747000000,None,77000000,1154000000,492000000,6853000000,None,None,6853000000,670000000,86000000,16961000000,14297000000,13832000000,17479000000,282000000,USD,3320000000,25000000,None,395000000,-428000000,163000000,61000000,-383000000,None,1794000000,-428000000,-443000000,120000000,463000000,463000000,None,195000000,195000000,None,None,0,None,-422000000,None,1794000000,None,1794000000,2022-05-24,7.65,7.58,0.07,0.9235,post-market
2022-01-31,USD,1153000000,2657000000,1504000000,42000000,56000000,1341000000,590000000,2052000000,None,-21000000,None,21000000,2673000000,-5000000,51000000,121000000,30000000,-70000000,21000000,100000000,95000000,56000000,172000000,100000000,USD,26303000000,3490000000,1257000000,1414000000,None,1130000000,22888000000,831000000,None,21120000000,7388000000,13732000000,356000000,90000000,157000000,946000000,325000000,10708000000,2968000000,883000000,827000000,None,76000000,1038000000,429000000,6732000000,None,None,6732000000,475000000,73000000,15595000000,13808000000,12235000000,17202000000,283000000,USD,85000000,28000000,None,83000000,681000000,163000000,65000000,579000000,-196000000,100000000,-5478000000,3858000000,0,539000000,539000000,None,195000000,195000000,None,None,0,None,-519000000,None,100000000,None,100000000,2022-02-24,1.55,1.85,-0.3,-16.2162,post-market
