1. open,2. high,3. low,4. close,5. volume
490.1350,491.1600,489.3900,489.3900,812973
489.0500,490.5300,489.0500,490.1600,432945
488.8750,489.4700,488.7000,489.0220,157067
489.1900,489.2500,488.8000,488.8820,139654
489.0650,489.4100,488.9880,489.1850,217283
489.2550,489.5700,489.0100,489.0980,121088
489.6800,489.8300,489.2000,489.2950,136582
489.7500,489.8100,489.5900,489.7300,113785
489.3700,489.9200,489.3600,489.7000,182543
489.7050,489.8000,489.3190,489.3190,96862
489.5000,489.7500,489.1900,489.6900,72782
489.4800,489.5200,489.1500,489.4900,65663
489.2610,489.5200,489.0100,489.4600,55502
489.2200,489.5500,488.9600,489.3000,75392
488.9200,489.3200,488.6000,489.2700,84855
489.3100,489.3200,488.8200,488.9100,67792
489.2050,489.3500,488.8400,489.2750,90621
488.6100,489.2100,488.4800,489.2100,61342
489.2300,489.5000,488.4200,488.6100,103579
489.2100,489.3400,489.0200,489.2700,83495
488.5000,489.3800,488.4810,489.2500,137194
488.2500,488.6800,488.1700,488.4500,55813
488.0400,488.5100,487.8400,488.1950,66610
488.1300,488.3100,487.8400,487.9800,52451
488.2400,488.3900,488.0700,488.0950,44228
488.1100,488.5300,488.1000,488.2400,70769
487.8000,488.1700,487.7640,488.1200,56744
488.3050,488.3600,487.5900,487.7750,68928
488.1480,488.5000,488.1450,488.3000,58331
488.0400,488.3480,487.8400,488.1900,78830
488.2750,488.5500,487.8600,488.0800,79881
488.1100,488.5200,488.0700,488.3100,69950
488.6100,488.8800,488.0400,488.1500,86308
488.8900,489.2500,488.4850,488.6000,116542
488.1600,488.9500,488.0300,488.8850,143447
487.5500,488.3600,487.4300,488.2000,98402
487.3600,487.6900,487.2050,487.5500,80805
486.9200,487.4500,486.7100,487.3200,78649
486.6300,487.1490,486.2700,486.9100,83997
486.5150,486.8300,486.3600,486.7700,57630
486.1100,486.5400,486.0400,486.5400,42626
485.2500,486.4600,485.1800,486.1100,56881
486.2330,486.3300,485.1200,485.3100,58575
486.1640,486.4100,485.8100,486.1810,50384
485.8000,486.2800,485.5610,486.1600,69822
486.3890,486.6650,485.6400,485.7600,90422
486.5650,486.7300,486.0700,486.3840,50069
486.3850,487.0900,486.2900,486.5100,71921
486.0900,486.4910,485.6600,486.3850,79077
485.7000,486.1400,485.3500,486.1000,92279
484.6100,485.8020,483.8350,485.7000,114318
483.5000,484.7100,482.6100,484.6490,182923
484.6500,485.0000,483.3300,483.4150,166894
485.2560,485.6300,484.4700,484.6500,153679
486.6700,486.7400,485.1100,485.2700,230466
487.4100,487.4100,486.3200,486.7100,108296
487.7900,488.0400,487.1710,487.4310,65558
488.1600,488.6000,487.4900,487.7740,143951
487.8400,488.3100,487.5700,488.1600,80690
488.8100,488.8100,487.2700,487.7300,119576
488.7450,489.1400,488.5500,488.7450,94404
489.6500,489.6800,488.6400,488.6400,81261
489.5000,490.0100,488.5700,489.6500,146807
489.7470,490.0000,489.2200,489.5350,124831
489.4300,490.0000,489.3500,489.6600,123923
489.1200,489.4100,488.6200,489.3980,111346
