fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-03-31,USD,29815000000,36455000000,6640000000,6620000000,13818000000,6019000000,9978000000,16237000000,None,513000000,585000000,127000000,36455000000,None,3330000000,3374000000,14183000000,1814000000,None,12369000000,11869000000,13818000000,17832000000,12369000000,USD,222844000000,75330000000,32307000000,58120000000,None,13430000000,43270000000,98908000000,None,21479000000,829000000,20650000000,51683000000,57000000,25813000000,3696000000,8179000000,73315000000,28101000000,3785000000,1244000000,None,1676000000,45214000000,19246000000,18387000000,None,18387000000,37633000000,14845000000,1462000000,149529000000,None,76793000000,0,2545000000,USD,19246000000,830000000,None,-2303000000,-2526000000,3374000000,6400000000,-2520000000,None,12369000000,-8734000000,-19767000000,None,15008000000,15008000000,None,1273000000,1273000000,None,None,0,None,-15008000000,None,None,None,12369000000,2024-04-24,4.71,4.32,0.39,9.0278,post-market
2023-12-31,USD,31910000000,39605000000,7695000000,7695000000,16384000000,5515000000,10517000000,17245000000,None,-140000000,588000000,140000000,39745000000,None,3140000000,123000000,16807000000,2790000000,140000000,14017000000,15418000000,16384000000,17070000000,14017000000,USD,229623000000,85365000000,41862000000,65403000000,None,16169000000,41588000000,96587000000,None,21442000000,788000000,20654000000,47140000000,58000000,23541000000,3793000000,7582000000,76455000000,31960000000,5712000000,1301000000,90000000,1623000000,52609000000,600000000,18385000000,None,18385000000,18385000000,5506000000,1370000000,153168000000,None,82070000000,0,2565000000,USD,19404000000,699000000,None,983000000,2254000000,3172000000,7665000000,2843000000,-1270000000,14017000000,-6472000000,-8401000000,0,5942000000,5942000000,None,None,None,None,None,0,None,-5942000000,None,None,None,14017000000,2024-02-01,5.33,4.96,0.37,7.4597,post-market
2023-09-30,USD,27799000000,34009000000,6210000000,6210000000,13748000000,4947000000,9241000000,14300000000,None,-137000000,534000000,137000000,34146000000,None,2830000000,112000000,14020000000,2437000000,137000000,11583000000,11133000000,13748000000,14269000000,11583000000,USD,216274000000,78378000000,36890000000,61123000000,None,12944000000,40041000000,91772000000,None,21481000000,813000000,20668000000,48525000000,59000000,24233000000,4311000000,5468000000,73401000000,30531000000,5142000000,1035000000,85000000,1460000000,50276000000,574000000,18383000000,None,18383000000,18383000000,4931000000,8113000000,142873000000,None,75205000000,0,2576000000,USD,20402000000,816000000,None,627000000,1622000000,2859000000,6543000000,678000000,None,11583000000,-6077000000,-5875000000,0,3569000000,3569000000,None,None,None,None,0,0,None,-3569000000,None,None,None,11583000000,2023-10-25,4.39,3.63,0.76,20.9366,post-market
2023-06-30,USD,25939000000,31884000000,5945000000,5945000000,9392000000,7318000000,9344000000,16787000000,None,-115000000,323000000,115000000,31999000000,-99000000,2580000000,125000000,9293000000,1505000000,115000000,7788000000,7663000000,9392000000,9533000000,7788000000,USD,206688000000,69560000000,28785000000,53446000000,None,12511000000,43030000000,87949000000,None,21515000000,856000000,20659000000,49381000000,59000000,24661000000,3603000000,8501000000,72655000000,29921000000,3865000000,1014000000,181000000,1396000000,49883000000,579000000,18382000000,None,18382000000,18382000000,4723000000,7912000000,134033000000,None,67980000000,0,2568000000,USD,17309000000,521000000,None,4972000000,1441000000,2623000000,6216000000,1424000000,None,7788000000,-5203000000,5292000000,0,898000000,898000000,None,None,None,None,0,0,None,-898000000,None,17398000000,None,7788000000,2023-07-26,2.98,2.92,0.06,2.0548,post-market
2023-03-31,USD,22483000000,28591000000,6108000000,6108000000,7227000000,5929000000,9381000000,16231000000,None,-54000000,193000000,54000000,28645000000,80000000,2480000000,151000000,7307000000,1598000000,54000000,5709000000,6258000000,7227000000,7512000000,5709000000,USD,184491000000,52483000000,11551000000,37439000000,None,11044000000,41703000000,84156000000,None,21598000000,949000000,20649000000,51794000000,18000000,25888000000,4000000000,7188000000,59696000000,25381000000,4557000000,952000000,114000000,1479000000,41834000000,573000000,9925000000,None,9925000000,9925000000,4329000000,8219000000,124795000000,None,61241000000,0,2587000000,USD,13998000000,665000000,None,-826000000,-3397000000,2524000000,6842000000,-2546000000,None,5709000000,-6743000000,-10516000000,0,9365000000,9365000000,None,0,None,None,0,0,None,-9365000000,None,-3261000000,None,5709000000,2023-04-26,2.2,2.03,0.17,8.3744,post-market
2022-12-31,USD,23584000000,31920000000,8336000000,8336000000,6399000000,7659000000,9771000000,17159000000,None,-164000000,9000000,164000000,32084000000,-249000000,2330000000,142000000,6149000000,1496000000,164000000,4653000000,6177000000,6399000000,6455000000,4653000000,USD,185727000000,59549000000,14681000000,40763000000,None,13466000000,40476000000,79518000000,None,21203000000,897000000,20306000000,52106000000,17000000,26082000000,5345000000,6583000000,60014000000,27026000000,6107000000,1008000000,129000000,10000000000,40191000000,558000000,9923000000,None,9923000000,19923000000,4906000000,7764000000,125713000000,None,64799000000,0,2639000000,USD,14511000000,462000000,None,2686000000,790000000,2376000000,9043000000,1699000000,None,4653000000,-7531000000,-7060000000,0,6863000000,6863000000,None,None,None,None,0,0,None,-6863000000,None,-80000000,None,4653000000,2023-02-01,1.76,2.22,-0.46,-20.7207,post-market
2022-09-30,USD,21994000000,27710000000,5716000000,5716000000,5664000000,7164000000,9170000000,17237000000,None,-4000000,77000000,4000000,27714000000,-88000000,2130000000,137000000,5576000000,1181000000,4000000,4395000000,2752000000,5664000000,5717000000,4395000000,USD,178894000000,58315000000,14308000000,69244000000,None,11227000000,40346000000,73738000000,None,21143000000,875000000,20268000000,82271000000,33000000,54936000000,5312000000,5529000000,54800000000,22687000000,4846000000,991000000,64000000,1291000000,32630000000,517000000,19922000000,None,9922000000,19922000000,17011000000,7504000000,124094000000,None,67056000000,0,2682000000,USD,9692000000,421000000,None,1539000000,964000000,2175000000,9375000000,105000000,701000000,4395000000,-9701000000,2147000000,-191000000,6354000000,6354000000,None,None,None,None,0,9921000000,None,-6354000000,None,2138000000,None,4395000000,2022-10-26,1.64,1.89,-0.25,-13.2275,post-market
2022-06-30,USD,23626000000,28818000000,5192000000,5192000000,8358000000,6582000000,8690000000,15420000000,None,-4000000,91000000,4000000,28822000000,-172000000,1930000000,148000000,8186000000,1499000000,4000000,6687000000,5272000000,8358000000,8338000000,6687000000,USD,169779000000,55987000000,12681000000,68297000000,None,11525000000,39702000000,67588000000,None,21194000000,965000000,20229000000,83208000000,34000000,55616000000,3973000000,4344000000,44012000000,22217000000,4990000000,1031000000,78000000,1275000000,22329000000,534000000,None,None,None,16067000000,16402000000,7003000000,125767000000,None,69249000000,0,2704000000,USD,12196000000,394000000,None,1400000000,981000000,1979000000,7572000000,522000000,705000000,6687000000,-6959000000,-6563000000,-79000000,5233000000,5233000000,None,None,None,None,0,None,None,-5233000000,None,-1326000000,None,6687000000,2022-07-27,2.46,2.59,-0.13,-5.0193,post-market
2022-03-31,USD,21899000000,27904000000,6005000000,6005000000,8524000000,5672000000,7707000000,13517000000,None,-4000000,384000000,4000000,27908000000,384000000,2120000000,138000000,8908000000,1443000000,4000000,7465000000,6162000000,8524000000,9050000000,7465000000,USD,164218000000,59265000000,14886000000,43890000000,None,11390000000,36630000000,61582000000,None,20833000000,910000000,19923000000,58042000000,34000000,29004000000,3985000000,3522000000,40990000000,21086000000,4181000000,1037000000,81000000,1159000000,20428000000,524000000,None,None,None,14053000000,16161000000,7010000000,123228000000,None,67712000000,0,2725000000,USD,14076000000,393000000,None,-229000000,-3022000000,2156000000,5441000000,-2557000000,1118000000,7465000000,-4779000000,-10660000000,20000000,9506000000,9506000000,None,None,None,None,0,None,None,-9506000000,None,-1363000000,None,7465000000,2022-04-27,2.72,2.56,0.16,6.25,post-market
2021-12-31,USD,27179000000,33527000000,6348000000,6348000000,12585000000,7692000000,7046000000,14873000000,None,-4000000,117000000,4000000,33531000000,118000000,1970000000,135000000,12703000000,2418000000,4000000,10285000000,9799000000,12585000000,12842000000,10285000000,USD,165987000000,66666000000,16601000000,47998000000,None,14039000000,34771000000,57809000000,None,19831000000,634000000,19197000000,62828000000,34000000,31397000000,4629000000,2751000000,41108000000,21135000000,5135000000,1113000000,75000000,1127000000,26417000000,506000000,None,None,0,13873000000,15364000000,7227000000,124879000000,None,69761000000,0,2764000000,USD,18104000000,-7549000000,None,4003000000,1387000000,2014000000,5369000000,2038000000,3679000000,10285000000,5829000000,-21742000000,-1000000,20061000000,20061000000,None,None,None,None,0,None,None,-20061000000,None,2191000000,None,10285000000,2022-02-02,3.67,3.84,-0.17,-4.4271,post-market
