,Open,High,Low,Close,Volume
0,373.174,375.213,370.713,370.721,1250285
1,370.739,371.35,370.533,371.245,523729
2,371.244,371.261,368.487,369.363,698211
3,369.351,369.674,367.319,367.647,777142
4,367.644,367.847,366.451,366.768,512536
5,366.731,367.048,366.092,367.02,544401
6,367.02,368.046,366.89,367.936,477153
7,367.924,367.997,367.279,367.427,298037
8,367.395,367.977,367.249,367.497,227196
9,367.495,368.046,367.279,367.387,355632
10,367.39,368.216,367.189,368.173,323855
11,368.193,368.376,367.609,367.627,220435
12,367.574,367.897,367.374,367.836,201839
13,367.884,368.116,367.509,367.697,265534
14,367.664,367.687,366.62,367.158,402121
15,367.115,367.368,366.461,366.479,212186
16,366.486,366.809,366.321,366.768,211176
17,366.766,367.637,366.76,367.627,180902
18,367.594,368.106,367.564,368.104,216564
19,368.103,368.276,367.928,368.206,154317
20,368.183,368.825,368.138,368.715,373620
21,368.712,369.075,368.527,369.045,174865
22,369.072,369.204,368.667,368.805,183538
23,368.812,369.304,368.687,369.294,149920
24,369.281,369.863,369.255,369.823,184263
25,369.84,369.873,369.361,369.408,158925
26,369.391,369.823,369.216,369.813,191320
27,369.8,370.183,369.585,370.115,171890
28,370.105,370.322,369.814,370.192,187264
29,370.185,370.442,369.954,370.205,144612
30,370.24,370.602,369.974,370.471,233552
31,370.459,370.682,370.284,370.551,133707
32,370.539,370.542,370.029,370.204,114192
33,370.18,370.272,369.609,370.002,194630
34,369.95,370.183,369.824,369.873,125796
35,369.865,370.113,369.745,369.8,117174
36,369.795,370.043,369.585,369.977,130538
37,370.01,370.133,369.899,370.032,120999
38,370.04,370.342,369.878,369.992,116425
39,369.99,370.013,369.305,369.443,102242
40,369.441,369.464,368.876,368.884,112798
41,368.902,368.995,368.577,368.678,184289
42,368.692,368.745,368.457,368.574,94714
43,368.573,368.745,368.477,368.495,78876
44,368.483,368.795,368.467,368.685,109340
45,368.654,368.765,368.547,368.765,104960
46,368.772,369.174,368.756,369.122,257553
47,369.102,369.324,368.931,368.954,134353
48,368.957,369.314,368.921,369.234,124465
49,369.221,369.404,369.066,369.304,101475
50,369.271,369.504,369.176,369.344,95308
51,369.346,369.524,369.126,369.224,87747
52,369.241,369.244,368.886,368.934,73060
53,368.952,368.995,368.557,368.834,103846
54,368.852,368.945,368.427,368.445,108272
55,368.453,368.556,368.207,368.425,126917
56,368.393,368.975,368.357,368.834,112681
57,368.822,368.945,368.726,368.811,77910
58,368.792,368.925,368.736,368.924,120852
59,368.932,369.035,368.756,368.874,110671
60,368.862,369.085,368.667,368.884,129399
61,368.902,368.925,368.577,368.585,94971
62,368.583,368.685,368.317,368.385,183444
63,368.383,368.441,368.237,368.28,93541
64,368.293,368.366,367.868,367.926,127604
65,367.934,368.086,367.656,367.707,157639
66,367.664,367.927,367.604,367.771,186105
67,367.779,368.056,367.698,367.881,165003
68,367.894,368.017,367.758,368.006,159422
69,368.014,368.376,368.008,368.191,153499
70,368.178,368.386,368.068,368.355,184486
71,368.353,368.685,368.335,368.645,169439
72,368.642,369.244,368.637,368.765,272416
73,368.772,368.845,368.543,368.77,269948
74,368.772,369.144,368.756,369.024,293329
75,369.032,369.494,369.021,369.314,343713
76,369.341,370.322,369.305,369.738,883560
77,369.75,370.522,369.665,370.052,1172941
78,368.333,371.65,367.828,371.37,1244990
79,371.367,371.969,370.004,370.636,513273
80,370.659,372.199,370.533,371.719,469021
81,371.727,372.568,371.392,372.098,466659
82,372.116,372.299,370.833,371.74,387549
83,371.752,371.82,370.693,371.39,275287
84,371.377,372.574,371.192,372.091,433088
85,372.156,372.259,371.232,371.24,196746
86,371.278,371.32,370.383,370.452,254833
