1. open,2. high,3. low,4. close,5. volume
397.0800,397.8520,396.6150,396.7230,1838233
397.9190,397.9670,396.4750,397.0930,1226253
397.8990,398.4710,397.8230,397.9010,466973
397.9740,398.3310,397.6930,397.9110,455400
398.5380,398.5410,397.3230,397.9810,788847
399.7050,399.7780,398.4010,398.5450,737469
400.0250,400.0580,399.5590,399.7230,321426
399.8850,400.9200,399.6190,400.0470,432195
400.3340,400.8170,399.6790,399.8180,420851
400.6690,400.9910,399.7790,400.2870,319880
400.2840,400.7870,399.4590,400.6100,479050
401.9610,402.0140,399.9690,400.3070,772926
401.9460,402.5190,401.8650,401.9290,279996
402.4900,402.6530,401.6450,401.9640,335502
402.6300,403.4620,402.4140,402.4780,605943
402.4500,402.7830,402.0050,402.6030,449337
401.5720,402.7330,400.3080,402.4530,558896
400.5140,401.6050,400.4340,401.5700,360475
400.1050,400.5270,399.9690,400.4860,256597
400.6640,400.8480,399.7690,400.1070,368901
401.2030,401.2160,400.6470,400.6940,223791
401.4620,401.7350,401.0960,401.2350,255714
401.0230,401.6650,400.6770,401.3350,267364
402.2310,402.5630,400.2780,400.9760,546267
401.6310,402.2340,401.5310,402.0940,196437
402.1110,402.1140,401.5160,401.5700,205291
401.8710,402.3140,401.7550,402.1140,202396
401.8560,402.0740,401.5760,401.9040,200067
402.3310,402.3840,401.8050,401.8640,156619
402.4600,402.5530,402.0950,402.3230,179535
402.2610,402.6230,402.1740,402.4360,184041
402.8100,402.8730,402.1540,402.2380,265067
402.1810,402.8280,402.1640,402.7900,259392
402.2610,402.2640,401.7550,402.1880,172432
402.3110,402.5930,402.1950,402.2770,285266
401.6520,402.4240,401.5860,402.2830,395911
401.4820,401.7350,401.2360,401.6440,192581
400.7790,401.5250,400.7570,401.4910,251445
401.4520,401.4940,400.5770,400.7910,357896
401.4720,401.5250,401.1660,401.4350,219287
401.4520,401.7750,401.1460,401.4820,258026
401.3790,401.6750,401.3060,401.4800,159809
401.5520,401.8510,401.3460,401.3840,197119
401.6670,401.8630,401.4860,401.5750,150523
401.9310,401.9840,401.5860,401.7110,183311
402.5380,402.5630,401.2560,401.9440,308112
402.5550,402.7130,402.1540,402.5330,284136
402.1510,403.0120,402.1150,402.5680,287053
401.8310,402.3840,401.8250,402.1430,233796
402.3210,402.4140,401.3660,401.8380,389432
402.3460,402.5030,402.0550,402.3130,436166
402.4500,402.5830,402.1790,402.3480,324592
402.4100,402.6430,402.1540,402.4610,182174
402.9370,403.0670,402.2140,402.4430,350317
403.4010,403.4270,402.5540,402.9020,331742
404.2070,404.2400,403.3270,403.3510,306768
403.6180,404.5400,403.5520,404.2000,427330
403.2590,403.7110,403.1030,403.6380,214623
403.2290,403.5420,402.5840,403.3410,323766
402.5600,403.3620,402.5410,403.2610,389474
402.2610,402.7630,402.1540,402.6030,319191
402.2860,402.9330,402.1840,402.2630,399583
402.5700,402.9630,402.0550,402.2970,392352
402.3010,402.7720,402.0550,402.5330,298520
402.5100,403.0620,401.9750,402.3230,423548
402.1510,402.6630,401.9350,402.5350,481891
403.5980,403.7610,401.8050,402.1630,717504
403.0390,403.6310,402.4240,403.4810,473832
402.0660,403.7570,402.0150,403.0070,726564
404.7060,404.7090,402.0150,402.0640,930850
404.4620,404.8870,403.8610,404.6390,778523
405.8440,405.9970,403.9310,404.4330,892865
407.3610,408.0530,405.4980,405.8020,927074
406.1040,407.5140,405.5480,407.3250,875105
407.4810,407.4890,404.4200,406.0960,1336322
410.7070,410.7980,407.3950,407.4840,1534817
413.1410,414.5610,409.5000,410.7380,2183223
406.2130,413.5330,406.0070,413.1900,3126976
407.8900,408.3630,407.4750,407.8530,1071767
408.5290,408.6720,407.7240,407.9130,710208
408.2600,408.6810,408.2230,408.5720,483215
407.9600,408.4730,407.8990,408.2720,350477
407.6810,408.0030,407.5740,407.9630,299577
408.0200,408.0830,407.6540,407.6930,367196
407.9000,408.3730,407.7740,408.0180,342312
407.6210,407.9530,407.6140,407.8830,260797
407.3470,407.6740,407.3050,407.6430,241544
407.2020,407.5540,407.1750,407.3540,239600
407.1020,407.3000,406.8460,407.1890,259948
407.2610,407.4840,406.9660,407.0890,204819
407.3660,407.3940,407.0950,407.2580,204125
407.5310,407.6290,407.2200,407.3640,207643
407.4340,407.7440,407.3620,407.5440,201728
407.1970,407.4640,407.0650,407.4340,154940
407.3210,407.3550,407.1250,407.2040,200707
407.2620,407.6740,407.2050,407.2940,207973
407.3110,407.5840,407.1750,407.2670,192355
407.0970,407.3940,407.0550,407.3490,169663
407.0320,407.2300,406.8970,407.0940,153769
406.7670,407.0350,406.5660,407.0340,213432
407.0020,407.0350,406.5560,406.7850,222324
407.3060,407.3650,406.9910,407.0050,212155
406.7820,407.4240,406.7680,407.2990,216367
406.9270,406.9900,406.7260,406.7700,161450
407.0620,407.1750,406.8260,406.9200,200016
407.4110,407.4590,407.0250,407.0740,172260
407.4310,407.4940,407.2350,407.3990,144581
407.3210,407.4740,407.2350,407.4240,210162
407.2800,407.3940,407.0250,407.2740,145311
407.3710,407.4540,407.0150,407.2640,210290
407.1220,407.4750,407.0860,407.3540,198153
406.8020,407.1450,406.7060,407.1340,187416
406.3630,406.8550,406.2970,406.7750,217261
406.4030,406.6460,406.0570,406.3460,255348
406.4880,406.5360,406.3070,406.3960,151309
406.4630,406.6140,406.2970,406.4810,205823
406.5530,406.7210,406.2970,406.4460,189051
406.5680,406.8450,406.4270,406.5650,298534
405.9440,406.6960,405.6980,406.5550,329934
406.7220,406.7960,405.8280,405.9480,365958
407.0620,407.4840,406.4760,406.7250,299912
407.9600,408.0030,407.0150,407.0660,381104
408.5690,408.6420,407.7940,407.9930,285565
408.9180,409.0120,408.5230,408.6070,138218
408.8220,409.0610,408.7070,408.9410,251881
408.9180,409.0810,408.8120,408.8310,186527
409.1110,409.1310,408.7720,408.9110,168416
409.0180,409.1710,408.9620,409.1110,154324
409.0390,409.1310,408.9020,409.0060,165576
409.3130,409.3610,408.9720,409.0210,163599
409.3470,409.4010,409.2210,409.3250,151555
409.4080,409.5580,409.2310,409.3400,227462
409.4030,409.7400,409.2670,409.3900,177552
409.4080,409.5510,409.2410,409.4090,171611
409.5970,409.8200,409.3510,409.4450,214867
409.0180,409.5610,408.8690,409.5600,234694
409.4180,409.7100,408.9520,409.0010,281334
408.7390,409.5900,408.7320,409.4200,269466
408.2750,408.7820,408.2530,408.7460,266706
408.7390,409.0910,408.2530,408.2720,288488
409.0730,409.0910,408.5530,408.7380,306687
409.4570,409.5210,408.9620,409.0830,321825
410.0460,410.0750,409.3810,409.4500,227380
409.5770,410.2890,409.4910,410.0590,284563
409.7270,409.8500,409.0220,409.6000,364618
409.4990,410.1390,409.2910,409.7500,279417
409.9170,410.2190,409.2310,409.4900,311230
409.2830,410.0510,409.1220,409.8990,454804
409.6270,409.7500,409.1020,409.2750,347107
410.0710,412.1450,408.6820,409.6060,1066589
410.3260,410.4290,409.5010,410.1290,465167
410.2760,410.7880,410.0400,410.3000,400490
410.9550,411.1480,410.2390,410.2490,404015
411.3740,411.7170,410.6240,410.9870,512945
410.0410,411.3270,409.8000,411.3170,608369
411.5040,412.2960,409.8350,410.0440,1415824
409.1080,409.1310,408.6420,408.9710,969861
408.9380,409.2310,408.8320,409.0810,451242
409.0680,409.1310,408.8170,408.9610,291395
408.8090,409.1910,408.7240,409.0810,241747
409.0780,409.1910,408.6740,408.8210,308896
408.5190,409.1110,408.5130,409.0810,371037
408.7010,408.8560,408.2430,408.5080,254063
408.7790,408.9020,408.6030,408.7110,235381
408.1800,408.8120,408.0840,408.8010,260207
407.8800,408.2630,407.8340,408.1790,188354
407.8600,408.2130,407.6840,407.8650,244757
407.0520,408.1930,407.0450,407.8730,288864
407.0720,407.2350,406.9160,407.0640,161532
407.0620,407.3130,406.9860,407.0840,168039
407.3580,407.3700,407.0450,407.0540,135917
407.4810,407.5740,407.2250,407.3740,184484
407.3590,407.5640,407.3250,407.4820,126833
407.2910,407.4240,407.1550,407.3190,163385
407.0440,407.3150,407.0100,407.2950,133391
407.0720,407.1450,407.0080,407.0440,84292
407.1320,407.4060,406.9760,407.0640,194925
406.8320,407.2550,406.7860,407.1340,226993
406.3780,406.8400,406.3470,406.8150,128604
406.2930,406.4760,406.1870,406.3660,117004
406.3510,406.3760,406.2370,406.2900,96100
406.4450,406.4760,406.1770,406.3360,142402
406.5130,406.5850,406.4170,406.4460,82100
406.3230,406.6260,406.3050,406.4950,103034
406.3430,406.4560,406.2470,406.3560,114301
406.4230,406.4560,406.2270,406.3460,116807
406.3830,406.5260,406.3470,406.4360,111730
406.2430,406.3760,406.1470,406.3560,109240
406.3080,406.3460,406.1900,406.2560,107127
406.2980,406.3460,406.0170,406.3260,82587
406.3270,406.4460,406.1370,406.3250,125168
406.3030,406.3760,406.0270,406.3210,235679
406.2530,406.4660,406.1220,406.3060,106610
406.0840,406.3460,406.0460,406.2860,147055
406.2530,406.3960,405.9570,406.0760,162980
406.4430,406.5060,406.1570,406.2760,153736
406.1830,406.5060,406.0870,406.4160,137138
406.3630,406.5960,406.1670,406.1760,115252
406.5030,406.7060,406.2870,406.3560,107957
406.2430,406.5360,406.0070,406.5120,121931
406.2730,406.5560,406.1920,406.2560,98882
406.2730,406.4460,406.1670,406.2840,148171
406.3380,406.3560,406.0770,406.2760,129613
406.3430,406.5160,406.1070,406.3610,172592
406.7030,406.7460,406.2870,406.3160,138993
406.1830,406.7460,406.0870,406.7150,152852
406.5120,406.5360,406.0570,406.1760,201461
406.5880,406.7460,406.3570,406.5050,169034
406.4230,406.7360,406.2970,406.5980,171477
406.2030,406.6060,406.1770,406.4160,196957
405.5750,406.1870,405.3690,406.1860,209204
405.4320,405.5780,405.0990,405.5220,142581
405.6740,405.7870,405.4080,405.4170,128041
405.4200,405.6980,405.3290,405.6570,141247
405.7220,406.0270,405.3590,405.4170,180618
405.3100,405.8270,405.0590,405.7170,161160
405.4250,405.6380,405.2090,405.2970,200242
405.1650,405.4620,405.0090,405.4270,150750
405.4430,405.5980,403.8660,405.1680,157567
405.3750,405.7240,405.2990,405.4250,167406
405.3950,405.5680,404.9990,405.3680,169718
405.2950,405.8470,404.8000,405.3880,291803
405.7340,405.8270,405.0770,405.2780,289592
405.9340,406.1950,405.3690,405.7570,298288
406.5830,406.8550,405.8180,405.9560,276415
406.1730,406.9450,406.1170,406.5850,241126
406.4580,406.5340,405.5980,406.2180,346944
406.8570,406.9870,406.1270,406.4580,495683
407.9050,408.3730,406.7060,406.8850,492728
407.1420,408.2530,405.1630,407.9230,754874
405.8240,407.1450,405.7480,407.1440,527928
405.1920,406.0170,405.1410,405.8020,499060
404.0270,405.4580,404.0210,405.1880,485423
405.3150,405.3180,403.5820,404.0500,1051306
402.9790,403.6110,402.7730,403.2510,935244
402.8200,403.2420,402.8030,402.9420,295565
