,Open,High,Low,Close,Volume
0,483.185,484.65,480.05,480.23,132039
1,480.27,481.285,478.35,479.079,85324
2,479.05,479.28,476.14,476.14,81133
3,476.21,476.65,474.12,474.23,88102
4,474.25,474.325,472.34,472.464,82189
5,472.56,473.767,471.335,473.58,73753
6,473.435,475.48,473.435,473.85,48263
7,473.88,475.07,473.48,474.61,62905
8,474.59,475.1,473.62,473.675,56412
9,473.83,473.86,473.11,473.23,44706
10,473.0,473.838,472.8,472.86,47188
11,472.85,473.06,471.17,471.5,64896
12,471.4,472.48,471.25,472.35,34635
13,472.345,472.73,471.817,472.55,32068
14,472.55,472.75,471.75,472.006,47723
15,471.91,472.18,470.07,470.405,47096
16,470.32,471.5,470.255,471.495,28924
17,471.545,471.68,470.63,470.99,35106
18,471.09,472.23,471.09,472.105,29300
19,471.98,471.98,471.215,471.5,39872
20,471.42,472.093,471.1,471.87,29528
21,471.91,473.41,471.83,473.15,46536
22,473.1,473.29,472.28,472.71,23668
23,472.79,472.82,472.16,472.3,38560
24,472.3,473.06,472.3,472.782,58549
25,473.045,473.15,472.25,472.29,40367
26,472.34,472.828,472.17,472.35,31268
27,472.304,472.96,472.256,472.63,19947
28,472.63,472.795,471.92,471.92,24189
29,472.025,472.28,471.71,471.845,16018
30,471.96,472.065,471.385,471.645,38681
31,471.62,472.63,471.485,472.1,33509
32,472.25,472.365,471.9,471.9,23405
33,471.84,471.959,470.83,470.891,32621
34,470.95,471.06,470.3,470.455,32119
35,470.31,470.92,470.1,470.61,48197
36,470.64,471.26,470.29,471.26,26641
37,471.36,471.61,471.01,471.47,21362
38,471.51,471.9,471.16,471.22,25309
39,471.22,471.22,468.79,469.36,109477
40,469.31,469.39,468.8,469.15,34888
41,469.13,469.24,468.6,469.025,24452
42,468.95,468.985,468.5,468.74,22386
43,468.72,468.77,468.04,468.163,41763
44,468.25,468.64,468.25,468.38,23949
45,468.35,468.79,468.224,468.67,31237
46,468.69,469.44,468.69,469.44,33227
47,469.355,469.535,468.86,469.1,18542
48,469.1,469.415,469.01,469.205,17440
49,469.21,469.21,467.79,468.14,54624
50,468.1,468.17,467.85,467.85,28821
51,467.99,468.0,467.08,467.27,45402
52,467.16,467.342,466.8,467.315,33926
53,467.32,467.35,465.11,466.2,78059
54,466.28,466.79,465.38,465.5,50335
55,465.44,465.54,464.0,464.16,104953
56,464.01,466.144,464.01,465.295,56010
57,465.295,465.55,465.07,465.35,34346
58,465.435,465.846,464.87,465.035,34395
59,465.17,465.31,464.53,465.04,38372
60,465.03,465.07,464.25,464.42,39722
61,464.543,464.685,464.11,464.11,29775
62,464.08,464.31,463.62,464.142,41828
63,464.29,465.44,464.225,464.98,46869
