1. open,2. high,3. low,4. close,5. volume
641.5900,642.0800,640.5500,641.6200,229219
638.5400,642.3100,638.4400,641.7600,157126
637.5600,638.7900,637.3300,638.6750,48652
636.5000,637.9600,636.5000,637.5450,53348
635.5150,636.6600,635.5150,636.5000,28323
634.5800,636.2300,634.4950,635.5200,41644
635.2900,635.3540,634.6500,634.6500,22272
634.9500,635.4000,634.7900,635.3080,25690
634.9250,635.2900,634.5600,634.8500,21405
634.8100,635.3100,634.7800,635.1100,21193
634.4300,635.0000,634.1500,635.0000,14739
634.2700,635.0600,634.1000,634.2900,17898
633.3850,634.5400,633.2100,634.4600,11897
634.0900,634.4400,632.9480,633.3750,15500
634.2880,634.5000,634.0600,634.1350,12524
633.1050,634.3290,632.9800,634.3290,17313
633.1600,633.5300,632.9300,633.0500,16292
632.8500,633.4200,632.7650,633.0100,19922
633.9800,634.0700,632.5750,632.6600,15119
634.7100,634.9200,633.9700,633.9700,10832
634.4100,634.8300,634.4100,634.7200,10736
634.1200,634.6800,634.0150,634.3300,11565
634.8200,634.9310,634.1400,634.1400,11366
634.9600,635.2500,634.5800,634.8000,14682
634.0950,635.2000,634.0950,634.7200,13826
634.6750,634.7500,633.8600,633.9890,10382
633.7950,634.9700,633.6100,634.7300,17252
633.2200,633.9800,632.5900,633.9800,13598
633.3150,633.6000,632.9500,633.3800,22979
633.2700,633.7700,633.1100,633.1200,12286
633.6000,633.8700,633.1100,633.2200,21250
632.3000,633.6040,632.3000,633.6040,10760
632.6600,633.3690,632.3000,632.3000,17896
632.4450,632.7600,632.2800,632.5400,12607
632.7650,632.9200,631.8650,632.5800,13270
632.3200,633.3100,632.3200,632.6800,19670
632.0800,632.3500,631.7150,632.1900,11395
630.9500,632.8970,630.4800,631.8500,18681
631.0230,631.1100,630.3900,630.5800,18145
629.8350,631.5600,629.4000,631.1600,48231
629.6100,629.9000,628.8000,629.7900,32945
629.6100,629.9300,629.2700,629.5700,29792
629.7600,630.0700,629.4500,629.4500,16408
630.5350,630.5680,629.4850,629.8700,34718
631.2700,631.5750,630.1300,630.3620,19321
631.6900,631.7600,630.9500,631.3100,11723
632.1000,632.2970,631.3900,631.7000,16629
631.4050,632.3700,631.1300,631.8400,20427
632.4800,632.4800,630.9000,631.5700,25322
632.9400,632.9800,631.5100,632.6900,28231
632.6100,633.4800,632.6050,632.7950,17148
631.5600,633.3050,631.5600,632.6100,43851
630.5400,631.9400,630.2500,631.3850,21917
630.1500,630.4900,628.3000,630.4900,32929
630.9800,631.1050,629.4400,630.0800,23590
629.7000,631.4840,629.6600,631.2150,37915
630.6300,630.9430,629.1900,629.5300,49384
632.0380,632.6800,630.0300,630.6600,33781
632.2250,632.5300,630.5800,632.1600,38674
632.9600,633.6950,631.7300,632.0000,40617
633.0500,634.6400,632.8750,632.9400,39392
633.4100,634.0900,632.2600,633.2200,23205
633.4200,634.7800,633.4200,633.4200,44104
633.2450,634.2000,632.2200,633.0000,46928
633.8400,635.1800,633.0940,633.5500,39500
634.4900,635.0000,633.6100,633.6900,48834
634.6900,635.8000,634.0000,634.3650,70487
639.3300,639.3300,634.3300,634.8200,81262
640.4300,641.2530,639.1200,639.2200,35204
641.7500,642.1900,639.7200,639.8410,68696
644.4500,644.7250,641.7500,641.9400,44031
645.7000,645.7200,643.1410,644.5450,31915
646.1300,646.1450,644.7500,645.8700,24432
648.2500,648.3600,646.8200,646.8200,24916
647.5900,648.0800,646.0100,648.0800,23684
647.3400,648.5800,647.1000,647.3800,41519
645.9400,647.3200,645.0950,647.2650,36445
644.0100,648.1100,644.0100,645.9600,64613
647.1900,648.1400,646.7050,647.9800,148790
645.0200,647.2900,644.8300,647.1200,88441
646.0800,646.3950,644.7300,645.1100,55920
645.7100,646.2900,645.0490,646.2750,42880
645.9210,645.9890,645.0900,645.7700,39274
647.1450,647.3200,645.6450,646.0370,27826
646.5900,647.1900,646.3700,647.0500,24366
647.4500,647.6500,646.4100,646.5400,31182
647.0750,647.5300,646.6750,647.3200,26755
647.3000,647.4300,647.0350,647.0600,12358
646.7350,647.6000,646.7350,647.3300,11775
647.5000,647.5800,646.0700,646.6400,24881
647.7900,647.8400,646.6300,647.3900,32081
647.8900,648.3300,647.8600,647.8600,9480
647.8300,648.2560,647.5800,647.8900,12798
648.3400,648.3700,647.7800,647.9460,6612
648.6800,648.6850,647.7800,648.0200,9455
648.7200,649.1230,648.6200,648.7250,11303
648.5100,648.9000,648.1700,648.5600,9969
648.7100,649.0100,648.1800,648.3500,9225
648.5200,648.7180,647.4200,648.7180,28246
649.4600,649.4600,648.5200,648.5200,12359
648.8200,649.4500,648.6160,649.4500,10246
649.3100,649.6600,648.9700,648.9700,7858
649.5400,649.5500,648.9700,649.3170,10212
649.2500,650.0000,648.9500,649.4150,15493
650.0200,650.2500,649.2250,649.3600,12110
649.4000,650.2600,649.4000,650.1900,6600
650.1850,650.1980,649.5000,649.5750,7689
651.3280,651.3280,650.0200,650.0200,13137
651.1150,651.2900,650.7600,651.2900,5341
650.5500,651.0100,650.2900,650.8900,8784
649.8400,650.5050,649.8400,650.4200,15249
649.8800,650.4600,649.8100,650.0000,9927
648.1000,650.0800,648.1000,650.0800,9895
649.1800,649.2000,648.0100,648.2700,23043
651.3350,651.5100,649.1000,649.2400,58975
651.7650,652.3200,651.1740,651.2400,15325
650.9150,652.0800,650.9150,651.7650,19005
651.6700,651.8100,650.7500,651.0780,33044
652.4200,652.5000,651.7030,651.7800,20643
651.5700,652.3900,651.5700,652.3900,13224
651.5750,651.7600,651.2200,651.5300,12718
652.4800,652.7300,651.6000,651.6700,8980
652.0600,652.5400,651.7950,652.4200,6850
651.6870,652.1900,651.6870,651.7700,14001
652.8200,652.9800,651.6600,651.8000,9883
651.9900,652.8200,651.8500,652.6700,10827
651.6400,652.3200,651.6400,651.9500,7235
652.7500,653.2900,651.5300,651.8600,25496
653.4800,653.5700,652.5000,652.8900,14642
653.0300,653.5300,653.0300,653.2800,22594
652.7300,653.3000,652.4820,653.3000,23456
651.8450,652.9590,651.6600,652.9050,28489
651.3750,652.2800,651.2500,652.0500,27458
650.6990,651.8500,650.5800,651.5250,21674
648.4400,650.9100,648.4400,650.9100,18197
649.5600,649.7500,648.1950,648.4000,21377
648.0900,649.5000,647.7550,649.3400,23895
649.5700,649.7300,648.2800,648.2800,25542
650.3200,650.9200,648.6400,649.3100,44590
651.8100,652.0000,650.1320,650.5150,18447
650.3100,651.6600,650.0450,651.5900,17959
652.4200,652.4650,649.3600,650.8100,72970
654.2400,654.4500,652.1200,652.3120,37711
655.9500,656.3300,653.7800,654.3100,21119
656.1480,656.4300,655.4800,656.2700,13988
655.7200,656.4900,655.2100,656.0200,17368
654.8600,656.1700,654.3800,655.9360,31592
655.3860,655.8900,653.5500,655.0200,25787
654.2500,656.1000,654.2000,655.3200,27769
655.3450,656.3200,653.9100,654.3800,29708
653.6500,655.2500,652.6450,655.2500,31839
655.0200,655.0800,653.3100,653.7600,38253
652.6700,655.9500,652.5000,655.1700,38189
652.8000,653.2200,651.3500,652.5600,36707
653.1500,653.5450,650.3000,652.3900,48023
653.5200,655.4250,652.5450,653.3100,101894
654.5150,655.1100,654.1800,654.2700,203866
656.5530,657.1400,654.1800,654.6950,142397
657.1780,657.4350,656.5700,656.5700,40238
658.4500,658.4500,657.1300,657.1300,38818
658.1350,658.8200,657.5350,658.3750,33771
658.5400,658.5400,658.0200,658.0200,23316
658.9200,659.4500,658.5100,658.7020,24294
659.7500,659.9200,658.6000,659.1480,22472
659.0500,659.9300,659.0500,659.5300,23633
659.9450,659.9800,658.7200,659.0190,24732
661.0000,661.1300,659.7000,659.7800,17834
661.6400,661.7100,660.9330,660.9330,13864
662.1650,662.1650,661.3600,661.9340,15242
661.7600,662.4200,661.6300,661.7700,13747
661.3900,661.8700,660.4000,661.7900,23178
661.5050,662.0000,661.3000,661.3400,18352
661.1500,661.7100,660.3150,661.4900,14973
661.7600,662.0550,660.5400,660.9200,13356
663.0400,663.1100,661.7900,661.9600,16440
663.0940,663.3200,662.8000,663.0200,10445
663.2830,663.5350,662.7800,662.7800,27115
662.5800,663.7800,662.4800,663.1160,52643
662.0430,662.6000,661.8350,662.4350,19338
660.8940,662.3400,660.5250,662.1750,18549
661.7900,661.8400,660.8200,660.8450,13471
661.5500,662.2700,661.3700,661.8200,17819
660.8450,661.7700,660.7000,661.4300,24976
660.7000,661.0000,660.1150,660.8000,13750
661.6800,661.6800,660.1800,660.5800,16302
662.0000,662.1000,661.5000,661.7380,31327
661.3000,662.1550,661.3000,662.0800,12793
660.8570,661.3550,660.5000,661.3400,18973
662.0800,662.6500,660.7200,660.7200,40224
663.1770,663.1780,662.0100,662.0700,11687
662.6950,663.1700,662.4500,663.0000,17444
663.0330,663.0500,661.8450,662.6100,52084
662.7720,663.1700,662.7500,662.8950,19054
663.0350,663.7820,662.6300,662.8600,30771
663.4600,663.4600,662.8800,663.0400,14925
663.7000,663.7300,663.0780,663.2100,9673
663.2800,664.1900,663.1700,663.8800,17425
663.7300,664.2500,663.3000,663.4400,50167
663.2270,663.8650,662.8700,663.4250,31465
663.0850,663.4700,662.5700,663.2770,17936
661.4900,662.6900,661.4600,662.4400,20818
663.1200,663.5300,661.4900,661.4900,26569
661.2000,663.7100,661.2000,663.6700,51231
661.1500,661.6000,661.0000,661.2850,19821
660.2400,661.3900,660.2400,661.3900,32530
659.8650,660.7500,659.7000,660.3900,52713
660.0000,660.3000,659.5100,659.7200,49841
660.6500,660.6500,659.7310,660.2560,22809
661.0450,661.5000,660.4800,661.2900,19122
661.0000,661.3950,660.4700,661.0500,28316
661.5700,661.7400,661.1400,661.1550,13470
660.6900,662.1000,660.6900,661.6450,28908
661.9500,662.1200,659.6900,660.5040,35322
660.7550,662.4480,660.7550,661.6700,45562
660.8900,661.4900,660.3900,660.7500,27042
661.7000,661.7700,660.6200,660.9900,24265
661.8100,662.1900,660.2500,661.7600,39908
662.3400,663.2300,661.5400,661.8550,53051
663.3650,663.7700,662.0000,662.3800,34209
662.2700,664.1200,661.5500,663.6500,55691
662.5020,663.3450,661.3250,662.3900,55906
661.5100,662.7000,660.9400,662.3100,54684
662.5980,663.1840,661.2500,661.4200,50137
660.6550,662.6200,659.7100,662.6200,67914
658.9550,660.9990,658.3200,660.7500,129714
656.2500,659.1600,656.2500,658.8950,51991
656.7700,657.7500,655.3370,656.2800,62013
654.7310,656.7500,654.2600,656.7100,45161
654.7700,656.4200,654.2100,654.2100,72829
655.3550,656.7800,654.2740,654.5400,82240
651.1200,655.4800,650.8100,655.2000,90800
652.7900,652.8500,650.6430,651.0350,58131
648.4300,652.7850,648.0900,652.7490,102078
644.1300,650.4000,643.8900,648.1800,116794
648.2600,649.4300,647.8700,649.4100,151489
647.3000,648.3300,647.3000,648.2250,41492
647.4700,647.6600,646.9300,647.1700,25507
647.5000,648.0200,647.3230,647.3500,13313
648.4000,648.5150,647.2000,647.6400,26716
647.5300,648.7000,647.5150,648.6400,15128
648.0700,648.3700,647.2500,647.2500,13809
648.1100,648.2100,647.1710,647.7900,13493
648.0700,648.4300,647.5000,648.1500,19161
649.5800,649.5800,648.0100,648.1900,34462
648.3600,649.7500,648.3600,649.6300,52418
647.2350,648.3500,647.2250,648.2050,27974
646.0700,647.5000,646.0700,647.3100,18158
645.3800,646.0670,645.2000,646.0000,12546
645.2900,645.3200,644.6500,645.1500,13045
645.5300,646.1200,645.0300,645.2000,11737
645.7850,645.8300,645.2400,645.4200,9238
646.6400,646.6400,645.9200,646.0200,10991
647.1800,647.2800,646.4910,646.8300,9050
647.0590,647.1000,646.6700,647.0800,7648
647.4200,647.6200,646.5200,647.0000,12664
647.1050,648.0000,647.1050,647.6200,33151
646.7200,647.4500,646.4700,647.0170,13567
646.5600,646.9100,645.9750,646.6000,13838
645.7800,646.5800,645.7800,646.5800,8360
645.9800,646.1750,645.2000,646.0000,13271
646.9700,647.1850,646.0600,646.0600,15124
646.7700,647.0400,646.4800,646.8500,12486
646.2600,647.0700,646.2600,646.6400,11979
645.8950,646.4900,645.5100,646.1400,12676
646.3400,646.4900,645.7500,645.9050,13323
646.4800,646.6200,646.1700,646.5400,12212
646.1200,646.3850,645.5900,646.3850,10875
645.8000,646.0000,645.5900,645.9700,10715
644.4390,645.5650,644.4390,645.5650,22171
644.6300,645.5900,644.3700,644.6200,17021
645.4800,645.4800,644.4170,644.5400,11052
644.5100,645.8600,644.5100,645.5700,19954
644.2800,644.8100,644.1100,644.6220,15735
644.3900,644.5400,644.0000,644.4170,9767
644.7100,644.7100,644.1500,644.3950,11197
644.2060,644.8400,644.1500,644.8000,7283
644.6500,644.8600,644.0700,644.1800,15292
644.0000,644.7000,643.8500,644.6100,9200
644.8100,644.8100,643.7630,644.0800,15239
643.2400,644.9000,643.1500,644.9000,13745
645.1060,645.1060,643.0300,643.0400,48156
644.3000,645.8500,644.2970,645.2380,22857
644.6750,644.8000,644.0500,644.3100,15810
645.7450,645.7450,644.5400,644.8000,24908
646.2500,646.3800,645.6000,645.6300,15546
646.7100,647.0000,645.9100,646.1800,14303
646.5450,646.7100,646.2400,646.7100,13788
647.2000,647.2750,646.4600,646.5600,11528
647.3500,647.4200,647.0620,647.2600,14295
646.3050,647.5520,646.2500,647.4800,13399
645.9750,646.5600,645.8600,646.3700,14341
645.5600,646.0300,645.2200,645.9900,26481
647.4900,647.6900,645.7040,645.7040,31563
647.5600,647.9050,647.2400,647.4900,16379
647.8570,647.8570,647.3000,647.3800,19310
647.5150,648.4000,647.5150,647.7600,20449
647.7600,647.8300,647.0000,647.5150,27689
647.3100,648.7100,647.2500,647.5800,19995
647.1800,647.9000,647.1800,647.4550,23146
647.6100,648.4600,646.9400,647.1450,19129
647.8760,647.9110,646.3500,647.5900,22083
646.2000,648.1500,646.2000,647.8850,19201
648.3100,648.4830,646.2000,646.4050,33389
