fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-03-31,USD,4393367000,9370440000,4977073000,4977267000,2632534000,1058360000,702473000,1760833000,None,-173314000,155359000,173314000,130801000,None,None,3758039000,2614579000,282370000,173314000,2332209000,2444275000,2787893000,6401620000,2332209000,USD,48827721000,9921313000,7024766000,7047562000,-31662100000,1192738000,9403633000,1501168000,884603000,31662100000,31662100000,None,133747000,None,20973000,2875574000,5743140000,27462311000,9289217000,607348000,1469484000,798936000,798936000,17900406000,None,13955000000,798936000,13217038000,14753936000,6015821000,2585364000,21365410000,8934056000,24921495000,5489850000,430964991,USD,2212522000,None,None,133032000,-38049000,87234000,75714000,None,None,2332209000,-75714000,-2132944000,None,2000000000,2000000000,None,None,None,None,None,None,None,-1731119000,None,None,None,2332209000,2024-04-18,5.28,4.52,0.76,16.8142,post-market
2023-12-31,USD,3525340000,8832825000,5307485000,5307485000,1496109000,3087890000,673341000,3761231000,None,-175212000,None,175212000,-239371000,None,None,3840646000,1148150000,210312000,175212000,937838000,869464000,1323362000,5336755000,937838000,USD,48731992000,9918133000,7116913000,7139488000,408936000,1639257000,9232702000,1491444000,855043000,31658056000,31658056000,None,30934000,None,20973000,2780247000,5664359000,28143679000,8860655000,747412000,1442969000,400000000,399844000,18751652000,None,14478000000,399844000,14143417000,14878000000,6270430000,2561434000,20588313000,6922200000,22589286000,5145172000,432759584,USD,1663014000,None,None,155876000,13198000,86567000,81632000,None,None,937838000,411596000,-2452273000,None,2500000000,2500000000,None,None,None,None,None,None,None,-2448573000,None,None,None,937838000,2024-03-04,2.11,2.22,-0.11,-4.955,post-market
2023-09-30,USD,3610880000,8541668000,4930788000,4930788000,1916394000,1037327000,657159000,1694486000,None,-175563000,7345000,175563000,172678000,None,None,3664013000,1909049000,231627000,175563000,1677422000,1661117000,2084612000,5580407000,1677422000,USD,49501786000,10779474000,7353245000,7871037000,482375000,1289679000,9096952000,1498391000,902691000,31749861000,31749861000,None,109723000,None,514201000,2912028000,5474060000,27394159000,8338718000,534429000,1306185000,399614000,399614000,18473449000,None,14232000000,399614000,13900754000,14631614000,6098490000,2486215000,22107627000,4399677000,21651448000,5011427000,437679669,USD,1992315000,None,None,-139152000,-103766000,90660000,103929000,None,None,1677422000,296071000,-2475108000,None,2500100000,2500100000,None,None,None,None,0,0,None,-2442282000,None,None,None,1677422000,2023-10-18,3.73,3.49,0.24,6.8768,post-market
2023-06-30,USD,3513831000,8187301000,4673470000,4673470000,1827183000,1028665000,657983000,1686648000,None,-174812000,26961000,174812000,-28952000,26961000,None,3526367000,1679332000,191722000,174812000,1487610000,1540039000,1854144000,5353550000,1487610000,USD,50817473000,11506336000,7662788000,8580466000,None,1229475000,8978095000,1471968000,870738000,32520774000,32520774000,None,None,None,914201000,2929347000,5318395000,27985258000,8675805000,615374000,1311918000,399387000,399387000,18607372000,2524153000,14398000000,399387000,14070151000,14797387000,6349126000,2389915000,22832215000,1876753000,19974026000,4874208000,443146751,USD,1440232000,None,None,265810000,183049000,89385000,100972000,None,None,1487610000,97737000,-649349000,None,645146000,645146000,None,None,None,None,0,0,None,-610429000,None,888620000,None,1487610000,2023-07-19,3.29,2.86,0.43,15.035,post-market
2023-03-31,USD,3357878000,8161503000,4803625000,4803625000,1714317000,956286000,687275000,1643561000,None,-174239000,71204000,174239000,-80651000,-71204000,None,3550319000,1468874000,163754000,174239000,1305120000,1330731000,1643113000,5264636000,1305120000,USD,49490345000,10482623000,6714594000,7850929000,None,1143613000,8833558000,1413094000,808350000,32349184000,32349184000,None,None,None,1112910000,2655119000,5245444000,27662149000,8316070000,591987000,1262271000,399163000,399163000,18593465000,None,14361000000,399163000,14037965000,14760163000,6062649000,2400085000,21828196000,1228920000,18486416000,4762395000,444536878,USD,2178740000,None,None,93241000,88522000,90335000,62019000,None,None,1305120000,-263653000,-374073000,None,400101000,400101000,None,None,None,None,0,0,None,-374073000,None,1541014000,None,1305120000,2023-04-18,2.88,2.86,0.02,0.6993,post-market
2022-12-31,USD,2447893000,7852053000,5404160000,5404160000,549904000,2810063000,673926000,3483989000,None,-170603000,339965000,170603000,-461681000,-339965000,None,4038214000,39336000,-15948000,170603000,55284000,85621000,209939000,4588118000,55284000,USD,48594768000,9266473000,5147176000,6081858000,None,2424388000,8818704000,1398257000,753741000,32736713000,32736713000,None,None,None,911276000,3208021000,5193325000,27817367000,7930974000,671513000,1264661000,0,0,19027619000,None,14274000000,None,14353076000,14274000000,5994800000,2452040000,20777401000,824190000,17181296000,4637601000,445346776,USD,443858000,None,None,-185146000,398319000,93387000,111593000,None,None,55284000,-1586859000,6705000,None,0,0,None,None,None,None,0,0,None,6959000,None,-1136296000,None,55284000,2023-01-19,0.12,0.45,-0.33,-73.3333,post-market
2022-09-30,USD,3136924000,7925589000,4788665000,4788665000,1533018000,941167000,662739000,1603906000,None,-172575000,261404000,172575000,348458000,261404000,None,4000184000,1621847000,223605000,172575000,1398242000,1295075000,1794422000,5533202000,1398242000,USD,47562187000,8816903000,6113733000,6113733000,None,1436296000,8179451000,1372754000,710022000,32777340000,32777340000,None,None,None,None,2703170000,4595190000,27034046000,7765924000,560156000,1176323000,0,0,18522479000,None,13806000000,None,13888117000,13806000000,6029445000,2424637000,20528141000,824190000,17126012000,4473962000,445020494,USD,556810000,None,None,217527000,120071000,85188000,84960000,None,None,1398242000,-84960000,4113000,None,0,0,None,None,None,None,0,0,None,4113000,None,475963000,None,1398242000,2022-10-18,3.1,2.13,0.97,45.5399,post-market
2022-06-30,USD,3279386000,7970141000,4690755000,4690755000,1578283000,984257000,716846000,1701103000,None,-175455000,220226000,175455000,304513000,220226000,None,3565079000,1623054000,182103000,175455000,1440951000,1370645000,1798509000,5143362000,1440951000,USD,46350935000,7840778000,5819449000,5819449000,None,887640000,8318380000,1361920000,664896000,32533199000,32533199000,None,None,None,None,2021329000,4615038000,27274961000,7500022000,504278000,1224743000,0,0,19123807000,None,14148000000,None,14233303000,14148000000,5771001000,2551675000,19075974000,824190000,15727770000,4316870000,444705591,USD,102750000,None,None,-371143000,-123399000,83505000,90018000,None,None,1440951000,-158894000,11250000,None,0,0,None,None,None,None,0,0,None,11250000,None,-44894000,None,1440951000,2022-07-19,3.2,2.94,0.26,8.8435,post-market
2022-03-31,USD,3583062000,7867767000,4284705000,4284705000,1971626000,953906000,657530000,1611436000,None,-187579000,195645000,187579000,161821000,195645000,None,3436612000,1979692000,382245000,187579000,1597447000,1563772000,2167271000,5408238000,1597447000,USD,45330904000,8098015000,6008946000,6008946000,None,845285000,8524747000,1383763000,690132000,31191920000,31191920000,None,None,None,None,2089069000,4657206000,27786865000,7739656000,617202000,1239048000,0,0,19536066000,None,14447000000,None,14534561000,14447000000,5883406000,2567427000,17544039000,824190000,14286819000,4155580000,444273850,USD,922839000,None,None,152062000,-41157000,74602000,121158000,None,None,1597447000,-245679000,-686322000,None,0,0,None,None,None,None,0,0,None,13678000,None,-9162000,None,1597447000,2022-04-19,3.53,2.89,0.64,22.1453,post-market
2021-12-31,USD,2469743000,7709318000,5239575000,5239575000,631770000,2859503000,647470000,1233088000,None,-189429000,108512000,189429000,103917000,108512000,None,3805301000,550853000,-56576000,189429000,607429000,586769000,740282000,4437071000,607429000,USD,44584663000,8069825000,6027804000,6055111000,None,913883000,8041872000,1323453000,616306000,30919539000,30919539000,None,None,None,0,2042021000,4271846000,28735415000,8488966000,837483000,1209342000,699823000,699823000,19560722000,None,15301000000,699823000,14693072000,16000823000,5742318000,2459164000,15849248000,824190000,12689372000,4024561000,443963107,USD,-403274000,None,None,116086000,608000,63984000,165979000,None,None,607429000,-954328000,-136019000,None,0,0,None,None,None,None,0,0,None,262149000,None,-1493621000,None,607429000,2022-01-20,1.33,0.82,0.51,62.1951,post-market
