,Open,High,Low,Close,Volume
0,104.119,104.278,103.848,103.888,258403
1,103.899,104.039,103.668,103.773,116956
2,103.78,103.879,103.31,103.379,146031
3,103.381,103.68,103.31,103.389,122430
4,103.401,103.745,103.379,103.629,107707
5,103.62,103.949,103.549,103.927,120138
6,103.929,103.949,103.678,103.788,160581
7,103.77,103.785,103.175,103.275,92566
8,103.232,103.332,103.101,103.101,119111
9,103.093,103.102,102.812,102.816,109412
10,102.824,103.053,102.817,103.021,136096
11,103.023,103.043,102.737,102.991,132186
12,102.993,103.003,102.812,102.876,183581
13,102.878,102.908,102.767,102.802,140063
14,102.764,102.784,102.543,102.632,118258
15,102.634,102.634,102.134,102.184,120330
16,102.166,102.385,102.045,102.264,163034
17,102.276,102.405,102.224,102.403,87695
18,102.395,102.594,102.324,102.523,67401
19,102.545,102.564,102.393,102.493,63138
20,102.505,102.664,102.483,102.623,60285
21,102.634,102.834,102.603,102.832,114025
22,102.824,102.853,102.483,102.533,61464
23,102.535,102.853,102.533,102.832,146062
24,102.824,103.083,102.822,103.026,84370
25,103.028,103.033,102.792,102.792,49262
26,102.789,102.953,102.787,102.951,57867
27,102.961,103.023,102.951,102.991,46803
28,102.998,103.132,102.981,103.111,66840
29,103.112,103.272,103.101,103.26,63932
30,103.272,103.445,103.227,103.439,90686
31,103.434,103.491,103.35,103.389,101880
32,103.391,103.441,103.3,103.37,44354
33,103.386,103.421,103.29,103.389,56386
34,103.391,103.501,103.35,103.449,52305
35,103.441,103.561,103.424,103.449,52626
36,103.451,103.491,103.36,103.459,63261
37,103.471,103.531,103.379,103.384,34350
38,103.401,103.481,103.33,103.399,57412
39,103.411,103.411,103.27,103.33,33433
40,103.337,103.342,103.24,103.31,34149
41,103.317,103.361,103.26,103.28,54027
42,103.272,103.371,103.25,103.37,58175
43,103.361,103.551,103.35,103.389,86906
44,103.401,103.521,103.33,103.459,67152
45,103.451,103.501,103.379,103.489,69201
46,103.501,103.62,103.489,103.519,80272
47,103.521,103.71,103.519,103.678,53156
48,103.68,103.8,103.673,103.768,156196
49,103.77,103.87,103.708,103.848,57097
50,103.85,103.919,103.718,103.718,72257
51,103.72,103.733,103.509,103.559,50353
52,103.551,103.67,103.519,103.65,69175
53,103.66,103.7,103.589,103.638,50279
54,103.635,103.715,103.579,103.609,41811
55,103.611,103.67,103.519,103.668,83611
56,103.66,103.805,103.629,103.703,43998
57,103.705,103.75,103.678,103.728,33228
58,103.725,103.79,103.718,103.753,37218
59,103.76,103.85,103.748,103.843,39018
60,103.84,103.87,103.728,103.748,44404
61,103.75,103.77,103.599,103.599,43047
62,103.611,103.611,103.539,103.549,64536
63,103.551,103.599,103.474,103.499,62096
64,103.491,103.541,103.389,103.443,55169
65,103.441,103.441,103.32,103.32,57438
66,103.327,103.421,103.29,103.29,88332
67,103.282,103.381,103.26,103.335,73322
68,103.332,103.357,103.25,103.3,57140
69,103.307,103.379,103.24,103.305,59843
70,103.302,103.322,103.18,103.262,75427
71,103.267,103.351,103.245,103.3,79671
72,103.302,103.381,103.18,103.19,138084
73,103.197,103.202,103.091,103.155,105925
74,103.162,103.211,103.071,103.101,98873
75,103.093,103.182,103.061,103.145,118171
76,103.152,103.58,103.15,103.488,247209
77,103.496,103.73,103.379,103.678,521343
78,102.903,102.983,102.493,102.692,255708
79,102.679,102.724,102.483,102.652,134649
80,102.642,102.734,102.144,102.254,105570
81,102.278,102.278,101.855,101.905,174576
82,101.889,102.186,101.806,101.995,168892
83,101.977,102.106,101.925,102.035,124292
84,102.027,102.335,101.915,102.269,248268
85,102.271,102.271,101.9,101.9,113870
86,101.902,101.971,101.626,101.656,207954
87,101.638,101.718,101.472,101.543,188191
88,101.539,101.648,101.437,101.467,132511
89,101.469,101.743,101.467,101.567,65232
90,101.548,101.595,101.467,101.551,62067
91,101.568,101.568,101.347,101.427,140007
92,101.419,101.728,101.392,101.666,91900
93,101.648,101.837,101.646,101.716,109567
94,101.708,101.807,101.586,101.616,99655
95,101.628,101.658,101.487,101.656,82442
96,101.668,101.827,101.666,101.736,81742
97,101.737,101.798,101.636,101.736,64362
98,101.728,101.947,101.726,101.91,91855
99,101.907,101.907,101.616,101.716,73423
100,101.738,101.947,101.736,101.91,51233
101,101.927,101.967,101.826,101.835,61292
102,101.837,101.867,101.766,101.845,63533
103,101.847,101.902,101.806,101.835,51079
104,101.837,101.907,101.766,101.862,62761
105,101.867,102.047,101.85,102.035,83151
106,102.032,102.047,101.975,101.975,47411
107,101.977,101.987,101.865,101.865,43439
108,101.877,101.932,101.806,101.93,40996
109,101.932,101.932,101.781,101.786,49325
110,101.788,101.967,101.786,101.885,40797
111,101.887,101.967,101.726,101.935,110997
112,101.936,102.037,101.925,102.005,51695
113,101.998,102.034,101.915,102.03,44801
114,102.032,102.071,102.005,102.045,60141
115,102.062,102.086,101.985,102.03,35693
116,102.032,102.206,102.015,102.075,76455
