1. open,2. high,3. low,4. close,5. volume
125.3570,125.5280,125.0970,125.1640,463179
125.3370,125.4880,125.2920,125.3530,122461
125.4860,125.4980,125.2970,125.3380,76902
125.5560,125.5620,125.3960,125.4830,83297
125.7260,125.7270,125.4860,125.5620,93683
125.7060,125.7470,125.6160,125.7220,60473
125.6760,125.7470,125.6260,125.7070,51289
125.7060,125.7370,125.6160,125.6520,55201
125.5930,125.7670,125.5830,125.6920,51588
125.5260,125.6670,125.5060,125.5920,74908
125.5360,125.5370,125.4560,125.5230,43626
125.5360,125.6770,125.4960,125.5130,58686
125.4170,125.5870,125.4060,125.5330,59989
125.3570,125.4280,125.3300,125.4080,37594
125.3620,125.3880,125.3270,125.3630,35606
125.4070,125.4180,125.3270,125.3530,54073
125.3970,125.4480,125.3360,125.4030,36371
125.4760,125.4980,125.3660,125.3830,38737
125.4810,125.4980,125.4360,125.4680,36097
125.4070,125.4880,125.3960,125.4770,37733
125.4460,125.4580,125.3310,125.4130,36338
125.4760,125.4980,125.3960,125.4430,39693
125.5560,125.6170,125.4660,125.4730,62244
125.6260,125.6300,125.5260,125.5520,28476
125.4660,125.6520,125.4560,125.6120,57158
125.4810,125.4980,125.4510,125.4580,22879
125.4960,125.5570,125.4560,125.4780,47000
125.4070,125.5180,125.3860,125.4940,67974
125.2820,125.4280,125.2670,125.3970,37189
125.2470,125.2980,125.2170,125.2830,19618
125.2670,125.2980,125.2170,125.2330,35614
125.3970,125.4180,125.2470,125.2730,40938
125.5060,125.5130,125.3460,125.3990,31172
125.5110,125.5180,125.4260,125.4930,25329
125.4660,125.5370,125.4460,125.5030,23627
125.4170,125.5080,125.3610,125.4530,46568
125.3470,125.4180,125.3090,125.4130,37500
125.3170,125.3880,125.2770,125.3330,62115
125.2270,125.3680,125.1870,125.3230,54118
125.2470,125.2980,125.1670,125.2330,137094
125.2270,125.3180,125.2150,125.2730,48078
125.1970,125.2770,125.1270,125.2310,31468
125.0930,125.2040,125.0720,125.1840,40860
125.0580,125.1190,125.0320,125.0840,26302
125.0680,125.0990,125.0080,125.0640,30081
125.0480,125.0890,125.0080,125.0590,24285
125.0980,125.1090,124.9780,125.0240,32815
125.1180,125.1590,125.0670,125.1040,17513
125.0780,125.1790,125.0570,125.1140,22471
125.1130,125.1390,125.0570,125.0840,36202
125.0280,125.1290,124.9780,125.0940,34459
125.1270,125.2090,125.0190,125.0250,59466
125.2370,125.2380,125.0370,125.1190,70173
125.2670,125.3480,125.1770,125.2140,40484
125.2870,125.3130,125.2070,125.2530,48613
125.3770,125.3880,125.2670,125.2830,42630
125.2670,125.3880,125.2270,125.3630,54183
125.2670,125.2880,125.0970,125.2670,62828
125.2120,125.2980,125.1770,125.2730,41302
125.2370,125.2580,125.1670,125.2040,59741
125.2670,125.2880,125.1570,125.2330,61302
125.2670,125.3750,125.1570,125.2430,68312
125.2470,125.2720,125.1570,125.2630,77585
125.1270,125.3180,125.0870,125.2430,43137
125.0230,125.1490,124.9680,125.0940,68454
125.0180,125.0390,124.8780,125.0040,48612
125.0430,125.0990,124.9380,125.0240,42304
125.0630,125.1340,124.9380,125.0390,33126
125.0280,125.1190,124.9780,125.0590,39605
125.1180,125.1540,124.9880,125.0340,32388
125.2840,125.2930,125.0820,125.1140,38615
125.1970,125.3880,125.1370,125.2830,68306
125.3070,125.3080,125.1170,125.1640,38636
125.2470,125.3980,125.2070,125.2830,50003
125.3470,125.3480,125.1270,125.2480,42670
124.9230,125.3580,124.8880,125.3090,53715
124.8680,124.9890,124.7880,124.9170,58900
124.9880,125.3380,124.8680,124.9150,131560
124.9630,124.9690,124.5190,124.8750,679431
124.8090,124.9690,124.7780,124.9590,238266
124.9480,124.9890,124.8180,124.8250,114269
124.7690,124.9640,124.6690,124.9440,149585
124.5050,124.8200,124.4490,124.7850,90048
124.5090,124.7200,124.4700,124.4960,100831
124.2810,124.5610,124.2200,124.5060,78710
124.1950,124.2820,124.1300,124.2720,68754
124.1810,124.2320,124.1300,124.1970,65223
124.2700,124.2720,124.1010,124.1770,70622
124.2950,124.3610,124.2600,124.2870,64920
124.2700,124.3510,124.2050,124.2970,41819
124.2850,124.3010,124.2200,124.2770,64956
124.3000,124.3310,124.2600,124.2670,37796
124.3700,124.4010,124.2700,124.2970,50805
124.3300,124.4110,124.3200,124.3760,42687
124.4250,124.4410,124.3000,124.3260,50186
124.5000,124.5410,124.4000,124.4160,40284
124.4900,124.5410,124.4790,124.4860,54564
124.4200,124.5910,124.3400,124.4910,76847
124.3150,124.4310,124.2650,124.4160,51987
124.1950,124.3260,124.1700,124.3160,70334
124.1610,124.2120,124.0610,124.1870,86900
124.2600,124.3110,124.1300,124.1670,115772
124.3550,124.4160,124.2500,124.2570,53140
124.3050,124.3910,124.2600,124.3560,44631
124.2800,124.3610,124.2700,124.3020,39936
124.3300,124.3810,124.2450,124.2770,45950
124.4400,124.4660,124.2900,124.3070,47680
124.5000,124.5010,124.3900,124.4460,31215
124.5590,124.5610,124.4590,124.4870,36085
124.5290,124.6500,124.5190,124.5460,96939
124.4200,124.5210,124.3900,124.5160,43586
124.3700,124.4310,124.3200,124.4060,36422
124.4100,124.4510,124.3600,124.3760,32410
124.3250,124.4810,124.3100,124.4060,48637
124.3600,124.4210,124.3050,124.3290,59194
124.5290,124.5310,124.2950,124.3560,55336
124.4400,124.5610,124.4000,124.5300,46351
124.4700,124.5110,124.3900,124.4210,65498
124.5790,124.6000,124.3500,124.4360,75472
124.5690,124.6100,124.4490,124.5460,45569
124.5990,124.6800,124.5390,124.5660,40653
124.5840,124.6300,124.5490,124.5860,43191
124.5790,124.6070,124.5090,124.5880,45945
124.5890,124.6300,124.5490,124.5760,38127
124.6390,124.6800,124.5690,124.5760,50148
124.5590,124.7300,124.5390,124.6410,60489
124.6890,124.7200,124.4990,124.5560,102738
124.7840,124.8210,124.6640,124.6780,59703
124.8180,124.8700,124.7380,124.7750,74857
124.7640,124.9190,124.7380,124.8050,42372
125.0180,125.0290,124.6890,124.7550,54998
124.9680,125.0290,124.7780,125.0240,91128
124.9680,124.9890,124.9080,124.9840,88450
124.8880,124.9790,124.7930,124.9540,52823
125.0080,125.0390,124.8830,124.8900,39152
125.0480,125.0490,124.8780,125.0040,42805
125.1080,125.1390,125.0080,125.0540,31322
124.9680,125.1190,124.9480,125.0950,36306
125.1180,125.2280,124.9480,124.9940,44775
124.7340,125.1190,124.6690,125.1140,107302
124.9190,124.9790,124.6890,124.7300,106851
125.1080,125.1290,124.7380,124.9440,241808
125.3020,125.3030,125.0370,125.0940,80537
125.4070,125.4780,125.2170,125.2780,50930
125.3070,125.4480,125.1570,125.3980,84726
125.6810,125.6820,125.2170,125.3130,116076
125.8000,125.8360,125.6500,125.6720,59023
125.6160,125.8070,125.5460,125.7970,86889
125.5760,125.6420,125.4740,125.6020,68805
125.5460,125.6370,125.3360,125.5720,105823
125.7260,125.7570,125.4860,125.5330,69885
125.8950,125.9460,125.6790,125.7420,53056
125.8450,126.0060,125.7650,125.9210,71366
126.3730,126.4030,125.7200,125.8320,90061
126.2640,126.4650,126.1440,126.3900,60571
126.9220,127.4110,126.3130,126.3200,155954
126.0840,126.2650,126.0040,126.0610,555923
126.0550,126.2750,126.0140,126.0910,250115
126.0600,126.1360,125.9940,126.0510,117885
126.1340,126.1550,126.0340,126.0610,123070
126.0640,126.1460,126.0140,126.1350,65160
126.0050,126.0860,125.9350,126.0710,62135
126.1940,126.2000,125.9540,126.0010,70908
126.2240,126.2350,126.1790,126.1900,49311
126.2040,126.2720,126.1840,126.2300,43346
126.2410,126.2430,126.1440,126.2050,46994
126.2940,126.3050,126.1240,126.2300,58640
126.3190,126.3200,126.2390,126.2900,56847
126.3090,126.3300,126.2830,126.3100,40899
126.2940,126.3350,126.2660,126.2950,43033
126.2890,126.3000,126.2340,126.2900,39039
126.2740,126.3250,126.2340,126.2810,36013
126.3440,126.4650,126.2340,126.2700,60919
126.4680,126.5240,126.3080,126.3400,51543
126.3540,126.4740,126.3230,126.4690,52497
126.4730,126.4740,126.3230,126.3500,52587
126.3730,126.5290,126.3530,126.4690,82986
126.2740,126.3750,126.2090,126.3600,48997
126.2940,126.3150,126.1740,126.2700,47584
126.2340,126.3750,126.2240,126.2950,34400
126.2440,126.2800,126.1840,126.2300,56291
126.3640,126.3750,126.1640,126.2300,65939
126.3140,126.3750,126.2090,126.3600,55187
126.3140,126.3750,126.2340,126.3000,69393
126.3730,126.3750,126.2430,126.3000,59684
126.3240,126.3950,126.3130,126.3650,47104
126.2290,126.3450,126.2040,126.3250,27595
126.2240,126.2450,126.1540,126.2230,37292
126.1440,126.2450,126.1240,126.2210,30704
126.1840,126.2250,126.0740,126.1410,32417
126.1940,126.2250,126.1040,126.1700,30474
126.1240,126.1950,125.9740,126.1900,34513
126.0050,126.1360,125.9940,126.1310,27426
125.9700,126.0260,125.9350,126.0010,40729
126.0050,126.0660,125.9440,125.9560,46243
125.9750,126.0260,125.9250,126.0010,52953
126.1040,126.1260,125.9640,125.9710,35423
126.2110,126.2450,126.0840,126.1110,50399
126.0740,126.2100,126.0140,126.1900,43284
126.0150,126.1460,125.9590,126.0710,54762
126.0150,126.0760,125.9440,126.0110,51440
126.0250,126.1010,125.9940,126.0010,40568
126.0840,126.1460,125.9940,126.0110,38008
126.0840,126.2850,126.0640,126.0710,49997
126.1140,126.1550,126.0140,126.0800,44246
125.9550,126.1650,125.9440,126.1160,60786
125.8350,125.9660,125.7850,125.9610,49111
125.8370,125.8560,125.6850,125.8220,46309
125.5560,125.8810,125.5410,125.8420,75490
125.6160,125.6970,125.5360,125.5520,42510
125.6660,125.6970,125.5860,125.6120,57977
125.6310,125.6900,125.6160,125.6420,34780
125.5860,125.6670,125.5360,125.6320,45151
125.7700,125.7770,125.5360,125.5620,29985
