fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-02-29,USD,8932000000,12345000000,3413000000,3869000000,3750000000,2419000000,2248000000,5661000000,111000000,-876000000,111000000,876000000,13221000000,84000000,808000000,749000000,2865000000,464000000,876000000,3387000000,2362000000,3741000000,4490000000,2401000000,USD,137082000000,21063000000,9481000000,9904000000,None,7297000000,116019000000,19117000000,None,69851000000,7629000000,62222000000,423000000,None,423000000,3862000000,14363000000,131459000000,24885000000,1658000000,20392000000,5510000000,5510000000,106015000000,None,87980000000,5510000000,82470000000,87980000000,6990000000,8611000000,5623000000,None,-24533000000,31622000000,2747000000,USD,5475000000,105000000,None,1273000000,398000000,749000000,1674000000,554000000,909000000,3387000000,-1783000000,-2463000000,-813000000,450000000,450000000,None,1099000000,1099000000,None,28000000,0,None,-422000000,None,None,None,2401000000,2024-03-11,1.41,1.38,0.03,2.1739,post-market
2023-11-30,USD,8668000000,12021000000,3353000000,3740000000,3622000000,2468000000,2226000000,5579000000,133000000,-888000000,133000000,888000000,12909000000,5000000,798000000,755000000,2720000000,217000000,888000000,3464000000,2573000000,3608000000,4363000000,2503000000,USD,134324000000,19289000000,8244000000,8690000000,None,6804000000,115035000000,18009000000,None,70609000000,8378000000,62231000000,446000000,None,446000000,3795000000,13659000000,130458000000,24407000000,1107000000,20258000000,6321000000,6321000000,105539000000,None,88789000000,6321000000,82468000000,88789000000,6395000000,7781000000,3866000000,None,-25431000000,30724000000,2748000000,USD,143000000,79000000,None,-4369000000,203000000,755000000,1080000000,235000000,-1578000000,3464000000,-1249000000,-2289000000,2311000000,450000000,450000000,None,1099000000,1099000000,None,118000000,0,None,-332000000,None,None,None,2503000000,2023-12-11,1.34,1.32,0.02,1.5152,post-market
2023-08-31,USD,8168000000,11499000000,3331000000,3610000000,3296000000,2419000000,2216000000,5547000000,136000000,-872000000,136000000,872000000,12371000000,52000000,712000000,763000000,2375000000,-45000000,872000000,3411000000,2445000000,3247000000,4010000000,2420000000,USD,136662000000,22166000000,11613000000,12083000000,None,6519000000,114496000000,17644000000,None,71280000000,9074000000,62206000000,470000000,None,470000000,3564000000,13329000000,134292000000,25357000000,1034000000,24532000000,4499000000,4499000000,108464000000,None,88941000000,4499000000,84442000000,88941000000,6886000000,7540000000,2370000000,None,-26428000000,30295000000,2739000000,USD,6974000000,107000000,None,1929000000,-649000000,1475000000,1314000000,-380000000,338000000,3411000000,-1562000000,-3528000000,-562000000,150000000,150000000,None,1091000000,1091000000,None,308000000,0,None,158000000,None,None,None,2420000000,2023-09-11,1.19,1.15,0.04,3.4783,post-market
2023-05-31,USD,12827000000,16567000000,3740000000,3730000000,4140000000,2689000000,2226000000,5966000000,105000000,-955000000,105000000,955000000,13768000000,10000000,716000000,870000000,3109000000,-210000000,955000000,4387000000,3491000000,4064000000,4934000000,3319000000,USD,134384000000,21004000000,9765000000,10187000000,298000000,6915000000,113380000000,17069000000,11605000000,72098000000,9837000000,62261000000,2162000000,None,422000000,3902000000,11987000000,133311000000,23090000000,1204000000,19876000000,4061000000,4061000000,109738000000,None,358361000000,4061000000,86420000000,90481000000,6802000000,6469000000,1073000000,None,-27620000000,30215000000,2713000000,USD,5647000000,7261000000,None,1327000000,809000000,1586000000,1913000000,611000000,None,633000000,-1612000000,-2440000000,-1374000000,150000000,150000000,None,1082000000,1082000000,None,433000000,0,None,1283000000,None,1595000000,None,3319000000,2023-06-12,1.67,1.58,0.09,5.6962,post-market
2023-02-28,USD,7882000000,11435000000,3553000000,3439000000,3260000000,2552000000,2146000000,5699000000,90000000,-908000000,90000000,908000000,12343000000,-6000000,672000000,886000000,2218000000,322000000,908000000,2900000000,1979000000,3126000000,4012000000,1896000000,USD,131620000000,18696000000,8219000000,8769000000,None,6213000000,112924000000,16345000000,None,72206000000,10707000000,61499000000,550000000,None,550000000,3714000000,12220000000,134041000000,22880000000,1610000000,18776000000,5415000000,5415000000,110652000000,None,116177000000,5415000000,86396000000,116177000000,5521000000,6107000000,-2421000000,None,-29721000000,28994000000,2700000000,USD,4275000000,96000000,None,-237000000,-338000000,886000000,2628000000,56000000,None,2900000000,-2778000000,-105000000,-6000000,150000000,150000000,None,863000000,863000000,None,98000000,5214000000,None,-52000000,None,1392000000,None,1896000000,2023-03-09,1.22,1.2,0.02,1.6667,post-market
2022-11-30,USD,7676000000,11364000000,3688000000,3358000000,3071000000,2582000000,2158000000,5846000000,52000000,-856000000,52000000,856000000,12220000000,13000000,591000000,907000000,2144000000,403000000,856000000,2693000000,1929000000,3000000000,3907000000,1741000000,USD,128469000000,17561000000,6813000000,7350000000,None,6197000000,110908000000,14351000000,None,73106000000,11593000000,61513000000,537000000,None,537000000,4014000000,11360000000,132715000000,27106000000,1647000000,18956000000,9746000000,9746000000,105139000000,None,104853000000,9746000000,81173000000,104853000000,5228000000,5673000000,-4246000000,None,-30617000000,28148000000,2695000000,USD,849000000,110000000,None,-2756000000,168000000,907000000,2435000000,245000000,None,2693000000,-2658000000,-1855000000,0,448000000,448000000,None,863000000,863000000,None,146000000,8234000000,None,-302000000,None,-3664000000,None,1741000000,2022-12-12,1.21,1.18,0.03,2.5424,post-market
2022-08-31,USD,6895000000,10587000000,3692000000,3037000000,2623000000,2588000000,2093000000,5785000000,38000000,-787000000,38000000,787000000,11374000000,-23000000,547000000,919000000,1656000000,108000000,787000000,2444000000,1276000000,2443000000,3362000000,1548000000,USD,130309000000,21004000000,10448000000,11220000000,None,5937000000,109305000000,12280000000,None,74128000000,12499000000,61629000000,772000000,None,772000000,3847000000,10832000000,136184000000,34819000000,1461000000,22522000000,16097000000,16097000000,100939000000,None,91577000000,16097000000,75480000000,91577000000,4830000000,5638000000,-5875000000,None,-31134000000,27224000000,2696000000,USD,6394000000,104000000,None,2013000000,-805000000,1466000000,1719000000,-761000000,None,2444000000,-29436000000,12310000000,0,552000000,552000000,None,860000000,860000000,None,515000000,20046000000,None,-37000000,None,-10732000000,None,1548000000,2022-09-12,1.03,1.07,-0.04,-3.7383,post-market
2022-05-31,USD,42440000000,42440000000,2976000000,2396000000,4502000000,2600000000,1965000000,4941000000,38000000,-704000000,38000000,704000000,11750000000,-60000000,563000000,268000000,3624000000,435000000,704000000,42440000000,3175000000,4328000000,4596000000,3189000000,USD,109297000000,31633000000,21383000000,21902000000,314000000,5953000000,77664000000,9716000000,9958000000,45251000000,1440000000,43811000000,13362000000,None,519000000,3778000000,9915000000,115517000000,19511000000,1317000000,18220000000,3749000000,75859000000,95554000000,None,0,3749000000,72110000000,75859000000,4144000000,5203000000,-6220000000,None,-31336000000,26808000000,2665000000,USD,3985000000,6152000000,None,863000000,1586000000,831000000,1423000000,1526000000,586000000,1082000000,-1161000000,-4026000000,0,594000000,594000000,None,854000000,854000000,None,125000000,0,None,-150000000,None,42440000000,None,3189000000,2022-06-13,1.54,1.37,0.17,12.4088,post-market
2022-02-28,USD,7160000000,9817000000,2657000000,2218000000,3822000000,2339000000,1816000000,4473000000,16000000,-667000000,16000000,667000000,10484000000,-63000000,496000000,279000000,2840000000,521000000,667000000,3057000000,2257000000,3507000000,3786000000,2319000000,USD,108644000000,31675000000,22682000000,23389000000,None,4588000000,76969000000,8609000000,None,45521000000,1688000000,43833000000,707000000,None,707000000,3698000000,9730000000,117340000000,20833000000,1124000000,17228000000,6248000000,6248000000,96022000000,None,78413000000,6248000000,72165000000,78413000000,3964000000,5227000000,-8696000000,None,-33147000000,26129000000,2668000000,USD,3845000000,43000000,None,311000000,329000000,279000000,1101000000,137000000,None,3057000000,2432000000,-1579000000,0,653000000,653000000,None,855000000,855000000,None,52000000,0,None,-601000000,None,4083000000,None,2319000000,2022-03-10,1.13,1.18,-0.05,-4.2373,post-market
2021-11-30,USD,2364000000,9635000000,7271000000,2159000000,-824000000,2273000000,1754000000,9025000000,21000000,-679000000,21000000,679000000,10314000000,-6000000,459000000,299000000,-1496000000,-249000000,679000000,-480000000,-1467000000,-817000000,-518000000,-1247000000,USD,106897000000,31078000000,17938000000,22838000000,None,4462000000,75819000000,8029000000,None,45723000000,1881000000,43842000000,4900000000,None,4900000000,3778000000,8802000000,116998000000,18881000000,1034000000,17350000000,4998000000,4998000000,97674000000,None,78431000000,4998000000,73433000000,78431000000,3409000000,5342000000,-10101000000,None,-34076000000,25591000000,2671000000,USD,-3682000000,48000000,None,-2850000000,70000000,299000000,925000000,63000000,-635000000,-480000000,10730000000,-12053000000,0,7006000000,7006000000,None,861000000,861000000,None,157000000,0,None,-6849000000,None,552000000,None,-1247000000,2021-12-09,1.21,1.11,0.1,9.009,post-market
