reportedEPS,Action,Current Ratio,Quick Ratio,Debt to Equity,Debt to Asset,Gross Margin,Profit Margin,Operating Margin,Interest Coverage,Inventory Ratio,Return On StockHolder,Free Cash Flow Conversion
1.34,0,0.7903060597369607,,33.74495602690119,0.9712188439891606,0.721071458281341,0.22627069295399718,0.3001414191830962,4.063063063063063,,0.6474392136575272,-0.21476048590419436
1.19,0,0.8741570375044366,,56.663291139240506,0.9826579444176142,0.7103226367510218,0.20653969910426995,0.2823723802069745,3.7236238532110093,,1.021097046413502,1.4114713216957606
1.67,1,0.9096578605456908,0.7277609354699004,124.24137931034483,0.9920154185022027,0.7742500150902396,0.18766222007605482,0.24530693547413532,4.255497382198953,12.516778523489933,3.093196644920783,0.7567896230239157
1.22,1,0.8171328671328671,,-55.36596447748864,1.018393861115332,0.6892872759073021,0.1939658941845212,0.2733712286838653,3.44273127753304,,-0.7831474597273854,0.410518444666002
1.21,1,0.6478639415627536,,-31.256476683937823,1.033050774895111,0.6754663850756776,0.18866596268919394,0.26399155227032733,3.5046728971962615,,-0.41003297220913804,-0.40593805989250065
1.03,1,0.6032338665671042,,-23.180255319148937,1.0450851437736457,0.6512704259941438,0.15641824879569283,0.23075469915934638,3.1041931385006354,,-0.26348936170212767,1.3905413444378347
1.54,1,1.6212905540464353,1.4115627082158781,-18.57186495176849,1.0569091557865267,1.0,0.08539114043355325,0.10197926484448633,6.1477272727272725,7.630573248407643,-0.5127009646302251,0.5574412532637075
1.13,0,1.5204243267892286,,-13.493560257589696,1.0800412355951547,0.7293470510339207,0.28929408169501886,0.35723744524803913,5.257871064467766,,-0.2666743330266789,0.7247754886423666
1.21,0,1.6459933266246491,,-11.582813582813582,1.0944928295461986,0.24535547483134407,-0.1552672548002076,-0.08479501816294759,-1.203240058910162,,0.12345312345312345,8.893822393822393
1.03,1,2.0422608469507173,,-80.76898118105126,1.0125362012300283,0.7202937249666221,0.2982866043613707,0.37672452158433467,4.802836879432624,,-1.5944192083062947,1.1734887503388451
1.54,1,2.299577884456216,2.144553881807648,24.029973272241314,0.9600478998070279,1.0,0.10267052051681119,0.11988932532918303,6.962697274031564,14.943661971830986,0.7697594501718213,0.7940327237728585
1.16,1,2.1601975308641976,2.000543209876543,12.27067415730337,0.9246458779601893,0.7183083737608099,0.3454967306475427,0.4071925754060325,6.6,-191.5,0.5641573033707865,0.7818441064638784
1.06,1,2.1666276291750597,2.0158804515857027,12.89592017178224,0.9280364317268711,0.7085148083623694,0.32360627177700346,0.38893728222996515,5.953333333333333,-114.05882352941177,0.30845017051913604,0.20934388562675518
