,Open,High,Low,Close,Volume
0,151.17,151.28,150.889,150.92,33200
1,150.86,150.86,150.7,150.76,9978
2,150.71,150.73,150.35,150.405,10266
3,150.49,150.59,150.25,150.25,12766
4,150.3,150.65,150.3,150.4,5400
5,150.47,150.675,150.35,150.661,19274
6,150.7,150.79,150.57,150.57,12074
7,150.53,150.53,150.29,150.33,21177
8,150.35,150.36,150.13,150.26,11278
9,150.14,150.14,149.97,149.99,13368
10,149.965,150.16,149.95,150.146,4663
11,150.11,150.12,149.85,149.95,6523
12,149.95,149.95,149.73,149.89,7128
13,149.875,149.96,149.78,149.85,7028
14,149.87,150.09,149.87,150.09,5288
15,150.05,150.15,149.76,149.76,12159
16,149.79,149.87,149.77,149.83,4419
17,149.88,150.03,149.88,150.02,8552
18,150.02,150.04,149.91,150.02,11651
19,150.01,150.08,149.94,150.08,6676
20,150.19,150.425,150.19,150.33,4382
21,150.42,150.505,150.3,150.32,7241
22,150.34,150.345,150.19,150.34,5973
23,150.33,150.36,150.26,150.36,3937
24,150.43,150.54,150.43,150.54,11411
25,150.51,150.525,150.435,150.435,5620
26,150.42,150.56,150.39,150.56,3024
27,150.57,150.64,150.57,150.64,141981
28,150.66,150.715,150.57,150.57,4392
29,150.59,150.63,150.59,150.6,1951
30,150.685,150.685,150.655,150.655,1806
31,150.67,150.75,150.67,150.72,15491
32,150.72,150.74,150.58,150.58,2885
33,150.58,150.58,150.45,150.505,3716
34,150.53,150.58,150.52,150.555,2462
35,150.53,150.6,150.53,150.575,2595
36,150.56,150.58,150.53,150.58,2382
37,150.585,150.665,150.55,150.64,6273
38,150.67,150.71,150.61,150.63,3490
39,150.61,150.61,150.47,150.47,3239
40,150.485,150.485,150.27,150.335,5243
41,150.33,150.35,150.3,150.34,1857
42,150.34,150.34,150.23,150.23,4508
43,150.25,150.25,150.13,150.13,9189
44,150.104,150.235,150.104,150.19,5048
45,150.18,150.22,150.17,150.17,4489
46,150.18,150.22,150.14,150.19,10010
47,150.195,150.24,150.12,150.13,24653
48,150.09,150.16,150.09,150.16,4795
49,150.15,150.15,150.06,150.07,7941
50,150.08,150.08,150.01,150.05,6368
51,150.03,150.085,150.01,150.01,5488
52,150.01,150.01,149.96,149.96,4194
53,149.96,149.98,149.89,149.92,4043
54,149.97,149.98,149.92,149.94,3713
55,149.97,149.99,149.92,149.99,5737
56,149.99,150.17,149.985,150.15,7065
