1. open,2. high,3. low,4. close,5. volume
182.1800,182.5000,182.1800,182.4400,50662
181.2400,182.6000,181.2400,182.2150,92339
180.8350,181.3300,180.8190,181.2700,33208
180.3850,180.8600,180.3500,180.8600,14007
180.3000,180.3900,180.2800,180.3900,11150
180.1700,180.3200,180.1200,180.2700,8313
180.3900,180.4150,180.2000,180.2000,8132
180.2850,180.3600,180.2800,180.3600,5479
180.2780,180.3000,180.2250,180.2600,5719
180.1800,180.3000,180.1700,180.2900,10803
180.0900,180.2050,180.0900,180.2050,12475
180.1350,180.2000,180.0550,180.0800,15573
180.0450,180.1500,180.0400,180.1500,8887
180.1300,180.1300,180.0100,180.0450,9445
180.4100,180.4300,180.2100,180.2100,5005
180.2200,180.3800,180.2200,180.3800,4111
180.0500,180.2350,180.0400,180.2350,9416
180.0900,180.1050,180.0000,180.0100,7262
180.2000,180.2000,180.0750,180.0900,3585
180.2300,180.2470,180.2000,180.2000,2759
180.2200,180.2200,180.1720,180.2200,1413
180.1500,180.3200,180.1500,180.1900,9084
180.0300,180.1500,180.0200,180.1500,3333
180.1500,180.1700,180.0650,180.0650,3336
180.2600,180.2700,180.1700,180.1850,8586
180.3850,180.4050,180.2700,180.2800,3947
180.4400,180.4400,180.3550,180.4000,1281
180.2900,180.3400,180.2200,180.3400,2576
180.4770,180.4770,180.3300,180.3600,2862
180.5800,180.6000,180.4700,180.4700,3802
180.4900,180.5620,180.4300,180.5000,11659
180.4900,180.5500,180.2900,180.5500,8607
180.3900,180.5070,180.3900,180.4900,7171
180.2800,180.3800,180.2800,180.3800,2671
180.1450,180.3100,180.1450,180.2950,4086
180.1200,180.1700,180.0950,180.1300,4898
180.1350,180.1350,180.0800,180.1200,1406
179.9900,180.0800,179.9700,180.0800,2170
180.0410,180.0950,180.0200,180.0700,1002
179.9400,180.0610,179.9400,180.0300,2787
179.7400,179.8800,179.7150,179.8800,3461
179.5700,179.7400,179.5700,179.7300,1886
179.5000,179.5600,179.5000,179.5600,1301
179.5200,179.5600,179.4310,179.5500,2206
179.6800,179.6900,179.5300,179.5900,12318
179.6100,179.6600,179.5500,179.6200,2548
179.8000,179.8000,179.6300,179.6600,5230
179.9650,180.0410,179.7350,179.7500,6989
180.0350,180.0350,179.8800,179.8800,2740
180.1150,180.1150,180.0200,180.0300,974
