fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-03-31,EUR,5762000000,8041000000,2279000000,2279000000,1455000000,2638000000,1665000000,6586000000,None,-45000000,199000000,244000000,None,None,None,None,-980000000,None,None,-824000000,None,None,None,-828000000,EUR,72915000000,23796000000,9295000000,9295000000,None,None,49119000000,None,None,2449000000,2449000000,29558000000,None,5687000000,4312000000,2394000000,None,29579000000,19078000000,None,None,None,None,10501000000,None,None,None,None,None,4556000000,1015000000,43079000000,None,41630000000,None,1167229056,EUR,2757000000,None,None,None,None,313000000,187000000,None,None,None,None,-522000000,None,None,None,None,None,None,None,None,None,None,-432000000,None,None,None,-828000000,2024-04-22,0.81,1.07,-0.26,-24.2991,post-market
2023-12-31,EUR,6208000000,8468000000,2260000000,2260000000,1985000000,353000000,1667000000,4223000000,None,-93000000,284000000,195000000,None,None,None,331000000,1761000000,595000000,None,1201000000,None,1985000000,2316000000,1313000000,EUR,68291000000,20531000000,8124000000,8124000000,None,None,41412000000,None,None,2505000000,2505000000,29088000000,None,5107000000,3344000000,2702000000,None,24926000000,14576000000,None,None,None,1731000000,7945000000,1621000000,6027000000,1143000000,None,7945000000,6044000000,588000000,43116000000,None,42417000000,1229000000,1178000000,EUR,1968000000,None,None,None,None,331000000,190000000,None,None,None,None,-919000000,None,None,None,None,0,0,None,None,None,None,-231000000,None,None,None,1185000000,2024-01-23,1.41,1.58,-0.17,-10.7595,post-market
2023-09-30,EUR,5636000000,7744000000,2108000000,2108000000,1724000000,327000000,1515000000,3949000000,None,-75000000,50000000,279000000,None,None,None,328000000,1761000000,489000000,None,1272000000,None,2004000000,2332000000,1278000000,EUR,68011000000,20817000000,9378000000,9378000000,None,None,47194000000,4402000000,None,2190000000,2190000000,29144000000,None,5631000000,3050000000,2374000000,None,24771000000,13391000000,None,None,None,1640000000,11380000000,None,9228000000,None,None,10868000000,4877000000,626000000,42959000000,None,41102000000,1229000000,1180000000,EUR,1124000000,None,None,None,None,328000000,182000000,None,-282000000,None,2907000000,-2514000000,None,None,None,None,2395000000,2395000000,None,None,None,None,-718000000,None,None,None,3544000000,2023-10-18,1.45,1.36,0.09,6.6176,post-market
2023-06-30,EUR,5410000000,7555000000,2145000000,2145000000,1358000000,322000000,1565000000,4055000000,None,-175000000,11000000,363000000,None,None,None,349000000,1093000000,369000000,None,724000000,None,1453000000,1802000000,3455000000,EUR,69719000000,22990000000,14142000000,14142000000,None,None,46730000000,4361000000,None,2259000000,2259000000,28581000000,None,5513000000,480000000,2371000000,None,27490000000,16176000000,None,None,None,3068000000,11314000000,None,6975000000,None,None,12237000000,4781000000,677000000,41946000000,None,40225000000,1229000000,1176277897,EUR,867000000,None,None,None,None,349000000,156000000,None,-1053000000,None,6364000000,-3046000000,None,None,None,None,2395000000,2395000000,None,None,None,None,0,None,None,None,724000000,2023-07-20,3.14,1.16,1.98,170.6897,post-market
2023-03-31,EUR,5285000000,7441000000,2156000000,2156000000,1230000000,348000000,1573000000,4220000000,None,-112000000,30000000,293000000,None,None,None,365000000,677000000,274000000,None,403000000,None,1230000000,1595000000,407000000,EUR,73533000000,26507000000,8766000000,8766000000,7385000000,None,47026000000,4465000000,None,2349000000,2349000000,28563000000,None,5498000000,1124000000,2241000000,None,30537000000,18849000000,None,None,None,3689000000,11688000000,None,9239000000,None,None,12928000000,6006000000,970000000,40250000000,None,36866000000,1229000000,1174000000,EUR,2373000000,None,None,None,None,365000000,257000000,None,None,None,-499000000,-1213000000,None,None,None,None,2395000000,2395000000,None,None,None,None,0,None,None,None,403000000,2023-04-21,1.27,1.1,0.17,15.4545,pre-market
2022-12-31,EUR,6064000000,8436000000,2372000000,2372000000,1328000000,517000000,1621000000,4330000000,None,-880000000,133000000,1013000000,None,None,None,471000000,759000000,427000000,None,332000000,None,1328000000,1799000000,332000000,EUR,72160000000,18570000000,9006000000,9006000000,7385000000,None,53590000000,4934000000,None,3835000000,3835000000,33106000000,None,5626000000,856000000,2153000000,None,29308000000,17452000000,None,None,None,4824000000,11856000000,2140000000,9547000000,3984000000,None,14371000000,5165000000,706000000,40135000000,None,36368000000,1229000000,1172000000,EUR,2048000000,None,None,None,None,471000000,136000000,None,1203000000,None,667000000,-2171000000,None,None,None,None,2865000000,2865000000,None,None,None,None,1500000000,None,None,None,332000000,2023-01-26,0.99,1.37,-0.38,-27.7372,pre-market
2022-09-30,EUR,5575000000,7841000000,2266000000,2266000000,1239000000,521000000,1574000000,4344000000,None,-331000000,306000000,497000000,None,None,None,592000000,850000000,304000000,None,546000000,None,1239000000,1831000000,669000000,EUR,78234000000,20839000000,7340000000,7340000000,None,None,57395000000,5032000000,None,4328000000,4328000000,35699000000,None,6921000000,1482000000,2235000000,None,32188000000,20233000000,None,None,None,8579000000,11955000000,None,9565000000,None,None,18144000000,4241000000,611000000,42950000000,None,35764000000,1229000000,1173000000,EUR,848000000,None,None,None,None,492000000,282000000,None,-487000000,None,-947000000,-384000000,None,None,None,None,2865000000,2865000000,None,None,None,None,-500000000,None,None,None,547000000,2022-10-17,1.11,1.26,-0.15,-11.9048,post-market
2022-06-30,EUR,5317000000,7516000000,2199000000,2199000000,965000000,530000000,1545000000,4516000000,None,-118000000,178000000,297000000,None,None,None,473000000,538000000,335000000,None,203000000,None,965000000,1438000000,203000000,EUR,75575000000,20121000000,7492000000,7492000000,None,None,55454000000,4996000000,None,4295000000,4295000000,33913000000,None,6920000000,987000000,2112000000,None,32788000000,20894000000,None,None,None,8150000000,11894000000,None,7208000000,None,None,17665000000,3922000000,657000000,39844000000,None,35109000000,1229000000,1174000000,EUR,268000000,None,None,None,None,473000000,235000000,None,-1226000000,None,1047000000,-3057000000,None,None,None,None,2865000000,2865000000,None,None,None,None,-419000000,None,None,None,203000000,2022-07-21,0.96,1.08,-0.12,-11.1111,pre-market
2022-03-31,EUR,4978000000,7077000000,2099000000,2099000000,1053000000,504000000,1425000000,3936000000,None,-56000000,342000000,398000000,None,None,None,740000000,945000000,313000000,None,632000000,None,1053000000,1793000000,740000000,EUR,76374000000,23367000000,8942000000,8942000000,None,None,53007000000,4991000000,None,4032000000,4032000000,32159000000,None,6597000000,2544000000,1888000000,None,33756000000,21027000000,None,None,None,7143000000,12729000000,None,10070000000,None,None,17213000000,4561000000,1053000000,39850000000,None,37661000000,1229000000,1178000000,EUR,2482000000,None,None,None,None,460000000,221000000,None,None,None,-1762000000,-725000000,None,None,None,None,2865000000,2865000000,None,None,None,None,-581000000,None,None,None,632000000,2022-04-22,1,1.15,-0.15,-13.0435,pre-market
2021-12-31,EUR,5822000000,7980000000,2158000000,2158000000,1470000000,757000000,1412000000,4353000000,None,523000000,551000000,335000000,None,None,None,467000000,1957000000,517000000,None,1450000000,None,1003000000,1470000000,1454000000,EUR,71169000000,20044000000,8898000000,8898000000,588000000,None,51125000000,4975000000,None,3966000000,3966000000,31090000000,None,6275000000,2758000000,826000000,None,29646000000,16136000000,None,None,None,4167000000,13510000000,2143000000,11042000000,3760000000,None,15147000000,5958000000,62000000,38853000000,-3072000000,37022000000,1229000000,1179579340,EUR,1269000000,None,None,None,None,467000000,254000000,None,None,None,-1395000000,923000000,None,None,None,None,2182000000,2182000000,None,None,None,None,-581000000,None,None,None,1440000000,2022-01-13,1.86,1.69,0.17,10.0592,pre-market
